COUNTA of Award,Award,col2,col3
Year,🏅 Finalist,🏆 Winner,Grand Total
2016,8,12,20
2017,14,14,28
2018,5,18,23
2019,12,13,25
2020,8,17,25
2021,9,17,26
2022,12,18,30
2023,17,21,38
2024,7,17,24
