Year,🏆 Trophy,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total
2018,8,9,63,119,199
2019,7,10,73,90,180
2020,10,6,70,72,158
2021,4,3,42,68,117
2022,7,9,53,52,121
2023,6,10,52,71,139
2024,6,1,33,67,107
Total,48,48,386,539,1021
