COUNTA of Medal,Medal,col2,col3,col4,col5
Country,🏆 Trophy,🥇 Gold,🥈 Silver,🥉 Bronze,Grand Total
Argentina,,,2,,2
Australia,,,,2,2
Belgium,,,1,,1
Canada,,,1,1,2
Croatia,,,,1,1
England,4,,12,27,43
Estonia,,,1,,1
France,,,3,13,16
Germany,1,,1,3,5
India,,1,1,1,3
Italy,,,,1,1
Japan,,,2,3,5
Kazakhstan,,,,1,1
Latvia,,,,1,1
Lebanon,,,1,1,2
Netherlands,,,2,1,3
Norway,1,,1,2,4
Poland,,,2,4,6
Portugal,,,1,2,3
South Africa,,,,1,1
Spain,,,2,2,4
Grand Total,6,1,33,67,107
