ID,Category,Medal,Producer,Product,Subcategory
2,Flavoured,🏆 Trophy,Les Celliers Associés,L'Authentique French Cider Ginger Lemon,Cider with Herbs & Spices
3,Flavoured,🏆 Trophy,Winemaking Tasmania,Blushing Lady Sparkling Fruit Fusion,Cider with Fruits & Flowers
4,Flavoured,🥇 Gold,Aston Manor Cider,"Friels Raspberry, Mint & Lime",Cider with Fruits & Flowers
5,Flavoured,🥇 Gold,Blakstoc Cider,Lazy Day Cucumber Cider,Cider with Fruits & Flowers
6,Flavoured,🥈 Silver,Angry Orchard Cider Co,Angry Orchard The Old Fashioned,Cider with Herbs & Spices
7,Flavoured,🥈 Silver,Blakstoc Cider,Buddha´s Hand Lemon Cider,Cider with Fruits & Flowers
8,Flavoured,🥈 Silver,Blakstoc Cider,Ginger for my Honey,Cider with Herbs & Spices
9,Flavoured,🥈 Silver,Blakstoc Cider,Quincy Jo & Hops Edition,Cider with Fruits & Flowers
10,Flavoured,🥈 Silver,Celtic Marches,Clementine Perry,Cider with Fruits & Flowers
11,Flavoured,🥈 Silver,Crafty Nectar,No.8,Cider with Fruits & Flowers
12,Flavoured,🥈 Silver,Envasados Eva,The Good Cider of San Sebastian Wild Berry,Cider with Fruits & Flowers
13,Flavoured,🥈 Silver,Everson's Cider,Everson's Pomegranate Cider,Cider with Fruits & Flowers
14,Flavoured,🥈 Silver,Hawkes,Doom & Bloom,Cider with Fruits & Flowers
15,Flavoured,🥈 Silver,Piarg House,Sigelsberg Cider Cierna Ribezla,Cider with Fruits & Flowers
16,Flavoured,🥈 Silver,Saxby's Cider,Saxby's Rhubarb Cider,Cider with Fruits & Flowers
17,Flavoured,🥈 Silver,Stonewell Cider,Rós,Cider with Fruits & Flowers
18,Flavoured,🥉 Bronze,Abavas Winery,Abavas Minka. Oaked Apple with a Hint of Quince Semi-Sweet Sparkling Cider,Cider with Fruits & Flowers
19,Flavoured,🥉 Bronze,Angry Orchard Cider Co,Angry Orchard Knotty Pear,Cider with Fruits & Flowers
20,Flavoured,🥉 Bronze,Aston Manor Cider,Kingstone Press Wild Berry,Cider with Fruits & Flowers
21,Flavoured,🥉 Bronze,Blakstoc Cider,Wild Tree Hoppy Cider,Cider with Hops
22,Flavoured,🥉 Bronze,Celtic Marches,Toffy Dora,Cider with Herbs & Spices
23,Flavoured,🥉 Bronze,Celtic Marches,Wild Berries,Cider with Fruits & Flowers
24,Flavoured,🥉 Bronze,Lambswick Drinks Co,Berry,Cider with Fruits & Flowers
25,Flavoured,🥉 Bronze,Loxtonia Cider,Loxtonia Cider African Sundowner Baobab Flavoured Apple Cider,Cider with Fruits & Flowers
26,Flavoured,🥉 Bronze,Lyme Bay Winery,Ammonite Series with Hops,Cider with Hops
27,Flavoured,🥉 Bronze,Lyme Bay Winery,Ammonite Series with Sour Cherry,Cider with Fruits & Flowers
28,Flavoured,🥉 Bronze,Mac Ivors Cider Co,Mac Ivors Plum & Ginger Cider,Cider with Herbs & Spices
29,Flavoured,🥉 Bronze,Marks & Spencer,Berry Cider,Cider with Fruits & Flowers
30,Flavoured,🥉 Bronze,Marks & Spencer,Christmas Cider,Cider with Herbs & Spices
31,Flavoured,🥉 Bronze,Marks & Spencer,Cornish Cloudy Farmhouse Cider with Sicilian Lemon,Cider with Fruits & Flowers
32,Flavoured,🥉 Bronze,Marks & Spencer,Devon Farmhouse Cider with Elderflower Infusion,Cider with Fruits & Flowers
33,Flavoured,🥉 Bronze,Marks & Spencer,Kentish Pip Katy Apple & Rhubarb Cider,Cider with Fruits & Flowers
34,Flavoured,🥉 Bronze,Polabský Mošt,Cider Magnetic Apple Chmelený,Cider with Hops
35,Flavoured,🥉 Bronze,R. Ammersin,Reverend Nat’s Revival Hard Apple,Cider with Hops
36,Flavoured,🥉 Bronze,R. Ammersin,Reverend Nat’s Sacrilege Sour Cherry,Cider with Fruits & Flowers
37,Flavoured,🥉 Bronze,Saxby's Cider,Saxby's Plum Cider,Cider with Fruits & Flowers
38,Flavoured,🥉 Bronze,Sheppy's Cider,Sheppy's Cider with Raspberry,Cider with Fruits & Flowers
39,Flavoured,🥉 Bronze,Tempted Cider Company,Tempted Strawberry Cider,Cider with Fruits & Flowers
40,Flavoured,🥉 Bronze,The Peacock Cider Company,Peacock Mango & Lime,Cider with Fruits & Flowers
41,Flavoured,🥉 Bronze,"Valle, Ballina y Fernandez",El Gaitero Red Grape Spanish Cider,Cider with Fruits & Flowers
42,Flavoured,🥉 Bronze,Waitrose & Partners,Waitrose Elderflower Cider,Cider with Fruits & Flowers
43,Flavoured,🥉 Bronze,Westons Cider,Mortimer's Orchard English Berry,Cider with Fruits & Flowers
44,Flavoured,🥉 Bronze,Westons Cider,Rosie's Pig Raspberry Cloudy Cider with Cucumber,Cider with Fruits & Flowers
45,Ice Cider,🏆 Trophy,Zapiain SAT,Bizi-Goxo 2015,
46,Ice Cider,🥈 Silver,"Valle, Ballina y Fernandez",1898,
47,Ice Cider,🥉 Bronze,Angry Orchard Cider Co,Angry Orchard Iceman,
48,Ice Cider,🥉 Bronze,Pomdial,Domaine Pinnacle,
49,Ice Cider,🥉 Bronze,Pomdial,Neige Premiere,
50,Low and No Alcohol,🥈 Silver,Asahi Breweries,Nikka Cidre Rose,
51,Low and No Alcohol,🥈 Silver,Maison Sassy,Sassy Cidre Rosé,
