ID1,ID2,Year,Category,Medal,Producer,Product,Subcategory,WID,Country
59,59,2018,Low Alcohol Cider,🥈 Silver,Les Celliers Associés,Galipette Cidre Biologique,,1999,France
60,60,2018,Low Alcohol Cider,🥈 Silver,Les Celliers Associés,L'Authentique French Cider Doux,,1999,France
61,61,2018,Low Alcohol Cider,🥉 Bronze,Nikka Cidre,Nikka Cidre Rose,,1510,Japan
62,62,2018,Low Alcohol Cider,🥉 Bronze,Les Celliers Associés,Galipette Cidre Brut,,1999,France
63,63,2018,Naturally Sparkling Cider,🏆 Trophy,Loïc Raison,"Breton Cidre, Loic Raison Doux",,1369,France
64,64,2018,Naturally Sparkling Cider,🏆 Trophy,Chalkdown Cider,Chalkdown Cider,,2475,England
65,65,2018,Naturally Sparkling Cider,🥇 Gold,Calvados Pierre Huet,6Somewhere La Douleur Exquise,,1691,France
66,66,2018,Naturally Sparkling Cider,🥇 Gold,Angry Orchard,Dear Brittany,,87,United States
67,67,2018,Naturally Sparkling Cider,🥈 Silver,Calvados Pierre Huet,6Somewhere Afternoon Delight,,1691,France
68,68,2018,Naturally Sparkling Cider,🥈 Silver,Cidre Le Brun,Cidre Le Brun Brut,,1586,France
69,69,2018,Naturally Sparkling Cider,🥉 Bronze,Calvados Pierre Huet,6Somewhere Coup De Foudre,,1691,France
70,70,2018,Naturally Sparkling Cider,🥉 Bronze,Cidre Le Brun,Cidre Le Brun Organic,,1586,France
71,71,2018,Naturally Sparkling Cider,🥉 Bronze,Marks & Spencer,Breton Cider,,3542,England
72,72,2018,Naturally Sparkling Cider,🥉 Bronze,Napton Cidery,Red Devil Single Variety,,2027,England
73,73,2018,Naturally Sparkling Cider,🥉 Bronze,North Wood Cyder,Northwood Cyder,,3544,England
74,74,2018,New World Style Cider,🏆 Trophy,Tempted Cider,Tempted Irish Cider - Dry,,1459,Northern Ireland
75,75,2018,New World Style Cider,🥈 Silver,Appie,Le Brut,,2895,France
76,76,2018,New World Style Cider,🥈 Silver,Aston Manor Cider,Kingstone Press Classic Apple,,3093,England
77,77,2018,New World Style Cider,🥈 Silver,Brännland Cider,"Brännland Cider 4,5%",,1456,Sweden
78,78,2018,New World Style Cider,🥈 Silver,Brännland Cider,"Pernilla Perle 2016 8,5%",,1456,Sweden
79,79,2018,New World Style Cider,🥈 Silver,Sxollie,Sxollie Natural Granny Smith Cider,,2504,England
80,80,2018,New World Style Cider,🥈 Silver,Ramborn Cider Co.,Ramborn Original - Medium Dry Cider,,2698,Luxembourg
81,81,2018,New World Style Cider,🥈 Silver,Ramborn Cider Co.,Ramborn Single Variety Erbachhofer - 2016 Harvest,,2698,Luxembourg
82,82,2018,New World Style Cider,🥉 Bronze,Angry Orchard,Crisp Apple,,87,United States
83,83,2018,New World Style Cider,🥉 Bronze,Angry Orchard,Newtown Pippin (2016),,87,United States
84,84,2018,New World Style Cider,🥉 Bronze,Aston Manor Cider,Crumpton Oaks Farmhouse Dry,,3093,England
85,85,2018,New World Style Cider,🥉 Bronze,Aston Manor Cider,Friels First Press Vintage,,3093,England
86,86,2018,New World Style Cider,🥉 Bronze,Bi-Marct,Adam Selection Apple Cider,,3509,Croatia
87,87,2018,New World Style Cider,🥉 Bronze,Biddenden Vineyards,Sparkling Kentish Cider Biddies 5,,1217,England
88,88,2018,New World Style Cider,🥉 Bronze,Biddenden Vineyards,Sparkling Kentish Cider Red Love,,1217,England
89,89,2018,New World Style Cider,🥉 Bronze,Bulwark Cider,Bulwark Cider Original,,734,Canada
90,90,2018,New World Style Cider,🥉 Bronze,Cider Brothers,Pacific Coast Bone Dry Apple Cider,,193,United States
91,91,2018,New World Style Cider,🥉 Bronze,Cider Brothers,Pacific Coast Raw Apple Hard Cider,,193,United States
92,92,2018,New World Style Cider,🥉 Bronze,Crate Brewery,Crate Cider,,3536,England
93,93,2018,New World Style Cider,🥉 Bronze,Maeloc,Maeloc Sparkling Organic Cider,,2510,Spain
94,94,2018,New World Style Cider,🥉 Bronze,Hawkes,Soul Trader,,2518,England
95,95,2018,New World Style Cider,🥉 Bronze,Hawkes,Urban Orchard Apple Cider,,2518,England
96,96,2018,New World Style Cider,🥉 Bronze,A-Factory Aomori Cidre,Aomori Cidre Sparkling Aomoriã-Nanae,,3097,Japan
97,97,2018,New World Style Cider,🥉 Bronze,A-Factory Aomori Cidre,Aomori Cidre Sparkling Dry,,3097,Japan
98,98,2018,New World Style Cider,🥉 Bronze,A-Factory Aomori Cidre,Aomori Cidre Sparkling Sweet,,3097,Japan
99,99,2018,New World Style Cider,🥉 Bronze,Sxollie,Sxollie Natural Golden Delicious Cider,,2504,England
100,100,2018,New World Style Cider,🥉 Bronze,Kiezbaum,Kiezbaum Cider (Apple),,3523,Germany
101,101,2018,New World Style Cider,🥉 Bronze,Oldfields Cider,Oldfields Medium Dry Worcestershire Cider,,3517,England
102,102,2018,New World Style Cider,🥉 Bronze,Ramborn Cider Co.,Ramborn Farmhouse - Dry Cider,,2698,Luxembourg
103,103,2018,New World Style Cider,🥉 Bronze,Sidewood Estate,Sidewood Estate Apple Cider,,1916,Australia
104,104,2018,New World Style Cider,🥉 Bronze,Savanna,Savanna Dry,,3180,South Africa
105,105,2018,New World Style Cider,🥉 Bronze,Wignac,Le Lievre de Wignac,,2145,France
106,106,2018,Pear Cider,🥈 Silver,Cold Hand Winery,Pyrus Danica 2015,,1986,Denmark
107,107,2018,Pear Cider,🥈 Silver,Fils de Pomme,L'épatant- Organic Pear Cider,,3175,France
108,108,2018,Pear Cider,🥉 Bronze,Marks & Spencer,M&S Vintage Pear Cider,,3542,England
109,109,2018,Pear Cider,🥉 Bronze,Sidewood Estate,Sidewood Estate Pear Cider,,1916,Australia
110,110,2018,Perry,🥈 Silver,Ramborn Cider Co.,Ramborn Perry,,2698,Luxembourg
111,111,2018,Perry,🥉 Bronze,Angry Orchard,Perry,,87,United States
112,112,2018,Perry,🥉 Bronze,Appie,Le Poiré,,2895,France
113,113,2018,Perry,🥉 Bronze,Westons Cider,Waitrose Westons English Vintage Perry Cider,,1131,England
114,114,2018,Spanish Cider,🥈 Silver,Angry Orchard,Edu,,87,United States
115,115,2018,Spanish Cider,🥉 Bronze,Izeta,Izeta Ciders,,1615,Spain
116,116,2018,Speciality Cider,🏆 Trophy,Angry Orchard,The Muse,,87,United States
117,117,2018,Speciality Cider,🥇 Gold,Taunton Cider Company,Taunton Original 2016 Vintage Cider,,3520,England
118,118,2018,Speciality Cider,🥈 Silver,Angry Orchard,Iceman,,87,United States
119,119,2018,Speciality Cider,🥈 Silver,Groupe Geloso,Cidre Verglas,,3177,Canada
120,120,2018,Speciality Cider,🥈 Silver,Dunkertons Cider and Perry,Organic Vintage Cider,,1133,England
121,121,2018,Speciality Cider,🥈 Silver,Bulmers,Bulmers Orchard Pioneers Kier's Cloudy Apple Cider,,1250,England
122,122,2018,Speciality Cider,🥈 Silver,Les Celliers Associés,Cidre de Bretagne Bio,,1999,France
123,123,2018,Speciality Cider,🥈 Silver,Les Celliers Associés,L'Authentique French Cider Brut,,1999,France
124,124,2018,Speciality Cider,🥈 Silver,Marks & Spencer,Kentish Pip Discovery Cider,,3542,England
125,125,2018,Speciality Cider,🥈 Silver,Thatchers Cider,Thatchers Cider Barn Dabinett,,1119,England
126,126,2018,Speciality Cider,🥈 Silver,Thatchers Cider,Thatchers Cider Barn Redstreak,,1119,England
127,127,2018,Speciality Cider,🥉 Bronze,Aspall,1728 Fine Sparkling Cyder,,1227,England
128,128,2018,Speciality Cider,🥉 Bronze,Aspall,Imperial Vintage Cyder,,1227,England
129,129,2018,Speciality Cider,🥉 Bronze,Aspall,Organic Cyder,,1227,England
130,130,2018,Speciality Cider,🥉 Bronze,Aspall,Harry Sparrow Cyder,,1227,England
