Medalist,Country,🏆 Trophy,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
Thatchers Cider,England,---,---,---,3,3,"<a href=""https://www.thatcherscider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/ThatchersCiderCompany"">Facebook</a>","<a href=""https://www.instagram.com/thatcherscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15191093037076298219"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g4412909-d11019728"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/3063"">Untappd</a>"
Sidra Laberinto Patagonia,Argentina,---,---,2,---,2,,"<a href=""https://www.facebook.com/sidrerialaberinto"">Facebook</a>","<a href=""https://www.instagram.com/sidralaberinto/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12513681061761649729"">Google</a>",,"<a href=""https://untappd.com/w/sidra-laberinto/556612"">Untappd</a>"
Aston Manor Cider,England,---,---,1,1,2,"<a href=""https://www.astonmanor.co.uk/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=8328306569280299730"">Google</a>",,"<a href=""https://untappd.com/AstonManorBreweryCo"">Untappd</a>"
Cidra,Lebanon,---,---,1,1,2,,"<a href=""https://www.facebook.com/cidralebanon"">Facebook</a>","<a href=""https://www.instagram.com/cidralebanon/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14218291570320417037"">Google</a>",,"<a href=""https://untappd.com/w/cidra-s-a-l/532701"">Untappd</a>"
J&R Armitage,England,---,---,1,1,2,"<a href=""https://armitagesparklingwines.co.uk/"">Website</a>","<a href=""https://www.facebook.com/JRArmitage1/"">Facebook</a>","<a href=""https://www.instagram.com/jr_armitage/"">Instagram</a>",,,"<a href=""https://untappd.com/w/j-r-armitage/492057"">Untappd</a>"
Kentish Pip,England,---,---,1,1,2,"<a href=""https://www.kentishpip.co.uk/"">Website</a>","<a href=""https://www.facebook.com/kentishpip"">Facebook</a>","<a href=""https://www.instagram.com/kentishpip"">Instagram</a>","<a href=""https://maps.google.com/?cid=10171179408012212368"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g186311-d19116139"">TripAdvisor</a>","<a href=""https://untappd.com/w/kentish-pip/56097"">Untappd</a>"
Once Upon A Tree Cider,England,---,---,1,1,2,"<a href=""https://haygrove-evolution.com/"">Website</a>","<a href=""https://www.facebook.com/pages/Once-Upon-A-Tree/10150098694340377"">Facebook</a>","<a href=""https://www.instagram.com/onceuponatree/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12263515311660061269"">Google</a>",,"<a href=""https://untappd.com/OnceUponATree"">Untappd</a>"
Coles Liquor Group,Australia,---,---,---,2,2,"<a href=""https://www.coles.com.au/"">Website</a>",,,,,"<a href=""https://untappd.com/w/australian-beer-connoisseurs-liquorland/83466"">Untappd</a>"
Cydr Dwaj Bracia,Poland,---,---,---,2,2,"<a href=""https://dwajbracia.pl/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100094619362211"">Facebook</a>","<a href=""https://www.instagram.com/cydr_dwaj_bracia"">Instagram</a>",,,"<a href=""https://untappd.com/w/cydr-dwaj-bracia/551234"">Untappd</a>"
La Mordue,France,---,---,---,2,2,"<a href=""https://www.lamordue.fr/"">Website</a>","<a href=""https://www.facebook.com/ciderlamordue/"">Facebook</a>","<a href=""https://www.instagram.com/ciderlamordue/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12531232480419391978"">Google</a>",,"<a href=""https://untappd.com/w/la-mordue/534655"">Untappd</a>"
Sandford Orchards,England,---,---,---,2,2,"<a href=""https://www.sandfordorchards.co.uk/"">Website</a>","<a href=""https://www.facebook.com/sandfordorchards"">Facebook</a>","<a href=""https://www.instagram.com/sandfordorchards/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2784404680033020235"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g635675-d14758900"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/14080"">Untappd</a>"
Westons Cider,England,---,---,---,2,2,"<a href=""https://www.westons-cider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/WestonsCiderMill"">Facebook</a>","<a href=""https://www.instagram.com/westonscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11779156514256391794"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g186303-d218508"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/6135"">Untappd</a>"
