ID,Year,Class,Producer,Producer_Original,County,Place,WID,Status,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
22,2023,Bottle Conditioned Cider,Sisson & Smith,Alistair Smith,Nottinghamshire,🥇 First,3041,Active,,,,,,"<a href=""https://untappd.com/w/sisson-smith/229581"">Untappd</a>"
23,2023,Bottle Conditioned Cider,The Lingens Farm,Lingens Farm,Worcestershire,🥈 Second,3477,Active,,"<a href=""https://www.facebook.com/lingensfarmciderandperry/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=17405441244644367287"">Google</a>",,"<a href=""https://untappd.com/w/the-lingens-farm/483736"">Untappd</a>"
24,2023,Bottle Conditioned Cider,Cwm Maddoc Cider & Perry,Hollow Ash (Jeremy Harris),Herefordshire,🥉 Third,2390,Active,"<a href=""https://hollow-ash.co.uk/cwm-maddoc-cider-perry/"">Website</a>","<a href=""https://www.facebook.com/HollowAshOrchard"">Facebook</a>","<a href=""https://www.instagram.com/hollow_ash_orchard/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14948326245436298276"">Google</a>",,"<a href=""https://untappd.com/w/cwm-maddoc/343615"">Untappd</a>"
25,2023,Bottle Fermented Perry,Sisson & Smith,Alistair Smith,Nottinghamshire,🥇 First,3041,Active,,,,,,"<a href=""https://untappd.com/w/sisson-smith/229581"">Untappd</a>"
26,2023,Bottle Conditioned Perry,The Lingens Farm,Lingens Farm,Worcestershire,🥇 First,3477,Active,,"<a href=""https://www.facebook.com/lingensfarmciderandperry/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=17405441244644367287"">Google</a>",,"<a href=""https://untappd.com/w/the-lingens-farm/483736"">Untappd</a>"
27,2023,Bottle Conditioned Perry,Rob Castle,Rob Castle,Gloucestershire,🥈 Second,3562,Active,,,,,,
28,2023,Best in Worcestershire,The Lingens Farm,Lingens Farm,Worcestershire,🏆 Winner,3477,Active,,"<a href=""https://www.facebook.com/lingensfarmciderandperry/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=17405441244644367287"">Google</a>",,"<a href=""https://untappd.com/w/the-lingens-farm/483736"">Untappd</a>"
29,2023,Best in Gloucestershire,Ragged Stone Cider & Perry,Ragged Stone,Gloucestershire,🏆 Winner (Joint),2791,Active,,"<a href=""https://www.facebook.com/raggedstonecider/"">Facebook</a>",,,,"<a href=""https://untappd.com/w/ragged-stone/201743"">Untappd</a>"
30,2023,Best in Gloucestershire,Rob Castle,Rob Castle,Gloucestershire,🏆 Winner (Joint),3562,Active,,,,,,
31,2023,Best in Gloucestershire,McCrindle's Cider,McCrindles Cider,Gloucestershire,🏆 Winner (Joint),2790,Active,"<a href=""http://mccrindlescider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100054383207510"">Facebook</a>",,,,"<a href=""https://untappd.com/w/mccrindles/18884"">Untappd</a>"
32,2023,Best in Herefordshire,Henhope Cider,Henhope Cider,Herefordshire,🏆 Winner,3205,Active,,"<a href=""https://www.facebook.com/HenhopeCider/"">Facebook</a>",,,,"<a href=""https://untappd.com/w/henhope/525004"">Untappd</a>"
33,2023,Albert Rixen Newcomer,Henhope Cider,Henhope Cider,Herefordshire,🏆 Winner,3205,Active,,"<a href=""https://www.facebook.com/HenhopeCider/"">Facebook</a>",,,,"<a href=""https://untappd.com/w/henhope/525004"">Untappd</a>"
34,2023,Best in Show,Henhope Cider,Henhope Cider,Herefordshire,🏆 Winner,3205,Active,,"<a href=""https://www.facebook.com/HenhopeCider/"">Facebook</a>",,,,"<a href=""https://untappd.com/w/henhope/525004"">Untappd</a>"
35,2023,Best in Show,Rosie's Triple D Cider,Rosie’s Triple D,Denbighshire,🏆 Reserve,1282,Active,"<a href=""https://www.rosiescider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/rosiescider/"">Facebook</a>","<a href=""https://www.instagram.com/rosies_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12453816872387933094"">Google</a>",,"<a href=""https://untappd.com/w/rosies-triple-d-cider/72489"">Untappd</a>"
36,2024,Dry Cider,Woodredding Farm Cider,Woodredding Farm Cider,Herefordshire,🥇 First,1572,Active,"<a href=""https://www.woodreddingcider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/woodreddingcider"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=13540344738396319268"">Google</a>",,"<a href=""https://untappd.com/w/woodredding/156024"">Untappd</a>"
37,2024,Dry Cider,The Lingens Farm,Lingens Farm,Worcestershire,🥈 Second,3477,Active,,"<a href=""https://www.facebook.com/lingensfarmciderandperry/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=17405441244644367287"">Google</a>",,"<a href=""https://untappd.com/w/the-lingens-farm/483736"">Untappd</a>"
38,2024,Dry Cider,Monkey Bridge Cider,Monkey Bridge Cider,Derbyshire,🥉 Third,3560,Active,,,,,,"<a href=""https://untappd.com/w/monkey-bridge-cider/401432"">Untappd</a>"
