COUNTA of Place,Place,col2,col3,col4,col5,col6,col7
Year,👍 Commended,👍 Highly Commended,🥇 First,🥈 Second,🥈 Second (Joint),🥉 Third,Grand Total
2023,,1,10,8,,7,26
2024,2,1,9,7,2,6,27
Grand Total,2,2,19,15,2,13,53
