Year,🏆 Best in Class,🥇 Gold,🥈 Silver,🥉 Bronze,Total
<b>2023</b>,13,30,133,155,<b>331</b>
<b>2024</b>,15,15,126,139,<b>295</b>
Total,28,45,259,294,626
