Year,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total
<b>2011</b>,1,7,10,<b>18</b>
<b>2012</b>,3,8,26,<b>37</b>
<b>2013</b>,7,18,48,<b>73</b>
<b>2014</b>,3,21,34,<b>58</b>
<b>2015</b>,2,25,78,<b>105</b>
<b>2016</b>,5,25,88,<b>118</b>
<b>2017</b>,5,48,141,<b>194</b>
<b>2018</b>,13,53,121,<b>187</b>
<b>2019</b>,16,37,103,<b>156</b>
<b>2021</b>,22,60,70,<b>152</b>
<b>2022</b>,9,35,79,<b>123</b>
<b>2023</b>,13,51,104,<b>168</b>
<b>2024</b>,20,45,97,<b>162</b>
Total,119,433,999,"1,551"
