Year,🏆 Trophy,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total
<b>2018</b>,8,9,63,119,<b>199</b>
<b>2019</b>,7,10,73,90,<b>180</b>
<b>2020</b>,10,6,70,72,<b>158</b>
<b>2021</b>,4,3,42,68,<b>117</b>
<b>2022</b>,7,9,53,52,<b>121</b>
<b>2023</b>,6,10,52,71,<b>139</b>
<b>2024</b>,6,1,33,67,<b>107</b>
Total,48,48,386,539,1021
