Region,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total
Washington,3,3,4,10
Nebraska,2,5,3,10
Ontario,3,3,3,9
New York,4,3,1,8
North Carolina,2,2,3,7
Vermont,3,2,1,6
Wisconsin,1,2,2,5
Pennsylvania,1,0,4,5
Ohio,3,1,0,4
Arkansas,2,1,1,4
Virginia,1,2,0,3
Kentucky,1,1,1,3
Michigan,0,1,2,3
California,0,0,3,3
Arizona,2,0,0,2
Massachusetts,1,0,1,2
Minnesota,1,0,1,2
Utah,0,1,1,2
Georgia,1,0,0,1
Colorado,0,1,0,1
Iowa,0,1,0,1
Maryland,0,1,0,1
New Jersey,0,1,0,1
Total,31,31,31,93
