Year,Category,Producer,Department,Medal,Status,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
2017,Cidre Artisanal Demi-Sec,Cidre Sorre,Ille-et-Vilaine,🥈 Argent,Active,"<a href=""https://www.cidre-sorre.fr/"">Website</a>","<a href=""https://www.facebook.com/CidrerieSorre/"">Facebook</a>","<a href=""https://www.instagram.com/cidreriesorre/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3277478841126723957"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g8506159-d8653800"">TripAdvisor</a>","<a href=""https://untappd.com/w/cidre-sorre/16758"">Untappd</a>"
2017,Cidre Artisanal Doux,Cidrerie Château Lézergué,Finistère,🥇 Or,Active,"<a href=""https://www.chateau-lezergue.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100066917829363"">Facebook</a>","<a href=""https://www.instagram.com/cidrerie_chateaudelezergue/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8273125568764221419"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-du-chateau-de-lezergue/127246"">Untappd</a>"
2017,Pommeau de Plus de 3 Ans,Distillerie du Gorvello,Morbihan,🥇 Or,Active,"<a href=""https://www.distilleriedugorvello.fr/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100069448008978"">Facebook</a>","<a href=""https://www.instagram.com/distilleriedugorvello.bzh/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13385362377425184430"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g2184206-d10593781"">TripAdvisor</a>","<a href=""https://untappd.com/w/distillerie-du-gorvello/69203"">Untappd</a>"
2017,Pommeau de Plus de 3 Ans,Au Pressoir du Bélon,Finistère,🥈 Argent,Active,"<a href=""https://www.cidre-belon-bretagne.fr/"">Website</a>","<a href=""https://www.facebook.com/pressoirdubelon/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=3283810982033688807"">Google</a>",,
2017,Pommeau de Moins de 3 Ans,Distillerie Warenghem,Côtes-d'Armor,🥇 Or,Active,"<a href=""https://www.distillerie-warenghem.bzh/"">Website</a>","<a href=""https://www.facebook.com/warenghem/"">Facebook</a>",,,,
2017,Pommeau de Moins de 3 Ans,Cidrerie de Menez-Brug,Finistère,🥉 Bronze,Active,"<a href=""https://www.cidrerie-de-menez-brug.com/"">Website</a>","<a href=""https://www.facebook.com/cidreriemenezbrug.fr/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=10640223041696316686"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g666452-d15052081"">TripAdvisor</a>","<a href=""https://untappd.com/w/cidrerie-de-menez-brug/150603"">Untappd</a>"
2017,Pommeau de Moins de 3 Ans,Cidrerie Melenig,Finistère,🥉 Bronze,Active,,,"<a href=""https://www.instagram.com/cidremelenig/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10374518201153439760"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g6922089-d7330818"">TripAdvisor</a>","<a href=""https://untappd.com/CidrerieMelenig"">Untappd</a>"
2017,Eau de Vie de Cidre de Moins de 4 Ans,Les Vergers de Kermao,Finistère,🥇 Or,Active,"<a href=""https://www.cidre-bretagne.com/"">Website</a>",,"<a href=""https://www.instagram.com/kermao.cidre/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11761800243914556755"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g2184442-d8603735"">TripAdvisor</a>","<a href=""https://untappd.com/w/les-vergers-de-kermao/240565"">Untappd</a>"
2017,Eau de Vie de Cidre de Moins de 4 Ans,Cidrerie Manoir du Kinkiz,Finistère,🥈 Argent,Active,"<a href=""https://www.kinkiz-terroir.bzh/"">Website</a>","<a href=""https://www.facebook.com/DomaineDuKinkiz/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=1999207604560008916"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g187100-d7745799"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/19870"">Untappd</a>"
2017,Eau de Vie de Cidre de Moins de 4 Ans,Distillerie du Gorvello,Morbihan,🥉 Bronze,Active,"<a href=""https://www.distilleriedugorvello.fr/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100069448008978"">Facebook</a>","<a href=""https://www.instagram.com/distilleriedugorvello.bzh/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13385362377425184430"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g2184206-d10593781"">TripAdvisor</a>","<a href=""https://untappd.com/w/distillerie-du-gorvello/69203"">Untappd</a>"
2017,Eau de Vie de Cidre de Plus de 4 Ans,Cidrerie de Menez-Brug,Finistère,🥇 Or,Active,"<a href=""https://www.cidrerie-de-menez-brug.com/"">Website</a>","<a href=""https://www.facebook.com/cidreriemenezbrug.fr/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=10640223041696316686"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g666452-d15052081"">TripAdvisor</a>","<a href=""https://untappd.com/w/cidrerie-de-menez-brug/150603"">Untappd</a>"
2017,Eau de Vie de Cidre de Plus de 4 Ans,Distillerie Artisanale du Plessis,Finistère,🥈 Argent,Active,"<a href=""http://www.distillerie-bretagne.com/"">Website</a>",,,,,
2017,Eau de Vie de Cidre de Plus de 4 Ans,Distillerie du Gorvello,Morbihan,🥈 Argent,Active,"<a href=""https://www.distilleriedugorvello.fr/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100069448008978"">Facebook</a>","<a href=""https://www.instagram.com/distilleriedugorvello.bzh/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13385362377425184430"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g2184206-d10593781"">TripAdvisor</a>","<a href=""https://untappd.com/w/distillerie-du-gorvello/69203"">Untappd</a>"
