Year,🏆 Best of Category,🥇 Gold,🥈 Silver,🥉 Honor,Total
<b>2018</b>,5,17,39,54,<b>115</b>
<b>2019</b>,5,22,42,41,<b>110</b>
<b>2020</b>,6,41,49,33,<b>129</b>
<b>2021</b>,9,53,48,37,<b>147</b>
<b>2022</b>,11,30,56,59,<b>156</b>
<b>2023</b>,6,36,60,55,<b>157</b>
<b>2024</b>,5,47,53,50,<b>155</b>
Total,47,246,347,329,969
