Year,🏆 Platinum,🥇🥇 Double Gold,🥇 Gold,🥈 Silver,🥉 Bronze,👍 Judges' Pick,Total
<b>2017</b>,---,13,13,13,13,39,<b>91</b>
<b>2018</b>,---,14,17,14,17,42,<b>104</b>
<b>2019</b>,---,15,18,18,16,45,<b>112</b>
<b>2020</b>,18,20,19,22,---,44,<b>123</b>
<b>2022</b>,17,18,21,17,---,51,<b>124</b>
<b>2023</b>,22,25,23,23,---,57,<b>150</b>
<b>2024</b>,25,26,28,26,---,42,<b>147</b>
Total,82,131,139,133,46,320,851
