Country,🥇 Gold,🥈 Silver,🥉 Honor,Total
Germany,17,14,19,50
Austria,9,11,8,28
Spain,6,4,8,18
Sweden,9,5,2,16
Norway,5,8,2,15
Portugal,1,4,4,9
France,1,2,1,4
Denmark,3,0,0,3
Canada,1,0,2,3
Italy,0,2,0,2
Armenia,0,0,2,2
Finland,0,1,0,1
Latvia,0,1,0,1
Ukraine,0,1,0,1
Poland,0,0,1,1
Switzerland,0,0,1,1
Total,52,53,50,155
