Style,Medalist,Region,Medal,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
Cidre artisanal ou de marque brut,Cidrerie Château Lézergué,Brittany,🥇 Or,https://www.chateau-lezergue.com/,https://www.facebook.com/profile.php?id=100066917829363,https://www.instagram.com/cidrerie_chateaudelezergue/,https://maps.google.com/?cid=8273125568764221419,,https://untappd.com/w/cidrerie-du-chateau-de-lezergue/127246
Cidre artisanal ou de marque brut,Distillerie des Menhirs,Brittany,🥈 Argent,https://www.distillerie.bzh/,https://www.facebook.com/distillerie.bzh,https://www.instagram.com/distilleriedesmenhirs/,https://maps.google.com/?cid=13168987804989415582,https://www.tripadvisor.com/Attraction_Review-g2544571-d7920317,https://untappd.com/w/distillerie-des-menhirs/91619
Cidre artisanal ou de marque brut,Cidre Fournier,Normandy,🥉 Bronze,https://www.cidre-fournier.com/,https://www.facebook.com/cidrefournier,https://www.instagram.com/cidrefournier/,https://maps.google.com/?cid=13822741997025402443,,https://untappd.com/w/cidre-fournier/304628
Cidre artisanal ou de marque brut,Cidre Sorre,Brittany,🥉 Bronze,https://www.cidre-sorre.fr/,https://www.facebook.com/CidrerieSorre/,https://www.instagram.com/cidreriesorre/,https://maps.google.com/?cid=3277478841126723957,https://www.tripadvisor.com/Attraction_Review-g8506159-d8653800,https://untappd.com/w/cidre-sorre/16758
Cidre artisanal ou de marque brut,Cidre Viard-Bayeux,Normandy,🥉 Bronze,https://cidrebayeux.com/,https://www.facebook.com/CidresBayeux,https://www.instagram.com/cidrerie_bayeux/,https://maps.google.com/?cid=13233255599279949282,https://www.tripadvisor.com/Attraction_Review-g187181-d3454062,https://untappd.com/w/cidrerie-viard/26008
Cidre artisanal ou de marque brut,Cidres Kerisac,Pays de la Loire,🥉 Bronze,https://kerisac.bzh/,https://www.facebook.com/cidrekerisac,https://www.instagram.com/cidreriekerisac/,https://maps.google.com/?cid=14431639837198759734,,https://untappd.com/w/cidres-kerisac/12846
Cidre artisanal ou de marque demi-sec,Cidre Le Brun,Brittany,🥈 Argent,https://cidrelebrun.com/,,https://www.instagram.com/cidrelebrun,https://maps.google.com/?cid=5387381455239409930,,https://untappd.com/brewery/31897
Cidre artisanal ou de marque demi-sec,Cidre Séhédic,Brittany,🥈 Argent,https://www.cidre-sehedic.fr/,https://www.facebook.com/cidresehedic/,https://www.instagram.com/cidresehedic,https://maps.google.com/?cid=9273404757209871069,https://www.tripadvisor.com/Attraction_Review-g672967-d12699265,https://untappd.com/cidresehedic
Cidre artisanal ou de marque demi-sec,Cidrerie Château Lézergué,Brittany,🥈 Argent,https://www.chateau-lezergue.com/,https://www.facebook.com/profile.php?id=100066917829363,https://www.instagram.com/cidrerie_chateaudelezergue/,https://maps.google.com/?cid=8273125568764221419,,https://untappd.com/w/cidrerie-du-chateau-de-lezergue/127246
Cidre artisanal ou de marque demi-sec,Distillerie des Menhirs,Brittany,🥈 Argent,https://www.distillerie.bzh/,https://www.facebook.com/distillerie.bzh,https://www.instagram.com/distilleriedesmenhirs/,https://maps.google.com/?cid=13168987804989415582,https://www.tripadvisor.com/Attraction_Review-g2544571-d7920317,https://untappd.com/w/distillerie-des-menhirs/91619
