Country,🥇 Gold,🥈 Silver,🥉 Bronze,Total
United States,5,6,3,14
England,2,0,2,4
Ireland,2,1,0,3
Norway,2,1,0,3
Belgium,0,1,2,3
Spain,1,1,0,2
Finland,1,0,0,1
Switzerland,0,1,0,1
Wales,0,1,0,1
Total,13,12,7,32
