Region,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total
Oregon,70,76,60,206
Washington,45,51,58,154
British Columbia,13,13,15,41
Montana,5,8,3,16
Idaho,2,5,2,9
Total,135,153,138,426
