Year,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total
<b>2013</b>,7,8,7,<b>22</b>
<b>2014</b>,5,7,5,<b>17</b>
<b>2015</b>,7,7,8,<b>22</b>
<b>2016</b>,7,8,11,<b>26</b>
<b>2017</b>,8,11,12,<b>31</b>
<b>2018</b>,16,16,15,<b>47</b>
<b>2019</b>,14,19,15,<b>48</b>
<b>2021</b>,16,16,13,<b>45</b>
<b>2022</b>,20,22,18,<b>60</b>
<b>2023</b>,18,17,16,<b>51</b>
<b>2024</b>,17,22,18,<b>57</b>
Total,135,153,138,426
