Year,🥇 Gold,🥈 Silver,🥉 Bronze,Total
<b>2013</b>,4,3,3,<b>10</b>
<b>2015</b>,7,7,7,<b>21</b>
<b>2017</b>,11,9,8,<b>28</b>
<b>2019</b>,14,13,7,<b>34</b>
<b>2021</b>,13,12,7,<b>32</b>
<b>2024</b>,13,12,7,<b>32</b>
Total,62,56,39,157
