Year,🏆 Premium,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total
<b>2013</b>,---,8,---,---,<b>8</b>
<b>2014</b>,---,13,2,---,<b>15</b>
<b>2015</b>,---,11,8,7,<b>26</b>
<b>2016</b>,---,12,10,8,<b>30</b>
<b>2017</b>,---,13,11,11,<b>35</b>
<b>2018</b>,---,15,13,11,<b>39</b>
<b>2019</b>,18,17,10,10,<b>55</b>
<b>2020</b>,18,17,80,46,<b>161</b>
<b>2021</b>,16,15,22,33,<b>86</b>
<b>2022</b>,14,14,29,23,<b>80</b>
<b>2023</b>,14,16,83,43,<b>156</b>
<b>2024</b>,15,24,64,24,<b>127</b>
Total,95,175,332,216,818
