Year,🏆 Winner,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total
<b>2022</b>,9,37,90,60,<b>196</b>
<b>2023</b>,11,26,91,73,<b>201</b>
Total,20,63,181,133,397
