Year,Category,Medalist,Product,Award,Status,Region,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
2018,Flavoured Cider,Wignac,Le Goupil de Wignac,🥈 Silver,Active,France,"<a href=""https://www.wignac.com/"">Website</a>","<a href=""https://www.facebook.com/cidrewignac/"">Facebook</a>","<a href=""https://www.instagram.com/wignac.cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=471404489608206328"">Google</a>",,
2018,Flavoured Cider,Crooked Cider,Crooked Ginger n Cider,🥉 Bronze,Inactive,New Zealand,,,,,,
2018,Flavoured Cider,Angry Orchard,Cinnful Apple,🥉 Bronze,Active,United States,"<a href=""https://www.angryorchard.com/"">Website</a>","<a href=""https://www.facebook.com/AngryOrchard/"">Facebook</a>","<a href=""https://www.instagram.com/angryorchard/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17467507983407382578"">Google</a>","<a href=""https://www.yelp.com/biz/angry-orchard-walden-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g48788-d10266026"">TripAdvisor</a>"
2018,Flavoured Cider,Angry Orchard,The Old Fashioned,🥉 Bronze,Active,United States,"<a href=""https://www.angryorchard.com/"">Website</a>","<a href=""https://www.facebook.com/AngryOrchard/"">Facebook</a>","<a href=""https://www.instagram.com/angryorchard/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17467507983407382578"">Google</a>","<a href=""https://www.yelp.com/biz/angry-orchard-walden-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g48788-d10266026"">TripAdvisor</a>"
2018,Flavoured Cider,Angry Orchard,Wassail Wooden Sleeper,🥉 Bronze,Active,United States,"<a href=""https://www.angryorchard.com/"">Website</a>","<a href=""https://www.facebook.com/AngryOrchard/"">Facebook</a>","<a href=""https://www.instagram.com/angryorchard/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17467507983407382578"">Google</a>","<a href=""https://www.yelp.com/biz/angry-orchard-walden-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g48788-d10266026"">TripAdvisor</a>"
2018,Flavoured Cider,Aston Manor Cider,Kingstone Press Wild Berry,🥉 Bronze,Active,England,"<a href=""https://www.astonmanor.co.uk/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=8328306569280299730"">Google</a>",,
2018,Flavoured Cider,BlakStoc,All Saints In The House,🥉 Bronze,Active,Austria,"<a href=""http://www.blakstoc.com/"">Website</a>","<a href=""https://www.facebook.com/blakstoc/"">Facebook</a>","<a href=""https://www.instagram.com/blakstoc/"">Instagram</a>",,,
2018,Flavoured Cider,BlakStoc,Ginger For My Honey,🥉 Bronze,Active,Austria,"<a href=""http://www.blakstoc.com/"">Website</a>","<a href=""https://www.facebook.com/blakstoc/"">Facebook</a>","<a href=""https://www.instagram.com/blakstoc/"">Instagram</a>",,,
2018,Flavoured Cider,BlakStoc,OMG Ugly Apple Cider,🥉 Bronze,Active,Austria,"<a href=""http://www.blakstoc.com/"">Website</a>","<a href=""https://www.facebook.com/blakstoc/"">Facebook</a>","<a href=""https://www.instagram.com/blakstoc/"">Instagram</a>",,,
2018,Flavoured Cider,Cider Brothers,Pacific Coast Hard Apple Cider with Mango and Muscat,🥉 Bronze,Inactive,United States,,,,,,
2018,Flavoured Cider,Maeloc,Maeloc Blackberry Cider,🥉 Bronze,Active,Spain,"<a href=""https://maelocway.com/"">Website</a>","<a href=""https://www.facebook.com/maelocway/"">Facebook</a>","<a href=""https://www.instagram.com/maelocway/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11814015461660737074"">Google</a>",,
2018,Flavoured Cider,Maeloc,Maeloc Pineapple Pear Cider,🥉 Bronze,Active,Spain,"<a href=""https://maelocway.com/"">Website</a>","<a href=""https://www.facebook.com/maelocway/"">Facebook</a>","<a href=""https://www.instagram.com/maelocway/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11814015461660737074"">Google</a>",,
2018,Flavoured Cider,Dudda's Tun Cider,Cherry Cider,🥉 Bronze,Active,England,"<a href=""https://duddastuncider.com/"">Website</a>","<a href=""https://www.facebook.com/duddastuncider/"">Facebook</a>","<a href=""https://www.instagram.com/duddastuncider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14013683904909502876"">Google</a>",,
