Medalist,🥇 Or,🥈 Argent,🏅 Total,Status,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
La Cave de la Loterie,2,6,8,Active,"<a href=""https://www.cavedelaloterie.fr/"">Website</a>","<a href=""https://www.facebook.com/cavedelaloterie"">Facebook</a>","<a href=""https://www.instagram.com/cave_de_la_loterie/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14052572828101776269"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g672828-d12674111"">TripAdvisor</a>","<a href=""https://untappd.com/w/cave-de-la-loterie/234216"">Untappd</a>"
Les Vergers du Quesnay,3,4,7,Active,"<a href=""https://www.lesvergersduquesnay.fr/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100058435991351"">Facebook</a>","<a href=""https://www.instagram.com/les_vergers_du_quesnay/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15904214834922492181"">Google</a>",,"<a href=""https://untappd.com/w/les-vergers-du-quesnay/228234"">Untappd</a>"
Cidrerie Dujardin,2,5,7,Active,"<a href=""http://www.cidres-dujardin.fr/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=10438887429258835490"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-dujardin/20309"">Untappd</a>"
Cidrerie Claids,0,7,7,Active,"<a href=""https://www.cidrerieclaids.fr/"">Website</a>","<a href=""https://www.facebook.com/cidrerieclaids/"">Facebook</a>","<a href=""https://www.instagram.com/cidrerieclaids/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16896075272570280949"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-claids/541066"">Untappd</a>"
Théo Capelle,4,2,6,Active,"<a href=""https://www.theo-capelle.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100054206274447"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=3221607950662529223"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g187183-d3406164"">TripAdvisor</a>","<a href=""https://untappd.com/w/cidrerie-tha-c-o-capelle/124517"">Untappd</a>"
Ferme de la Commanderie,2,4,6,Active,"<a href=""http://www.ferme-de-la-commanderie.fr/"">Website</a>","<a href=""https://www.facebook.com/CidrerieLaCommanderie"">Facebook</a>","<a href=""https://www.instagram.com/cidreriefermedelacommanderie"">Instagram</a>","<a href=""https://maps.google.com/?cid=2113479186577428756"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g2407705-d10109503"">TripAdvisor</a>","<a href=""https://untappd.com/w/ferme-de-la-commanderie/233207"">Untappd</a>"
Le Chai de la Baie,0,6,6,Active,,"<a href=""https://www.facebook.com/jacques.daunay50/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=12654181407242940379"">Google</a>",,"<a href=""https://untappd.com/w/le-chai-de-la-baie/471739"">Untappd</a>"
Cidrerie Godefroy,3,2,5,Active,"<a href=""https://www.ecomuseeducidre.fr/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=5707167707581907830"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1572450-d3428587"">TripAdvisor</a>","<a href=""https://untappd.com/w/vincent-et-marieclaire-godefroy/207560"">Untappd</a>"
Cidrerie Traditionnelle du Perche,1,4,5,Active,"<a href=""http://www.cidrerie-traditionnelle-du-perche.fr/"">Website</a>","<a href=""https://www.facebook.com/cidrerietraditionnelleduperche"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=4098308531613353726"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-traditionnelle-du-perche/28040"">Untappd</a>"
La Ferme de Billy,0,5,5,Active,"<a href=""https://www.ferme-de-billy.com/"">Website</a>","<a href=""https://www.facebook.com/lafermedebilly/"">Facebook</a>","<a href=""https://www.instagram.com/lafermedebilly/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11023078698699122653"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g7741562-d6974742"">TripAdvisor</a>","<a href=""https://untappd.com/w/la-ferme-de-billy/247621"">Untappd</a>"
Cidrerie Domaine du Ruisseau,3,1,4,Active,,,,"<a href=""https://maps.google.com/?cid=14181024575525431243"">Google</a>",,"<a href=""https://untappd.com/w/domaine-du-ruisseau/470036"">Untappd</a>"
Ferme de la Vallée au Tanneur,1,3,4,Active,,"<a href=""https://www.facebook.com/valleeautanneur"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=1292218678865448801"">Google</a>",,"<a href=""https://untappd.com/w/ferme-de-la-vallee-au-tanneur/102219"">Untappd</a>"
Manoir de Grandouet,1,3,4,Active,"<a href=""https://www.manoir-de-grandouet.fr/"">Website</a>","<a href=""https://www.facebook.com/grandval.fr/"">Facebook</a>","<a href=""https://www.instagram.com/manoirdegrandouet/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1664850146101306839"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g672825-d6994534"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/18942"">Untappd</a>"
Cidrerie de la Brique,0,4,4,Active,"<a href=""https://cidreriedelabrique.com/"">Website</a>","<a href=""https://www.facebook.com/CidreriedelaBrique/"">Facebook</a>","<a href=""https://www.instagram.com/cidreriedelabrique/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7178427047416068956"">Google</a>",,"<a href=""https://untappd.com/CidreriedeLaBrique"">Untappd</a>"
Écusson,0,4,4,Active,"<a href=""https://www.cidre-ecusson.com/"">Website</a>","<a href=""https://www.facebook.com/CidreEcusson/"">Facebook</a>","<a href=""https://www.instagram.com/cidreecusson/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4055962133986878795"">Google</a>",,"<a href=""https://untappd.com/w/cidres-ecusson/15641"">Untappd</a>"
Domaine Olivier,2,1,3,Active,"<a href=""https://www.ledomaineolivier.com/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=12832839833696798380"">Google</a>",,"<a href=""https://untappd.com/w/domaine-olivier/337350"">Untappd</a>"
Zathinoé,2,1,3,Active,"<a href=""https://zathinoe.fr/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=2359582709656446462"">Google</a>",,"<a href=""https://untappd.com/w/zathinoe/452758"">Untappd</a>"
Breton Michel,1,2,3,Active,"<a href=""https://www.cidre-bretonmichel.com/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=12939236238538332078"">Google</a>",,"<a href=""https://untappd.com/w/breton-michel/222629"">Untappd</a>"
Domaine des 5 Autels,1,2,3,Active,"<a href=""https://cinqautels.com/"">Website</a>","<a href=""https://www.facebook.com/5Autels/"">Facebook</a>","<a href=""https://www.instagram.com/5autels/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1561300018564057036"">Google</a>","<a href=""https://www.tripadvisor.com/Hotel_Review-g1385431-d1308959"">TripAdvisor</a>","<a href=""https://untappd.com/w/domaine-des-cinqs-autels/519014"">Untappd</a>"
La Maison Ferré,0,3,3,Active,"<a href=""https://www.lamaisonferre.fr/"">Website</a>","<a href=""https://www.facebook.com/cidreduperche"">Facebook</a>","<a href=""https://www.instagram.com/la_maison_ferre"">Instagram</a>","<a href=""https://maps.google.com/?cid=13764361049917258070"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g4926524-d23694021"">TripAdvisor</a>","<a href=""https://untappd.com/w/la-maison-ferrac/161574"">Untappd</a>"
Les Vergers de la Passion,0,3,3,Active,"<a href=""https://les-vergers-de-la-passion-cidrerie.fr/"">Website</a>","<a href=""https://www.facebook.com/LesVergersDeLaPassion.FermeCidricole/"">Facebook</a>","<a href=""https://www.instagram.com/lesvergersdelapassion/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9889208295960516000"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g13423894-d13413411"">TripAdvisor</a>","<a href=""https://untappd.com/w/les-vergers-de-la-passion/468828"">Untappd</a>"
Manoir d'Apreval,0,3,3,Active,"<a href=""https://www.apreval.com/"">Website</a>","<a href=""https://www.facebook.com/manoirdapreval/"">Facebook</a>","<a href=""https://www.instagram.com/manoirdapreval/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10807770520098333687"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g2205406-d9715014"">TripAdvisor</a>","<a href=""https://untappd.com/w/manoir-d-apreval/228726"">Untappd</a>"
Cidre de Grévilly,1,1,2,Active,"<a href=""https://cidre-grevilly.jimdofree.com/"">Website</a>",,,,,"<a href=""https://untappd.com/w/brigitte-criaud-le-cidre-de-grevilly/212195"">Untappd</a>"
Cidrerie Michel Bréavoine,1,1,2,Active,"<a href=""https://www.breavoine.fr/"">Website</a>","<a href=""https://www.facebook.com/cidrebreavoine/"">Facebook</a>","<a href=""https://www.instagram.com/cidrebreavoine/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13497264920337240271"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-michel-breavoine/123090"">Untappd</a>"
Ferme Marcotte,1,1,2,Active,"<a href=""http://marcotte.coop/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100057365473102"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=15515441844251158681"">Google</a>",,"<a href=""https://untappd.com/w/ferme-cooperative-marcotte/466175"">Untappd</a>"
Groualle Frères,1,1,2,Active,,"<a href=""https://www.facebook.com/GROUALLEANTHONY"">Facebook</a>",,,,
Le Clos des Citots,1,1,2,Active,"<a href=""https://www.leclosdescitots.fr/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100066990398769"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=3330784351320305206"">Google</a>",,"<a href=""https://untappd.com/w/le-clos-des-citots-gerard-lenormand/87074"">Untappd</a>"
Le P'tit Clos Normand,1,1,2,Active,"<a href=""https://www.boeuf-cidre.com/"">Website</a>","<a href=""https://www.facebook.com/francoisxavier.craquelin/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=13679042805577864069"">Google</a>",,
Les Vergers du Chouquet,1,1,2,Active,,,,"<a href=""https://maps.google.com/?cid=4633427283115041645"">Google</a>",,"<a href=""https://untappd.com/w/les-vergers-du-chouquet/50301"">Untappd</a>"
Manoir de Durcet,1,1,2,Active,"<a href=""https://www.breton-manoirdedurcet.fr/"">Website</a>","<a href=""https://www.facebook.com/manoirdedurcet/"">Facebook</a>","<a href=""https://www.instagram.com/manoirdedurcetgaec/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3868969713989886200"">Google</a>",,"<a href=""https://untappd.com/w/manoir-de-durcet/399555"">Untappd</a>"
Ferme de Cavelande,0,2,2,Active,"<a href=""https://www.fermedecavelande.fr/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=949032948010559518"">Google</a>",,"<a href=""https://untappd.com/w/ferme-de-cavelande/465256"">Untappd</a>"
GAEC Hédouin,0,2,2,Active,,"<a href=""https://www.facebook.com/gaechedouin/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=8955816640789328765"">Google</a>",,
La Ferme des Ruelles,0,2,2,Active,"<a href=""https://www.fermedesruelles.com/"">Website</a>","<a href=""https://www.facebook.com/fermedesruelles"">Facebook</a>","<a href=""https://www.instagram.com/la_ferme_des_ruelles/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14485040344949359277"">Google</a>","<a href=""https://www.tripadvisor.com/Hotel_Review-g6623129-d6622401"">TripAdvisor</a>","<a href=""https://untappd.com/w/la-ferme-des-ruelles/141983"">Untappd</a>"
Le Costil Rouge,0,2,2,Active,,,,"<a href=""https://maps.google.com/?cid=813458325751135495"">Google</a>",,"<a href=""https://untappd.com/w/didier-gilbert/324320"">Untappd</a>"
Les Vergers d'Auvillars,0,2,2,Active,,"<a href=""https://www.facebook.com/profile.php?id=100064493697087"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=6624112631217511275"">Google</a>",,"<a href=""https://untappd.com/w/les-vergers-d-auvillars/298717"">Untappd</a>"
Cidre Écusson,1,0,1,Active,"<a href=""https://www.cidre-ecusson.com/"">Website</a>","<a href=""https://www.facebook.com/CidreEcusson/"">Facebook</a>","<a href=""https://www.instagram.com/cidreecusson/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16717845515481593007"">Google</a>",,"<a href=""https://untappd.com/w/cidres-ecusson/15641"">Untappd</a>"
Earl du Manoir,1,0,1,Active,"<a href=""https://cidre-du-manoir-27.fr/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=4044711697661996773"">Google</a>",,
Le Perrey Picot,1,0,1,Active,,"<a href=""https://www.facebook.com/profile.php?id=100060685033668"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=6767746835247128514"">Google</a>",,"<a href=""https://untappd.com/w/le-perrey-picot-didier-gautard/371620"">Untappd</a>"
Les Celliers Associés,1,0,1,Active,"<a href=""https://www.valderance.com/"">Website</a>","<a href=""https://www.facebook.com/ValdeRance/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=7883069809343472545"">Google</a>",,"<a href=""https://untappd.com/LesCelliersAssocis"">Untappd</a>"
Les Vergers de Fumichon,1,0,1,Active,"<a href=""https://www.les-vergers-de-fumichon.fr/"">Website</a>","<a href=""https://www.facebook.com/GAEClegrandfumichon"">Facebook</a>","<a href=""https://www.instagram.com/vergers_de_fumichon/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12400587455796714428"">Google</a>",,"<a href=""https://untappd.com/w/vergers-de-fumichon/501987"">Untappd</a>"
Cave de la Fosse,0,1,1,Inactive,,,,,,
Cidre Richard Fouqué,0,1,1,Active,"<a href=""https://richardfouque.fr/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=357260865149493086"">Google</a>",,"<a href=""https://untappd.com/w/richard-fouquac/362975"">Untappd</a>"
Cidrerie Lacour-Veyranne,0,1,1,Active,"<a href=""https://www.cidrerie-lacour-veyranne.com/"">Website</a>",,"<a href=""https://www.instagram.com/cidrerie_lacour_veyranne/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10555645589397417510"">Google</a>",,"<a href=""https://untappd.com/w/cidres-lacour-veyranne/531609"">Untappd</a>"
Cidrerie Le Père Mahieu,0,1,1,Active,"<a href=""https://www.leperemahieu.com/"">Website</a>","<a href=""https://www.facebook.com/peremahieu/"">Facebook</a>","<a href=""https://www.instagram.com/cidrerieleperemahieu/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12368038145815947190"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g4737571-d2476893"">TripAdvisor</a>","<a href=""https://untappd.com/w/le-p-re-mahieu/324018"">Untappd</a>"
Cidres d'Auteurs,0,1,1,Inactive,,,,,,
Domaine de Rugueville,0,1,1,Active,"<a href=""https://domainederugueville.fr/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100057855811467"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=8320768846860943756"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g616116-d12491816"">TripAdvisor</a>","<a href=""https://untappd.com/w/domaine-de-rugueville/222398"">Untappd</a>"
Domaine Sicera,0,1,1,Active,"<a href=""https://www.sicera.fr/"">Website</a>","<a href=""https://www.facebook.com/cidresicera"">Facebook</a>","<a href=""https://www.instagram.com/domaine_sicera/"">Instagram</a>","<a href=""https://maps.google.com/?cid=5127145163687533245"">Google</a>",,"<a href=""https://untappd.com/w/sicera/345757"">Untappd</a>"
Ferme de Cutesson,0,1,1,Active,,,,"<a href=""https://maps.google.com/?cid=14198095900648884855"">Google</a>",,"<a href=""https://untappd.com/w/ferme-de-cutesson/307176"">Untappd</a>"
Ferme de l'Hermitière,0,1,1,Inactive,,,,,,
Ferme du Petit Château,0,1,1,Active,,,,,,"<a href=""https://untappd.com/w/la-ferme-du-petit-chateau/404386"">Untappd</a>"
Le Domaine du Tertre,0,1,1,Active,"<a href=""https://domaine-du-tertre.com/"">Website</a>","<a href=""https://www.facebook.com/le.tertre.officiel"">Facebook</a>","<a href=""https://www.instagram.com/domaine.du.tertre/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10069708901253125019"">Google</a>",,"<a href=""https://untappd.com/w/domaine-du-tertre/394887"">Untappd</a>"
Maison Hérout,0,1,1,Active,"<a href=""https://www.maisonherout.com/"">Website</a>","<a href=""https://www.facebook.com/cidres/"">Facebook</a>","<a href=""https://www.instagram.com/maisonherout/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1426598113576371976"">Google</a>",,"<a href=""https://untappd.com/w/m-a-herout/164919"">Untappd</a>"
Total,113,213,326,,,,,,,
