Year,Category,Medalist,Product,Award,Status,Region,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
2014,Semi-Dry Cider,Sidra Mayador,Mayador Rosada 75 Años,🥈 Silver,Active,Asturias,"<a href=""http://www.mayador.com/"">Website</a>","<a href=""https://www.facebook.com/sidramayadorcider"">Facebook</a>","<a href=""https://www.instagram.com/sidramayador/"">Instagram</a>","<a href=""https://maps.google.com/?cid=6886369759358960464"">Google</a>",,"<a href=""https://untappd.com/SidraMayador"">Untappd</a>"
2014,Sweet Sparkling Cider,Sidra M. Norniella,M. Norniella,🥇 Gold,Active,Asturias,"<a href=""https://www.macrile.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100010091055351"">Facebook</a>","<a href=""https://www.instagram.com/sidra_m.norniella/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12557897810508481900"">Google</a>",,"<a href=""https://untappd.com/w/macrile/188803"">Untappd</a>"
2014,Ice Cider,Sidra Viuda de Angelón,Diamantes de Hielo,🥇 Gold,Active,Asturias,"<a href=""http://www.sidraviudaangelonpomar.es/"">Website</a>","<a href=""https://www.facebook.com/sidrapomar.viudaangelon/"">Facebook</a>","<a href=""https://www.instagram.com/Sidraviudaangelon/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13173562328637195239"">Google</a>",,"<a href=""https://untappd.com/w/viuda-de-angela3n/142823"">Untappd</a>"
2014,Ice Cider,Cold Hand Winery,Malus Danica,🥇 Gold,Active,Denmark,"<a href=""https://www.coldhandwinery.dk/"">Website</a>","<a href=""https://www.facebook.com/Cold-Hand-Winery-280396455326889/"">Facebook</a>","<a href=""https://www.instagram.com/cold_hand_winery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8847115036999398343"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g227594-d11638093"">TripAdvisor</a>","<a href=""https://untappd.com/w/cold-hand-winery/101622"">Untappd</a>"
2014,Cider Liqueur,Cold Hand Winery,Malus X Feminam 2011,🥇 Gold,Active,Denmark,"<a href=""https://www.coldhandwinery.dk/"">Website</a>","<a href=""https://www.facebook.com/Cold-Hand-Winery-280396455326889/"">Facebook</a>","<a href=""https://www.instagram.com/cold_hand_winery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8847115036999398343"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g227594-d11638093"">TripAdvisor</a>","<a href=""https://untappd.com/w/cold-hand-winery/101622"">Untappd</a>"
2014,Cider Spirits,Casería San Juan del Obispo,Aguardiente Salvador del Obispo 9 Años,🥇 Gold,Active,Asturias,"<a href=""https://www.caseriasanjuandelobispo.com/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=13956526212503892929"">Google</a>",,"<a href=""https://untappd.com/w/caseria-san-juan-del-obispo/285141"">Untappd</a>"
2014,Perry,Pivovar Steiger,Steiger Perry,🥇 Gold,Inactive,Slovakia,,,,,,
2015,Still Cider,Sidra Cortina,Villacubera,🥇 Gold,Active,Asturias,"<a href=""https://www.sidracortina.com/"">Website</a>","<a href=""https://www.facebook.com/sidracortina/"">Facebook</a>","<a href=""https://instagram.com/sidracortina"">Instagram</a>","<a href=""https://maps.google.com/?cid=14248814769091122504"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g19842666-d985244"">TripAdvisor</a>","<a href=""https://untappd.com/w/sidra-cortina-coro/50162"">Untappd</a>"
2015,Still Cider,Cotswold Cider Company,Side Burn,🥈 Silver,Active,England,"<a href=""https://www.cotswoldciderco.com/"">Website</a>","<a href=""https://www.facebook.com/CotswoldCiderCompany"">Facebook</a>","<a href=""https://www.instagram.com/cotswoldciderco/"">Instagram</a>",,,"<a href=""https://untappd.com/TheCotswoldCiderCompany"">Untappd</a>"
2015,Still Cider,Sidra Viuda de Angelón,1947,🥉 Bronze,Active,Asturias,"<a href=""http://www.sidraviudaangelonpomar.es/"">Website</a>","<a href=""https://www.facebook.com/sidrapomar.viudaangelon/"">Facebook</a>","<a href=""https://www.instagram.com/Sidraviudaangelon/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13173562328637195239"">Google</a>",,"<a href=""https://untappd.com/w/viuda-de-angela3n/142823"">Untappd</a>"
2015,Brut Cider,Écusson,Écusson Brut,🥇 Gold,Active,France,"<a href=""https://www.cidre-ecusson.com/"">Website</a>","<a href=""https://www.facebook.com/CidreEcusson/"">Facebook</a>","<a href=""https://www.instagram.com/cidreecusson/"">Instagram</a>",,,"<a href=""https://untappd.com/w/cidres-ecusson/15641"">Untappd</a>"
2015,Brut Cider,Sidra Riestra,Guzmán Riestra Brut,🥈 Silver,Active,Asturias,"<a href=""http://www.sidrariestra.com/"">Website</a>","<a href=""https://www.facebook.com/SidraRiestra"">Facebook</a>","<a href=""https://www.instagram.com/sidrariestra/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2253085342105400787"">Google</a>",,"<a href=""https://untappd.com/w/riestra/70601"">Untappd</a>"
2015,Brut Cider,Sidra Mayador,Valdediós Brut,🥉 Bronze,Active,Asturias,"<a href=""http://www.mayador.com/"">Website</a>","<a href=""https://www.facebook.com/sidramayadorcider"">Facebook</a>","<a href=""https://www.instagram.com/sidramayador/"">Instagram</a>","<a href=""https://maps.google.com/?cid=6886369759358960464"">Google</a>",,"<a href=""https://untappd.com/SidraMayador"">Untappd</a>"
2015,Most Original Cider,Kystin,Absolute Kystin,🥇 Gold,Active,France,"<a href=""https://www.kystin.net/"">Website</a>","<a href=""https://www.facebook.com/kystincider"">Facebook</a>",,,,"<a href=""https://untappd.com/brewery/90870"">Untappd</a>"
2015,1/3 Liter Cider,Magic Apple,Magic Apple,🥇 Gold,Inactive,Czechia,,,,,,
2015,1/3 Liter Cider,Rossbach Cider,Rossbach,🥈 Silver,Inactive,Czechia,,,,,,
2015,1/3 Liter Cider,Cider Magnetic Apple,Magnetic Apple,🥉 Bronze,Active,Czechia,"<a href=""http://magneticapple.cz/"">Website</a>","<a href=""https://www.facebook.com/ciderma"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=1709461893430543805"">Google</a>",,"<a href=""https://untappd.com/w/polabsky-most/97586"">Untappd</a>"
2015,Semi-Dry Sparkling Cider,Sidra Riestra,Guzmán Riestra Semiseco,🥇 Gold,Active,Asturias,"<a href=""http://www.sidrariestra.com/"">Website</a>","<a href=""https://www.facebook.com/SidraRiestra"">Facebook</a>","<a href=""https://www.instagram.com/sidrariestra/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2253085342105400787"">Google</a>",,"<a href=""https://untappd.com/w/riestra/70601"">Untappd</a>"
2015,Semi-Dry Sparkling Cider,Thatchers Cider,Thatchers Vintage,🥈 Silver,Active,England,"<a href=""https://www.thatcherscider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/ThatchersCiderCompany"">Facebook</a>","<a href=""https://www.instagram.com/thatcherscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15191093037076298219"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g4412909-d11019728"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/3063"">Untappd</a>"
2015,Semi-Dry Sparkling Cider,Bear Cider,Bear Cider,🥉 Bronze,Active,Netherlands,"<a href=""https://www.bearcider.com/"">Website</a>","<a href=""https://www.facebook.com/Beercider"">Facebook</a>","<a href=""https://www.instagram.com/bearcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2306162274342811911"">Google</a>",,"<a href=""https://untappd.com/BeerCider"">Untappd</a>"
