Region,🏆 Premium,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total
Germany,4,4,8,1,17
Basque Country,2,4,8,1,15
Canary Islands,---,2,9,4,15
Latvia,1,1,7,3,12
Asturias,3,1,7,---,11
Ireland,1,2,8,---,11
Poland,---,1,6,2,9
Madeira,---,---,3,6,9
Catalonia,1,1,---,3,5
Czechia,---,1,3,---,4
Estonia,---,1,3,---,4
Italy,---,3,---,---,3
Japan,2,---,---,---,2
France,1,1,---,---,2
Scotland,---,1,1,---,2
Lithuania,---,1,---,1,2
Portugal,---,---,1,1,2
León,---,---,---,2,2
Total,15,24,64,24,127
