Year,🏆 BOS/BIC,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total
<b>2023</b>,2,19,13,8,<b>42</b>
<b>2024</b>,8,22,43,25,<b>98</b>
Total,10,41,56,33,140
