Year,Class,Medalist,Product,Award,Score,Status,Region,Country,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
2011,Medium Perry,Core Cider,Core Traditional Pear,🥉 Bronze,,Active,Western Australia,Australia,"<a href=""https://corecider.com.au/"">Website</a>","<a href=""https://www.facebook.com/pages/The-CORE-Cider-House/193269374050973"">Facebook</a>","<a href=""https://www.instagram.com/coreciderhouse/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9482101079872958147"">Google</a>","<a href=""https://www.yelp.com/biz/core-cider-pickering-brook-3"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g804216-d3191966"">TripAdvisor</a>","<a href=""https://untappd.com/w/core-cider-house/90179"">Untappd</a>"
2011,Bottle Conditioned / Methode Champenoise Perry,Napoleone Cider,Pear Cider Traditionelle,🥈 Silver,,Active,Victoria,Australia,"<a href=""https://napoleone.com.au/"">Website</a>","<a href=""https://www.facebook.com/napoleoneorchardbar"">Facebook</a>","<a href=""https://www.instagram.com/napoleonecider"">Instagram</a>","<a href=""https://maps.google.com/?cid=3472985488113617215"">Google</a>","<a href=""https://www.yelp.com/biz/napoleone-brewery-and-ciderhouse-coldstream"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1205102-d7980976"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/3800"">Untappd</a>"
2011,Bottle Conditioned / Methode Champenoise Perry,Borrodell Vineyard,Borrodell Perry,🥉 Bronze,,Active,New South Wales,Australia,"<a href=""https://www.borrodell.com.au/"">Website</a>","<a href=""https://www.facebook.com/BorrodellVineyard/"">Facebook</a>","<a href=""https://www.instagram.com/borrodell_vineyard/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9113164481963775697"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g255326-d4469466"">TripAdvisor</a>","<a href=""https://untappd.com/w/borrodell-vineyard/42488"">Untappd</a>"
2011,Medium Cider made using water and/or sugar in production,Matilda Bay Brewing Company,Dirty Granny,🥈 Silver,,Inactive,Victoria,Australia,,,,,,,
2011,Medium Cider made using water and/or sugar in production,Redwood Cider Co.,Scrumpy,🥉 Bronze,,Active,Tasman,New Zealand,"<a href=""https://www.db.co.nz/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=6996062561310556831"">Google</a>",,,"<a href=""https://untappd.com/w/redwood-cider-co/184117"">Untappd</a>"
2012,Dry Cider,Weidmann & Groh,Weidmann and Groh – Bohnapfel Halb-Trocken 2010,🥇 Gold,,Active,Hesse,Germany,"<a href=""https://weidmann-groh.de/"">Website</a>","<a href=""https://www.facebook.com/pages/WEIDMANN-GROH/138116339592327"">Facebook</a>","<a href=""https://www.instagram.com/weidmann.und.groh/"">Instagram</a>","<a href=""https://maps.google.com/?cid=6569120976887073603"">Google</a>",,,"<a href=""https://untappd.com/w/weidmann-groh/73065"">Untappd</a>"
2012,Dry Cider,Apfelweinkontor,Apfelwein Kontor ‘Wein aus Apfeln” 2010,🥈 Silver,,Active,Hesse,Germany,"<a href=""https://www.apfelweinkontor.com/"">Website</a>","<a href=""https://www.facebook.com/Apfelweinkontor"">Facebook</a>","<a href=""https://www.instagram.com/apfelweinkontor/"">Instagram</a>","<a href=""https://maps.google.com/?cid=599143855742456461"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g187337-d6922559"">TripAdvisor</a>","<a href=""https://untappd.com/w/apfelweinkontor-frankfurt/468433"">Untappd</a>"
2012,Dry Cider,Cider Garden,Cider Garden Dry Cider,🥈 Silver,,Inactive,---,Australia,,,,,,,
2012,Dry Cider,Tilse's Apple Truck Cider,Tilse’s Apple Wine,🥉 Bronze,,Active,New South Wales,Australia,"<a href=""https://www.theorchardlodge.com.au/"">Website</a>","<a href=""https://www.facebook.com/theorchardlodgensw/"">Facebook</a>","<a href=""https://www.instagram.com/appletruckcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=18205993928648034259"">Google</a>",,"<a href=""https://www.tripadvisor.com/Hotel_Review-g5788651-d23405360"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/30402"">Untappd</a>"
2012,Dry Cider,Kelterei Stier,Hessen – A La Carte Schoppen,🥉 Bronze,,Active,Hesse,Germany,"<a href=""https://www.kelterei-stier.de/"">Website</a>","<a href=""https://www.facebook.com/KeltereiStierBischofsheim/"">Facebook</a>","<a href=""https://www.instagram.com/keltereistier/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7976250328587904866"">Google</a>",,,"<a href=""https://untappd.com/w/kelterei-stier/56262"">Untappd</a>"
