Country,🥇 Gold,🥈 Silver,🥉 Honor,Total
Germany,16,18,17,51
Norway,3,14,7,24
Spain,6,10,6,22
Austria,5,5,4,14
Sweden,0,6,4,10
Canada,2,2,2,6
France,1,0,5,6
Finland,0,2,2,4
Portugal,2,0,1,3
Italy,1,1,1,3
Denmark,1,0,2,3
Luxembourg,0,2,1,3
Czechia,2,0,0,2
Latvia,1,0,1,2
Estonia,1,0,0,1
Switzerland,1,0,0,1
Belgium,0,0,1,1
Slovenia,0,0,1,1
Total,42,60,55,157
