Region,🥇 Gold,🥈 Silver,🥉 Bronze,Total
Victoria,4,13,24,41
Tasmania,4,12,22,38
New South Wales,3,9,23,35
South Australia,1,9,12,22
Western Australia,1,4,14,19
New Zealand,0,2,4,6
Queensland,0,1,3,4
France,0,1,1,2
Australian Capital Territory,0,0,1,1
Total,13,51,104,168
