Country,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total
England,21,21,12,54
United States,11,11,9,31
Luxembourg,4,2,3,9
Northern Ireland,4,4,0,8
Germany,1,5,2,8
Ireland,4,3,0,7
New Zealand,3,1,2,6
Australia,2,1,2,5
Spain,3,1,0,4
Norway,2,1,0,3
Canada,2,0,1,3
Switzerland,1,1,1,3
Belgium,0,1,2,3
Sweden,0,1,2,3
France,1,0,1,2
Austria,1,0,0,1
Finland,1,0,0,1
Scotland,1,0,0,1
Cyprus,0,1,0,1
Japan,0,1,0,1
Wales,0,1,0,1
China,0,0,1,1
Guernsey,0,0,1,1
Total,62,56,39,157
