Year,🥇 Or,🥈 Argent,🥉 Bronze,🏅 Total
<b>2017</b>,17,36,13,<b>66</b>
<b>2018</b>,22,26,9,<b>57</b>
<b>2019</b>,21,24,18,<b>63</b>
<b>2020</b>,8,24,22,<b>54</b>
<b>2022</b>,18,29,21,<b>68</b>
<b>2023</b>,18,25,19,<b>62</b>
<b>2024</b>,15,25,15,<b>55</b>
Total,119,189,117,425
