Year,🥇 Or,🥈 Argent,🏅 Total
<b>2020</b>,22,45,<b>67</b>
<b>2021</b>,20,47,<b>67</b>
<b>2022</b>,28,41,<b>69</b>
<b>2023</b>,22,42,<b>64</b>
<b>2024</b>,21,38,<b>59</b>
Total,113,213,326
