Year,🥇 Or,🥈 Argent,🥉 Bronze,🏅 Total
<b>2017</b>,11,12,4,<b>27</b>
<b>2018</b>,12,14,6,<b>32</b>
<b>2019</b>,15,11,5,<b>31</b>
<b>2021</b>,19,14,4,<b>37</b>
<b>2022</b>,21,16,3,<b>40</b>
<b>2023</b>,21,18,3,<b>42</b>
<b>2024</b>,21,19,2,<b>42</b>
Total,120,104,27,251
