Medalist,Department,🥇 Or,🥈 Argent,Total,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
Ferme de la Commanderie,Manche,0,1,1,http://www.ferme-de-la-commanderie.fr/,https://www.facebook.com/CidrerieLaCommanderie,https://www.instagram.com/cidreriefermedelacommanderie,https://maps.google.com/?cid=2113479186577428756,https://www.tripadvisor.com/Attraction_Review-g2407705-d10109503,https://untappd.com/w/ferme-de-la-commanderie/233207
Ferme des Noës,Eure,0,1,1,https://www.fermedesnoes.com/,,https://www.instagram.com/fermedesnoes/,https://maps.google.com/?cid=16067236232754040277,,https://untappd.com/w/ferme-des-no-s/72679
GAEC Hédouin,Seine-Maritime,0,1,1,,https://www.facebook.com/gaechedouin/,,https://maps.google.com/?cid=8955816640789328765,,
La Ferme de Billy,Calvados,0,1,1,https://www.ferme-de-billy.com/,https://www.facebook.com/lafermedebilly/,https://www.instagram.com/lafermedebilly/,https://maps.google.com/?cid=11023078698699122653,https://www.tripadvisor.com/Attraction_Review-g7741562-d6974742,https://untappd.com/w/la-ferme-de-billy/247621
La Ferme des Ruelles,Eure,0,1,1,https://www.fermedesruelles.com/,https://www.facebook.com/fermedesruelles,https://www.instagram.com/la_ferme_des_ruelles/,https://maps.google.com/?cid=14485040344949359277,https://www.tripadvisor.com/Hotel_Review-g6623129-d6622401,https://untappd.com/w/la-ferme-des-ruelles/141983
Le Costil Rouge,Calvados,0,1,1,,,,https://maps.google.com/?cid=813458325751135495,,https://untappd.com/w/didier-gilbert/324320
Les Vergers du Chouquet,Orne,0,1,1,,,,https://maps.google.com/?cid=4633427283115041645,,https://untappd.com/w/les-vergers-du-chouquet/50301
Manoir d'Apreval,Calvados,0,1,1,https://www.apreval.com/,https://www.facebook.com/manoirdapreval/,https://www.instagram.com/manoirdapreval/,https://maps.google.com/?cid=10807770520098333687,https://www.tripadvisor.com/Attraction_Review-g2205406-d9715014,https://untappd.com/w/manoir-d-apreval/228726
Pacory,Orne,0,1,1,https://www.pacory.eu/,https://www.facebook.com/PacoryFermedesGrimaux,https://www.instagram.com/pacoryfermedesgrimaux,https://maps.google.com/?cid=15821520734729613945,,https://untappd.com/brewery/32360
Total,,22,42,64,,,,,,
