Year,Class,Medalist,Product,Country,Medal,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
2019,Tannic Cider - Sweet,Hogan's Cider,Libertine,England,🥇 Gold,3,3,1,7,2017,2024,4,Active,"<a href=""https://www.hoganscider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/HogansCider/"">Facebook</a>","<a href=""https://www.instagram.com/hoganscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=344551779062280462"">Google</a>",,,"<a href=""https://untappd.com/brewery/27309"">Untappd</a>"
2019,Tannic Cider - Sweet,Zeffer,Cidre Demi-Sec,New Zealand,🥈 Silver,1,1,0,2,2017,2019,2,Active,"<a href=""https://zeffer.co.nz/"">Website</a>","<a href=""https://www.facebook.com/zefferdrinks/"">Facebook</a>","<a href=""https://www.instagram.com/zefferdrinks/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13931145990495161499"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g255680-d15328989"">TripAdvisor</a>","<a href=""https://untappd.com/Zeffer"">Untappd</a>"
2019,Modern Cider - Dry,Ramborn Cider Co.,Ramborn Farmhouse Dry Cider,Luxembourg,🥇 Gold,4,2,3,9,2017,2021,3,Active,"<a href=""https://www.ramborn.com/"">Website</a>","<a href=""https://www.facebook.com/RambornUS/"">Facebook</a>","<a href=""https://www.instagram.com/rambornciderco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16691194016355154342"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g206525-d12591209"">TripAdvisor</a>","<a href=""https://untappd.com/Ramborn"">Untappd</a>"
2019,Modern Cider - Dry,North Canyon Cider Company,Dry,United States,🥈 Silver,0,2,0,2,2019,2019,1,Active,"<a href=""http://northcanyoncider.com/"">Website</a>","<a href=""https://www.facebook.com/NorthCanyonCiderCo"">Facebook</a>","<a href=""https://www.instagram.com/NorthCanyonCider"">Instagram</a>","<a href=""https://maps.google.com/?cid=15474272377040798709"">Google</a>","<a href=""https://www.yelp.com/biz/north-canyon-cider-company-camino-2"">Yelp</a>",,"<a href=""https://untappd.com/w/north-canyon-cider-co/366979"">Untappd</a>"
2019,Modern Cider - Medium,Sheppy's Cider,Sheppy's Classic Draught Cider,England,🥇 Gold,5,3,0,8,2015,2021,4,Active,"<a href=""https://www.sheppyscider.com/"">Website</a>","<a href=""https://www.facebook.com/sheppyscider/"">Facebook</a>","<a href=""https://www.instagram.com/sheppyscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14572513592829460886"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g190730-d6870973"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/7956"">Untappd</a>"
2019,Modern Cider - Medium,Militsa,Militsa Premium Apple Cider,Cyprus,🥈 Silver,0,1,0,1,2019,2019,1,Active,"<a href=""https://militsa-cider.com/"">Website</a>","<a href=""https://www.facebook.com/MilitsaCider/"">Facebook</a>","<a href=""https://www.instagram.com/militsacider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14717679710918766920"">Google</a>",,,"<a href=""https://untappd.com/w/militsa/409803"">Untappd</a>"
2019,Modern Cider - Medium,Ramborn Cider Co.,Ramborn Original Medium Dry Cider,Luxembourg,🥉 Bronze,4,2,3,9,2017,2021,3,Active,"<a href=""https://www.ramborn.com/"">Website</a>","<a href=""https://www.facebook.com/RambornUS/"">Facebook</a>","<a href=""https://www.instagram.com/rambornciderco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16691194016355154342"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g206525-d12591209"">TripAdvisor</a>","<a href=""https://untappd.com/Ramborn"">Untappd</a>"
2019,Modern Cider - Sweet,Caledonian Cider Co,Lost Orchards No. 1,Scotland,🥇 Gold,1,0,0,1,2019,2019,1,Active,"<a href=""https://caledoniancider.com/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=15633057795289615854"">Google</a>",,,"<a href=""https://untappd.com/CaledonianCiderCo"">Untappd</a>"
2019,Modern Cider - Sweet,North Canyon Cider Company,American Sweet,United States,🥈 Silver,0,2,0,2,2019,2019,1,Active,"<a href=""http://northcanyoncider.com/"">Website</a>","<a href=""https://www.facebook.com/NorthCanyonCiderCo"">Facebook</a>","<a href=""https://www.instagram.com/NorthCanyonCider"">Instagram</a>","<a href=""https://maps.google.com/?cid=15474272377040798709"">Google</a>","<a href=""https://www.yelp.com/biz/north-canyon-cider-company-camino-2"">Yelp</a>",,"<a href=""https://untappd.com/w/north-canyon-cider-co/366979"">Untappd</a>"
2019,Modern Cider - Sweet,Bulmers,Strongbow Gold Apple,England,🥉 Bronze,2,3,5,10,2013,2019,4,Active,"<a href=""https://www.bulmers.co.uk/"">Website</a>","<a href=""https://www.facebook.com/Bulmers/"">Facebook</a>","<a href=""https://www.instagram.com/bulmers_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13460408443952843212"">Google</a>",,,"<a href=""https://untappd.com/bulmersamerica"">Untappd</a>"
2019,Spanish Cider,Angry Orchard,Edu (2016),United States,🥇 Gold,4,2,5,11,2015,2021,4,Active,"<a href=""https://www.angryorchard.com/"">Website</a>","<a href=""https://www.facebook.com/AngryOrchard/"">Facebook</a>","<a href=""https://www.instagram.com/angryorchard/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17467507983407382578"">Google</a>","<a href=""https://www.yelp.com/biz/angry-orchard-walden-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g48788-d10266026"">TripAdvisor</a>","<a href=""https://untappd.com/w/angry-orchard-cider-company/16455"">Untappd</a>"
2019,Spanish Cider,Angry Orchard,Edu (2017),United States,🥈 Silver,4,2,5,11,2015,2021,4,Active,"<a href=""https://www.angryorchard.com/"">Website</a>","<a href=""https://www.facebook.com/AngryOrchard/"">Facebook</a>","<a href=""https://www.instagram.com/angryorchard/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17467507983407382578"">Google</a>","<a href=""https://www.yelp.com/biz/angry-orchard-walden-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g48788-d10266026"">TripAdvisor</a>","<a href=""https://untappd.com/w/angry-orchard-cider-company/16455"">Untappd</a>"
2019,Traditional Perry,Ramborn Cider Co.,Ramborn Perry,Luxembourg,🥇 Gold,4,2,3,9,2017,2021,3,Active,"<a href=""https://www.ramborn.com/"">Website</a>","<a href=""https://www.facebook.com/RambornUS/"">Facebook</a>","<a href=""https://www.instagram.com/rambornciderco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16691194016355154342"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g206525-d12591209"">TripAdvisor</a>","<a href=""https://untappd.com/Ramborn"">Untappd</a>"
2019,Traditional Perry,Hogan's Cider,Vintage Perry 2017,England,🥈 Silver,3,3,1,7,2017,2024,4,Active,"<a href=""https://www.hoganscider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/HogansCider/"">Facebook</a>","<a href=""https://www.instagram.com/hoganscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=344551779062280462"">Google</a>",,,"<a href=""https://untappd.com/brewery/27309"">Untappd</a>"
2019,Modern Perry,Sidewood Estate,Sidewood Estate Pear Cider,Australia,🥇 Gold,2,0,1,3,2019,2021,2,Active,"<a href=""https://sidewood.com.au/"">Website</a>","<a href=""https://www.facebook.com/SidewoodEstate/"">Facebook</a>","<a href=""https://www.instagram.com/sidewoodestate/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16006910239256404559"">Google</a>",,"<a href=""https://www.tripadvisor.com.au/Attraction_Review-g499710-d19238424"">TripAdvisor</a>","<a href=""https://untappd.com/w/sidewood-estate/118552"">Untappd</a>"
2019,Fruit Flavoured - Herbs & Spices,Mosterei Möhl,Cider Clan - Punsch Apple Cider,Switzerland,🥇 Gold,1,1,1,3,2019,2024,3,Active,"<a href=""https://www.moehl.ch/"">Website</a>","<a href=""https://www.facebook.com/saftvomfass/"">Facebook</a>","<a href=""https://www.instagram.com/mosterei_moehl/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2429351855518192196"">Google</a>",,,"<a href=""https://untappd.com/w/mosterei-mohl/21631"">Untappd</a>"
2019,Fruit Flavoured - Herbs & Spices,Cotswold Cider Company,Blowhorn Chai-Spice Cider,England,🥈 Silver,1,1,0,2,2019,2024,2,Active,"<a href=""https://www.cotswoldciderco.com/"">Website</a>","<a href=""https://www.facebook.com/CotswoldCiderCompany"">Facebook</a>","<a href=""https://www.instagram.com/cotswoldciderco/"">Instagram</a>",,,,"<a href=""https://untappd.com/TheCotswoldCiderCompany"">Untappd</a>"
2019,Fruit Flavoured - Fruits & Flowers,Stonewell Cider,Stonewell Rós,Ireland,🥇 Gold,4,2,0,6,2019,2024,3,Active,"<a href=""https://www.stonewellcider.com/"">Website</a>","<a href=""https://www.facebook.com/stonewellcider"">Facebook</a>","<a href=""https://www.instagram.com/stonewellcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=6638378960827420170"">Google</a>",,,"<a href=""https://untappd.com/Nohoval_Drinks_Company_Ltd"">Untappd</a>"
2019,Fruit Flavoured - Fruits & Flowers,Hogan's Cider,Wild Elder,England,🥈 Silver,3,3,1,7,2017,2024,4,Active,"<a href=""https://www.hoganscider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/HogansCider/"">Facebook</a>","<a href=""https://www.instagram.com/hoganscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=344551779062280462"">Google</a>",,,"<a href=""https://untappd.com/brewery/27309"">Untappd</a>"
2019,Fruit Flavoured - Fruits & Flowers,Good George Brewing,Good George Scarlett Peach Cider,New Zealand,🥉 Bronze,0,0,1,1,2019,2019,1,Active,"<a href=""https://www.goodgeorge.kiwi.nz/"">Website</a>","<a href=""https://www.facebook.com/GoodGeorgeBrewing"">Facebook</a>","<a href=""https://www.instagram.com/goodgeorgedininghall/"">Instagram</a>","<a href=""https://maps.google.com/?cid=18222949602820729278"">Google</a>","<a href=""https://www.yelp.com/biz/good-george-brewery-hamilton"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g255108-d3620478"">TripAdvisor</a>","<a href=""https://untappd.com/GoodGeorgeBrewing"">Untappd</a>"
2019,Hopped Cider,Ramborn Cider Co.,Ramborn Cascade Hopped Cider,Luxembourg,🥈 Silver,4,2,3,9,2017,2021,3,Active,"<a href=""https://www.ramborn.com/"">Website</a>","<a href=""https://www.facebook.com/RambornUS/"">Facebook</a>","<a href=""https://www.instagram.com/rambornciderco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16691194016355154342"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g206525-d12591209"">TripAdvisor</a>","<a href=""https://untappd.com/Ramborn"">Untappd</a>"
2019,Iced Cider,Angry Orchard,Dear Eleanor,United States,🥇 Gold,4,2,5,11,2015,2021,4,Active,"<a href=""https://www.angryorchard.com/"">Website</a>","<a href=""https://www.facebook.com/AngryOrchard/"">Facebook</a>","<a href=""https://www.instagram.com/angryorchard/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17467507983407382578"">Google</a>","<a href=""https://www.yelp.com/biz/angry-orchard-walden-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g48788-d10266026"">TripAdvisor</a>","<a href=""https://untappd.com/w/angry-orchard-cider-company/16455"">Untappd</a>"
2019,Low Alcohol Cider,Sheppy's Cider,Sheppy's Low Alcohol Classic Cider,England,🥇 Gold,5,3,0,8,2015,2021,4,Active,"<a href=""https://www.sheppyscider.com/"">Website</a>","<a href=""https://www.facebook.com/sheppyscider/"">Facebook</a>","<a href=""https://www.instagram.com/sheppyscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14572513592829460886"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g190730-d6870973"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/7956"">Untappd</a>"
2019,Low Alcohol Cider,Westons Cider,Stowford Press Low Alcohol Cider,England,🥈 Silver,0,2,0,2,2015,2019,2,Active,"<a href=""https://www.westons-cider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/WestonsCiderMill"">Facebook</a>","<a href=""https://www.instagram.com/westonscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11779156514256391794"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g186303-d218508"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/6135"">Untappd</a>"
2019,Low Alcohol Cider,Junginger Fruchtsäfte,Apple Cider,Germany,🥉 Bronze,1,1,1,3,2017,2019,2,Active,"<a href=""https://www.junginger-fruchtsaefte.de/"">Website</a>","<a href=""https://www.facebook.com/Fruchtsaefte.Junginger"">Facebook</a>","<a href=""https://www.instagram.com/junginger_fruchtsaefte/"">Instagram</a>","<a href=""https://maps.google.com/?cid=18141945507458756869"">Google</a>",,,"<a href=""https://untappd.com/w/junginger-fruchsafte/243486"">Untappd</a>"
2019,Open Class Cider,Stonewell Cider,Tawny,Ireland,🥇 Gold,4,2,0,6,2019,2024,3,Active,"<a href=""https://www.stonewellcider.com/"">Website</a>","<a href=""https://www.facebook.com/stonewellcider"">Facebook</a>","<a href=""https://www.instagram.com/stonewellcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=6638378960827420170"">Google</a>",,,"<a href=""https://untappd.com/Nohoval_Drinks_Company_Ltd"">Untappd</a>"
2019,Open Class Cider,Angry Orchard,Understood in Motion 01,United States,🥈 Silver,4,2,5,11,2015,2021,4,Active,"<a href=""https://www.angryorchard.com/"">Website</a>","<a href=""https://www.facebook.com/AngryOrchard/"">Facebook</a>","<a href=""https://www.instagram.com/angryorchard/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17467507983407382578"">Google</a>","<a href=""https://www.yelp.com/biz/angry-orchard-walden-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g48788-d10266026"">TripAdvisor</a>","<a href=""https://untappd.com/w/angry-orchard-cider-company/16455"">Untappd</a>"
2019,Open Class Cider,Ramborn Cider Co.,Ramborn Bourbon Barrel Aged Still Cider,Luxembourg,🥉 Bronze,4,2,3,9,2017,2021,3,Active,"<a href=""https://www.ramborn.com/"">Website</a>","<a href=""https://www.facebook.com/RambornUS/"">Facebook</a>","<a href=""https://www.instagram.com/rambornciderco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16691194016355154342"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g206525-d12591209"">TripAdvisor</a>","<a href=""https://untappd.com/Ramborn"">Untappd</a>"
2021,Tannic Cider - Dry,Sheppy's Cider,Sheppy's Vintage Cloudy Cider,England,🥇 Gold,5,3,0,8,2015,2021,4,Active,"<a href=""https://www.sheppyscider.com/"">Website</a>","<a href=""https://www.facebook.com/sheppyscider/"">Facebook</a>","<a href=""https://www.instagram.com/sheppyscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14572513592829460886"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g190730-d6870973"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/7956"">Untappd</a>"
2021,Tannic Cider - Dry,Kilmegan Cider,"Kilmegan ""Real"" Cider",Northern Ireland,🥈 Silver,0,1,0,1,2021,2021,1,Active,"<a href=""https://kilmegancider.com/"">Website</a>","<a href=""https://www.facebook.com/kilmegancider/"">Facebook</a>","<a href=""https://www.instagram.com/kilmegancider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3112578667047542739"">Google</a>",,,"<a href=""https://untappd.com/w/kilmegan-cider/140693"">Untappd</a>"
2021,Tannic Cider - Medium,Sandford Orchards,Sandford Reserve,England,🥇 Gold,1,0,0,1,2021,2021,1,Active,"<a href=""https://www.sandfordorchards.co.uk/"">Website</a>","<a href=""https://www.facebook.com/sandfordorchards"">Facebook</a>","<a href=""https://www.instagram.com/sandfordorchards/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2784404680033020235"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g635675-d14758900"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/14080"">Untappd</a>"
2021,Tannic Cider - Medium,Hewletts Mill,Hewletts Mill Stone Broke 2020 Vintage Cider,England,🥈 Silver,0,1,0,1,2021,2021,1,Active,,,"<a href=""https://www.instagram.com/stonebrokecider/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/hewletts-mill/445906"">Untappd</a>"
2021,Tannic Cider - Medium,St. Ives Cider,St Ives Cider Farmhouse,England,🥉 Bronze,0,0,1,1,2021,2021,1,Active,"<a href=""https://stivescider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/stivescider/"">Facebook</a>","<a href=""https://www.instagram.com/stivescider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12970939473205570566"">Google</a>",,,"<a href=""https://untappd.com/stivescider"">Untappd</a>"
2021,Tannic Cider - Sweet,Sheppy's Cider,Sheppy's 200 Cider,England,🥈 Silver,5,3,0,8,2015,2021,4,Active,"<a href=""https://www.sheppyscider.com/"">Website</a>","<a href=""https://www.facebook.com/sheppyscider/"">Facebook</a>","<a href=""https://www.instagram.com/sheppyscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14572513592829460886"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g190730-d6870973"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/7956"">Untappd</a>"
2021,Modern Cider - Dry,Riley's Cidery,Sip & Tell- Single Varietal Mac Cider,Canada,🥇 Gold,1,0,0,1,2021,2021,1,Active,"<a href=""https://www.rileyscider.com/"">Website</a>","<a href=""https://www.facebook.com/rileyscidery/"">Facebook</a>","<a href=""https://www.instagram.com/rileyscidery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9203737158800520029"">Google</a>",,,"<a href=""https://untappd.com/RileysCidery"">Untappd</a>"
2021,Modern Cider - Dry,Kniveton Cider Company,Scorchio!,England,🥈 Silver,0,1,0,1,2021,2021,1,Active,"<a href=""http://www.knivetoncider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/KnivetonCider/"">Facebook</a>","<a href=""https://www.instagram.com/knivetoncider"">Instagram</a>",,,,"<a href=""https://untappd.com/KnivetonCider"">Untappd</a>"
2021,Modern Cider - Dry,Witchcraft,Newtonian Fluid Apple Cider,China,🥉 Bronze,0,0,1,1,2021,2021,1,Active,,,,,,,"<a href=""https://untappd.com/w/witchcraft/384669"">Untappd</a>"
2021,Modern Cider - Medium,Bauman's Cider,McIntosh Single Varietal,United States,🥇 Gold,3,3,0,6,2021,2024,2,Active,"<a href=""https://baumanscider.com/"">Website</a>","<a href=""https://www.facebook.com/Baumanscider/"">Facebook</a>","<a href=""https://www.instagram.com/baumanscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10038644588886302965"">Google</a>","<a href=""https://www.yelp.com/biz/baumans-farm-and-garden-gervais"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g51881-d6848567"">TripAdvisor</a>","<a href=""https://untappd.com/w/baumans-cider-company/253872"">Untappd</a>"
2021,Modern Cider - Medium,Ramborn Cider Co.,Rambourn Original,Luxembourg,🥈 Silver,4,2,3,9,2017,2021,3,Active,"<a href=""https://www.ramborn.com/"">Website</a>","<a href=""https://www.facebook.com/RambornUS/"">Facebook</a>","<a href=""https://www.instagram.com/rambornciderco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16691194016355154342"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g206525-d12591209"">TripAdvisor</a>","<a href=""https://untappd.com/Ramborn"">Untappd</a>"
2021,Modern Cider - Medium,Thatchers Cider,Thatchers Cox's,England,🥉 Bronze,1,2,2,5,2013,2021,3,Active,"<a href=""https://www.thatcherscider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/ThatchersCiderCompany"">Facebook</a>","<a href=""https://www.instagram.com/thatcherscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15191093037076298219"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g4412909-d11019728"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/3063"">Untappd</a>"
2021,Modern Cider - Sweet,Dürr Fruchtsaftkellerei,Rohrspatz Cider,Germany,🥈 Silver,0,2,0,2,2021,2021,1,Active,"<a href=""https://www.schneewittchen-cidre.de/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100063629584429"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=16830182961978283044"">Google</a>",,,"<a href=""https://untappd.com/DuerrFruchtsaftkelterei"">Untappd</a>"
2021,Bottle Fermented Cider,Angry Orchard,Newtown Pippin Traditional Method,United States,🥇 Gold,4,2,5,11,2015,2021,4,Active,"<a href=""https://www.angryorchard.com/"">Website</a>","<a href=""https://www.facebook.com/AngryOrchard/"">Facebook</a>","<a href=""https://www.instagram.com/angryorchard/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17467507983407382578"">Google</a>","<a href=""https://www.yelp.com/biz/angry-orchard-walden-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g48788-d10266026"">TripAdvisor</a>","<a href=""https://untappd.com/w/angry-orchard-cider-company/16455"">Untappd</a>"
2021,Perry,Sheppy's Cider,Sheppy's Vintage Perry,England,🥇 Gold,5,3,0,8,2015,2021,4,Active,"<a href=""https://www.sheppyscider.com/"">Website</a>","<a href=""https://www.facebook.com/sheppyscider/"">Facebook</a>","<a href=""https://www.instagram.com/sheppyscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14572513592829460886"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g190730-d6870973"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/7956"">Untappd</a>"
2021,Perry,Dürr Fruchtsaftkellerei,Rohrspatz,Germany,🥈 Silver,0,2,0,2,2021,2021,1,Active,"<a href=""https://www.schneewittchen-cidre.de/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100063629584429"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=16830182961978283044"">Google</a>",,,"<a href=""https://untappd.com/DuerrFruchtsaftkelterei"">Untappd</a>"
2021,Perry,Sidewood Estate,Pear Cider,Australia,🥉 Bronze,2,0,1,3,2019,2021,2,Active,"<a href=""https://sidewood.com.au/"">Website</a>","<a href=""https://www.facebook.com/SidewoodEstate/"">Facebook</a>","<a href=""https://www.instagram.com/sidewoodestate/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16006910239256404559"">Google</a>",,"<a href=""https://www.tripadvisor.com.au/Attraction_Review-g499710-d19238424"">TripAdvisor</a>","<a href=""https://untappd.com/w/sidewood-estate/118552"">Untappd</a>"
2021,Fruit Flavoured Cider - Berries,Sidewood Estate,Strawberry Apple Cider,Australia,🥇 Gold,2,0,1,3,2019,2021,2,Active,"<a href=""https://sidewood.com.au/"">Website</a>","<a href=""https://www.facebook.com/SidewoodEstate/"">Facebook</a>","<a href=""https://www.instagram.com/sidewoodestate/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16006910239256404559"">Google</a>",,"<a href=""https://www.tripadvisor.com.au/Attraction_Review-g499710-d19238424"">TripAdvisor</a>","<a href=""https://untappd.com/w/sidewood-estate/118552"">Untappd</a>"
2021,Fruit Flavoured Cider - Berries,Cornish Orchards,Cornish Orchards Blush Berry Cider,England,🥈 Silver,1,1,1,3,2015,2021,2,Active,"<a href=""https://www.cornishorchards.co.uk/"">Website</a>","<a href=""https://www.facebook.com/cornishorchards/"">Facebook</a>","<a href=""https://www.instagram.com/cornishorchards/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1088039469048966117"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g1533388-d5524747"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/21076"">Untappd</a>"
2021,Fruit Flavoured Cider - Berries,Groupe Geloso,Cidrerie Beaupré Bleuet,Canada,🥉 Bronze,0,0,1,1,2021,2021,1,Active,"<a href=""https://groupegeloso.com/"">Website</a>","<a href=""https://www.facebook.com/groupegeloso/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=14532853692172548925"">Google</a>",,,"<a href=""https://untappd.com/w/cidre-beaupre-groupe-geloso/21487"">Untappd</a>"
2021,Fruit Flavoured Cider - Other Fruits & Flowers,Ramborn Cider Co.,Ramborn Garden Elderflower,Luxembourg,🥇 Gold,4,2,3,9,2017,2021,3,Active,"<a href=""https://www.ramborn.com/"">Website</a>","<a href=""https://www.facebook.com/RambornUS/"">Facebook</a>","<a href=""https://www.instagram.com/rambornciderco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16691194016355154342"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g206525-d12591209"">TripAdvisor</a>","<a href=""https://untappd.com/Ramborn"">Untappd</a>"
2021,Cider with Botanicals,Hogan's Cider,Hogan's Cider Hip Hop,England,🥇 Gold,3,3,1,7,2017,2024,4,Active,"<a href=""https://www.hoganscider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/HogansCider/"">Facebook</a>","<a href=""https://www.instagram.com/hoganscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=344551779062280462"">Google</a>",,,"<a href=""https://untappd.com/brewery/27309"">Untappd</a>"
2021,Cider with Botanicals,Kelterei Heil,Cooper's Cider Dry Hopped,Germany,🥈 Silver,0,2,0,2,2017,2021,2,Active,"<a href=""https://kelterei-heil.de/"">Website</a>","<a href=""https://www.facebook.com/keltereiheil/"">Facebook</a>","<a href=""https://www.instagram.com/keltereiheil"">Instagram</a>","<a href=""https://maps.google.com/?cid=18431477139160593371"">Google</a>",,,"<a href=""https://untappd.com/brewery/33255"">Untappd</a>"
2021,Rosé Cider,Redwood Cider Co.,Orchard Thieves,New Zealand,🥇 Gold,2,0,1,3,2013,2021,3,Active,"<a href=""https://www.db.co.nz/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=6996062561310556831"">Google</a>",,,"<a href=""https://untappd.com/w/redwood-cider-co/184117"">Untappd</a>"
2021,Rosé Cider,Magners,Magners Rose Cider,Ireland,🥈 Silver,0,1,0,1,2021,2021,1,Active,"<a href=""https://magners.co.uk/"">Website</a>","<a href=""https://www.facebook.com/magnerscider"">Facebook</a>","<a href=""https://www.instagram.com/magnersuk"">Instagram</a>","<a href=""https://maps.google.com/?cid=13030775149028298606"">Google</a>",,,"<a href=""https://untappd.com/MagnersCider"">Untappd</a>"
2021,Ice Cider,Ramborn Cider Co.,Rambourn Ice Perry,Luxembourg,🥇 Gold,4,2,3,9,2017,2021,3,Active,"<a href=""https://www.ramborn.com/"">Website</a>","<a href=""https://www.facebook.com/RambornUS/"">Facebook</a>","<a href=""https://www.instagram.com/rambornciderco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16691194016355154342"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g206525-d12591209"">TripAdvisor</a>","<a href=""https://untappd.com/Ramborn"">Untappd</a>"
2021,No & Low Cider and Perry (0.5-2.9% ABV),Smashed Drynks,Smashed Cider,England,🥇 Gold,1,0,0,1,2021,2021,1,Active,"<a href=""https://www.smasheddrynks.co.uk/"">Website</a>","<a href=""https://www.facebook.com/SmashedDrynks/"">Facebook</a>","<a href=""https://www.instagram.com/smashed_drynks/"">Instagram</a>",,,,"<a href=""https://untappd.com/DrynksUnlimited"">Untappd</a>"
