ID,Style,Award,Entry,Producer,Region
2,New Expression Cider,🥇 First,Españar,El Gobernador,
3,Semi-Sweet Sparkling Cider,🥇 First,El Gaitero Extra,Valle Ballina y Fernandez,
4,Brut Cider,🥇 First,Brut,Viuda de Angelón,
5,International Cider,🥇 First,2012 Roter Trieter mit Boskoop,Michael Stöckl,
6,Most Original Cider,🥇 First,Cidre Cuvée Chataigne,Kystin,
7,Perry,🥇 First,Sidra de Pera,Viuda de Angelón,
8,Ice Cider,🥇 First,Sidra de Hielo Panizales,Panizales,
9,Cider Spirits,🥇 First,Salvador del Obispo Aguardiente Envejecido en Roble,Casería San Juan del Obispo,
