Style,Medal,Entry,Medalist,Region
Modern Cider – Sweet,Gold,Event Blend,Arsenal Cider House & Wine Cellar,Pennsylvania
Modern Cider – Sweet,Silver,Woodchuck Amber,Vermont Cider Company,Vermont
Modern Cider – Sweet,Bronze,McKenzie’s Original Hard Cider,McKenzie’s Beverages,New York
Modern Cider – Dry,Gold,Smashed Cider,Clafeld Fruit Winery,Ontario
Modern Cider – Dry,Gold,Arse Dagger Apple Cider,Covered Bridge Brewing,Oregon
Modern Cider – Dry,Silver,Fighting Elleck,Arsenal Cider House & Wine Cellar,Pennsylvania
Modern Cider – Dry,Bronze,Kiwi Herman,Xaiko Beverages,California
Heritage Cider – Sweet & Dry,Gold,Highland Scrumpy,Big Fish Cider Company,Virginia
Heritage Cider – Sweet & Dry,Silver,Wild Scrumpy,Broken Brix Winery,Illinois
Heritage Cider – Sweet & Dry,Bronze,Sidra Urbano,Urban Tree Hard Cider,Georgia
Traditional Cider – Sweet & Dry,Gold,Heirloom Apple Cider,Heritage Estate Winery & Cidery,Ontario
Traditional Cider – Sweet & Dry,Silver,Maeloc Organic Sidra,Maeloc Hard Cider,Spain
Perry,Gold,Samuel Smith’s Organic Perry,Samuel Smith’s,England
Perry,Silver,Ace Perry Craft Cider,California Cider Company,California
Perry,Bronze,Pear The Good Cider of San Sebastian,Envasados Eva,Spain
Fruit Cider,Gold,Ace Guava Craft Cider,California Cider Company,California
Fruit Cider,Silver,Acai Lemonade Hard Cider,Avid Cider Comany,Oregion
Fruit Cider,Silver,Disco Lemonade,Clafeld Fruit Winery,Ontario
Fruit Cider,Bronze,Troppi-Poppi,d’s Wicked Cider Company,Washington
Pineapple Cider,Gold,Pineapple Hula,Ciderboys Hard Cider,Wisconsin
Pineapple Cider,Silver,Kona Gold Cider,Ola Brew Company & Cidery,Hawaii
Pineapple Cider,Bronze,Tropic Like it’s Hot,Urban Tree Hard Cider,Georgia
Pineapple Cider,Bronze,Wyders Prickly Pineapple,Vermont Cider Company,Vermont
Cherry Cider,Gold,Going North,Boss Cider Company,Michigan
Cherry Cider,Silver,Cherry Pie,Atlanta Hard Cider Co.,Georgia
Cherry Cider,Bronze,Cherry Bomb,Contoocook Cider Company,New Hampshire
Peach Cider,Gold,Black Apple Peach,Black Apple,Arkanas
Peach Cider,Silver,Peach Cobbler,d’s Wicked Cider,Washington
Peach Cider,Bronze,Peach Berry,Portland Cider Company,Oregon
Fruit and Berry Cider,Gold,Blackberry Wild,Ciderboys Hard Cider,Wisconsin
Fruit and Berry Cider,Silver,Sanibel Grapefruit,Saro Cider,Nebraska
Fruit and Berry Cider,Silver,Fruit Cocktail,Clafeld Fruit Winery,Ontario
Fruit and Berry Cider,Bronze,Black Current,Broski Cider Works,Florida
Strawberry,Gold,The Good Cider of San Sebastian Strawberry,Envasados Eva,Spain
Strawberry,Silver,Pedaler’s Road Rash Hard Cider,Quantum Leap Winery,Florida
Strawberry,Bronze,Maeloc Strawberry Hard Cider,Maeloc Hard Ciders,Spain
Cranberry,Gold,Dry Cranberry,Thor’s Hard Cider,Minnesota
Cranberry,Silver,Satine,Boss Cider Company,Michigan
Cranberry,Bronze,Suzie’s Cranberry-Pomegranate Cider,Dingo Dog Brewing,North Carolina
Applewine & Iced Cider,Gold,Applewine,Glacial Till Vineyard,Nebraska
Applewine & Iced Cider,Gold,Amshire,Blake’s Orchard and Winery,Michigan
Applewine & Iced Cider,Silver,Sierra Beaty,Gowans Heirloom Cider,California
Applewine & Iced Cider,Bronze,Perfect 10,Portland Cider Co.,Oregon
Herbal Cider,Gold,Honey Lavender,Glacial Till Vineyard,Nebraska
Herbal Cider,Silver,Swizzle Hard Cider,Cidergeist,Ohio
Herbal Cider,Bronze,Elderflower,Broski Ciderworks,Florida
Hopped Cider,Gold,Greenstone,Duluth Cider,Minnesota
Hopped Cider,Silver,Hopped,Incline Cider,Washington
Hopped Cider,Bronze,Sumthin Juicy,Bryants Cider,Virginia
Apple Pie Spiced Cider,Gold,Grant’s Flying Pumpkin,Arsenal Cider House & Wine Cellar,Pennsylvania
Apple Pie Spiced Cider,Silver,Mad Bark,Ciderboys Hard Cider,Wisconsin
Apple Pie Spiced Cider,Bronze,Apple Spice Cider,Broski Ciderworks,Florida
Spiced Cider,Gold,Snug,Rhinegeist Cidergeist,Ohio
Spiced Cider,Silver,Grierson’s Ginger,Arsenal Cider House & Wine Cellar,Pennsylvania
Spiced Cider,Bronze,Ginger Fizz,Thor’s Hard Cider,Minnesota
Wood-Aged Cider and Perry,Gold,Pearsecco,Saro Cider,Nebraska
Wood-Aged Cider and Perry,Silver,ACE Black Jack 21 Premium Craft Cider,California Cider Company,California
Wood-Aged Cider and Perry,Bronze,Yellow Belly Barrel Aged Cider,Sapsucker Farms Yellow Belly Cidery,Minnesota
Specialty Cider and Perry,Gold,Peach Please,Broski Ciderworks,Florida
Specialty Cider and Perry,Gold,I am Brut,Green Bench Mead and Cider,Florida
Specialty Cider and Perry,Silver,Woodchuck Mimosa,Vermont Cider Company,Vermont
Unlimited Cider and Perry,Gold,Samuel Smith’s Organic Cider,Samuel Smith’s,England
Anything Goes,Gold,Blueberry Crumble,Cigar City Cider and Mead,Florida
Anything Goes,Gold,Brandipera,Pacific Grove Ciderworks,California
Anything Goes,Silver,Beaupre Rose,Cidrerie Beaupré,Quebec
Anything Goes,Bronze,Full Auto,Boss Cider Company,Michigan
Single Varietal Cider,Gold,Roman Beauty,Thomas Brothers Hard Cider,California
Single Varietal Cider,Silver,Gravenstein,Gowans Heirloom Cider,California
Single Varietal Cider,Bronze,Virginia Hewes Crab,Big Fish Cider Company,Virginia
Rose’ Ciders,Gold,Rose’,Lost Giants Cider,Washington
Rose’ Ciders,Silver,Rose’,Urbantree Cidery,Georgia
Rose’ Ciders,Bronze,Babe Magnet,Diskin Cider,Tennessee
Brut Ciders,Gold,Dragon’s Gold,Heritage Estate Winery & Cidery,Ontario
