Year,🥇 Gold,🥈 Silver,🥉 Bronze,Total
2014,4,3,2,9
2015,8,8,7,23
2016,16,14,14,44
2017,20,20,22,62
2018,22,24,23,69
2019,25,26,29,80
2020,29,26,23,78
2021,26,24,25,75
2022,31,29,31,91
2023,31,31,31,93
2024,33,34,31,98
Total,245,239,238,722
