Style,Medal,Entry,Medalist,Region
New World Ciders,GOLD,Traditions Ciderworks 2011 Riverwood Brut,2 Towns Ciderhouse,Oregon
New World Ciders,SILVER,Angry Orchard Green Apple,Boston Beer Company,Massachusetts
New World Ciders,BRONZE,The Hatchet,Sonoma Cider,California
English Cider,GOLD,Angry Orchard Tradtional Cider,Boston Beer Company,Massachusetts
English Cider,SILVER,Ciderboys First Press,Stevens Point Brewing,Wisconsin
Specialty Cider and Perry,GOLD,Ciderboys Peach County,Stevens Point Brewing,Wisconsin
Specialty Cider and Perry,GOLD,Cigar City Cider Homemade Apple Pie,Cigar City Cider and Mead,Florida
Specialty Cider and Perry,SILVER,London Calling,9041-5522 Quebec,Canada
Specialty Cider and Perry,BRONZE,Angry Orchard Apple Ginger,Boston Beer Company,Massachusetts
