Style,Medal,Entry,Medalist,Region
New World Ciders,GOLD,OutCider,2 Towns Ciderhouse,Oregon
New World Ciders,SILVER,Angry Orchard Crisp Apple,Angry Orchard,Massachusetts
New World Ciders,BRONZE,Woodchuck Amber,Vermont Hard Cider,Vermont
English Cider,GOLD,Thatchers Gold,Thatchers Cider,United Kingdom
English Cider,SILVER,Kelly’s Traditional Hard Cider,Florida Beer Company,Florida
English Cider,BRONZE,Ciderboys First Press,Stevens Point Brewing,Wisconsin
New England Cider,GOLD,Bad Apple,2 Towns Ciderhouse,Oregon
New England Cider,SILVER,Angry Orchard Green Apple,Angry Orchard,Massachusetts
Fruit Ciders,GOLD,Rambunctious,Cigar City Cider,Florida
Fruit Ciders,SILVER,Ace Pineapple Hard Cider,California Cider,California
Fruit Ciders,BRONZE,Ciderboys Grand Mimosa,Stevens Point Brewing,Wisconsin
Spice Ciders,GOLD,Baked Apple,d’s Wicked Cider,Washington
Spice Ciders,SILVER,Serious Scrump,2 Towns Ciderhouse,Oregon
Spice Ciders,BRONZE,Westside Sweet Heat,Jeff Carlson,Michigan
Anything Goes Ciders,GOLD,Oopsy Daisy,Vermont Hard Cider,Vermont
Anything Goes Ciders,SILVER,Cinful Plum,Appalachian Mountain Brewing,North Carolina
Anything Goes Ciders,BRONZE,Muse,Angry Orchard,Massachusetts
Perry,GOLD,Ace Perry Hard Cider,California Cider,California
Perry,SILVER,London Calling Pear,9041-5522 Quebec,Canada
Perry,BRONZE,Wyder’s Dry Pear,Vermont Hard Cider,Vermont
Hop Ciders,GOLD,Angry Orchard Hop’N Mad Apple,Angry Orchard,Massachusetts
Hop Ciders,SILVER,Imperial Hop & Stalk,2 Towns Ciderhouse,Oregon
Hop Ciders,BRONZE,Woodchuck Hopsation,Vermont Hard Cider,Vermont
