ID,Category,Award,Medalist_Original,Medalist,Entry,Region,WID
79,Blackberry,🥈 Silver,Bold Rock Hard Cider,Bold Rock Hard Cider Mills River,Blackberry,NC,152
80,Blackberry,🥉 Bronze,Blakes Hard Cider,Blake's Hard Cider Co.,Triple Jam,MI,10
81,Blackberry,🥉 Bronze,New Realm Brewing and Distilling,New Realm Brewing Company,Blackberry Cider,GA,3720
82,Blueberry,🥇 Gold,Thornbury Craft Co.,Thornbury Craft Co.,Wild Blueberry Elderflower Cider,Canada,841
83,Blueberry,🥈 Silver,Sapsucker Farms Yellow Belly Cidery,Sapsucker Farms Yellow Belly Cidery,Yellow Belly Blue Betcha Blueberry Cider,MN,545
84,Blueberry,🥉 Bronze,Wise Man Brewing,Wise Man Brewing,Wisest Pursuit Blueberry,NC,3721
85,Mango,🥇 Gold,Trump Cidery,Trump Cidery,Two To Mango,VA,3489
86,Mango,🥈 Silver,Blakes Hard Cider,Blake's Hard Cider Co.,Tropical Mango,MI,10
87,Mango,🥉 Bronze,FX Matt Brewing Co.,FX Matt Brewing,McKenzie’s Peach Mango,NY,408
88,Apple Cider Donut,🥇 Gold,Blakes Hard Cider,Blake's Hard Cider Co.,Cider Mill Donut,MI,10
89,Apple Cider Donut,🥈 Silver,Glacial Till,Glacial Till Vineyard & Winery,Apple Cider Donut,NE,294
90,Apple Cider Donut,🥉 Bronze,FIVE MAIDENS CIDER CO,Five Maidens Cider Company,Cider Donut,PA,712
91,Passionfruit,🥇 Gold,Woodchuck Cidery,Vermont Cider Company,Wild Tropics,VT,664
92,Passionfruit,🥈 Silver,Armageddon Brewing LLc,Armageddon Brewing,Circe,NJ,949
93,Pumpkin Spice,🥇 Gold,Arsenal Cider House,Arsenal Cider House,Grant’s Flying Pumpkin,PA,97
94,Pumpkin Spice,🥈 Silver,Armageddon Brewing LLc,Armageddon Brewing,Ichabod’s Bane,NJ,949
95,Pumpkin Spice,🥈 Silver,High Limb Cider,High Limb Hard Cider,Skeleton Grin,MA,330
96,Pumpkin Spice,🥉 Bronze,Punx Ciderworx,Punx Cider Worx,Pumpkutawney,PA,2247
97,Pie/Cobbler,🥇 Gold,Cider Corps,Cider Corps,We The People Blueberry Pie,AZ,915
98,Pie/Cobbler,🥈 Silver,Austin East Cider,Austin Eastciders,Peach Cobbler,MI,104
99,Pie/Cobbler,🥉 Bronze,Glacial Till,Glacial Till Vineyard & Winery,Barrel Aged Key Lime Pie,NE,294
