Department,🥇 Or,🥈 Argent,🥉 Bronze,Total
Finistère,61,59,14,134
Morbihan,26,13,4,43
Côtes-d'Armor,18,16,5,39
Ille-et-Vilaine,11,12,3,26
Loire-Atlantique,4,4,1,9
Total,120,104,27,251
