Year,🥇 Or,🥈 Argent,🥉 Bronze,Total
2017,11,12,4,27
2018,12,14,6,32
2019,15,11,5,31
2021,19,14,4,37
2022,21,16,3,40
2023,21,18,3,42
2024,21,19,2,42
Total,120,104,27,251
