COUNTA of Award,Award,col2,col3,col4,col5
Year,🏆 Winner,🥇 Gold,🥈 Silver,🥉 Bronze,Grand Total
2022,9,37,90,60,196
2023,11,26,91,73,201
Grand Total,20,63,181,133,397
