WID,Medalist,Country,🏆 Winner,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
2361,Abuls,Latvia,1,0,3,1,5,2022,2023,2,"<a href=""https://www.abuls.lv/"">Website</a>","<a href=""https://www.facebook.com/sidrsAbuls/"">Facebook</a>","<a href=""https://www.instagram.com/abuls_sidrs/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12371654123090416644"">Google</a>",,,"<a href=""https://untappd.com/Abuls"">Untappd</a>"
1171,Petritegi,Spain,1,0,3,1,5,2022,2023,2,"<a href=""https://www.petritegi.com/"">Website</a>","<a href=""https://www.facebook.com/Petritegi/"">Facebook</a>","<a href=""https://www.instagram.com/petritegi"">Instagram</a>","<a href=""https://maps.google.com/?cid=16425101977693923721"">Google</a>","<a href=""https://www.yelp.com/biz/petritegi-astigarraga"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g1064182-d2266030"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/51639"">Untappd</a>"
3032,Sandalen Gård,Norway,0,2,3,0,5,2022,2023,2,"<a href=""https://sandalengard.no/"">Website</a>","<a href=""https://www.facebook.com/sandalengard"">Facebook</a>","<a href=""https://www.instagram.com/sandalengard/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16897274204164201537"">Google</a>",,,"<a href=""https://untappd.com/SandalenGrd"">Untappd</a>"
2766,Lofthus Ekspedisjon,Norway,0,2,1,2,5,2022,2023,2,"<a href=""https://lofthusekspedisjon.no/"">Website</a>","<a href=""https://www.facebook.com/ekspedisjonlofthus/"">Facebook</a>","<a href=""https://www.instagram.com/lofthus_ekspedisjon/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10108744972037075215"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g1188596-d23540819"">TripAdvisor</a>","<a href=""https://untappd.com/EkspedisjonenBryggeri"">Untappd</a>"
2029,Floribunda,Italy,0,1,3,1,5,2022,2023,2,"<a href=""https://www.floribunda.it/"">Website</a>",,"<a href=""https://www.instagram.com/floribundacider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14548393953505771229"">Google</a>",,,"<a href=""https://untappd.com/w/floribunda/333615"">Untappd</a>"
3034,Skarbø Gard,Norway,0,1,3,1,5,2022,2023,2,"<a href=""https://skarbogard.no/"">Website</a>","<a href=""https://www.facebook.com/skarbogard/"">Facebook</a>","<a href=""https://www.instagram.com/skarbogard/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8459681002301363731"">Google</a>",,,"<a href=""https://untappd.com/w/skarbo-gard/467871"">Untappd</a>"
1534,Ciderhuset Balholm,Norway,0,1,2,2,5,2022,2023,2,"<a href=""https://www.ciderhuset.no/"">Website</a>","<a href=""https://www.facebook.com/ciderhuset"">Facebook</a>","<a href=""https://www.instagram.com/ciderhuset/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12671775028436675444"">Google</a>","<a href=""https://www.yelp.com/biz/ciderhuset-balestrand"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g616211-d1991697"">TripAdvisor</a>","<a href=""https://untappd.com/w/ciderhuset-balholm/64016"">Untappd</a>"
1314,Sidra El Gaitero,Spain,0,1,1,3,5,2022,2023,2,"<a href=""https://www.sidraelgaitero.com/"">Website</a>","<a href=""https://www.facebook.com/grupoelgaitero"">Facebook</a>","<a href=""https://www.instagram.com/grupoelgaitero/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15753532318992345137"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g608997-d3239389"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/4266"">Untappd</a>"
2365,Turkalnes Muižā,Latvia,0,1,0,4,5,2022,2023,2,"<a href=""https://www.turkalnesmuiza.lv/"">Website</a>","<a href=""https://www.facebook.com/TurkalnesMuiza/"">Facebook</a>","<a href=""https://www.instagram.com/turkalnesmuiza/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14148682490481690589"">Google</a>",,,"<a href=""https://untappd.com/w/turkalnes-muiza/428003"">Untappd</a>"
1414,Ulvik Frukt & Cideri,Norway,0,0,3,2,5,2022,2023,2,"<a href=""http://www.hakastadsider.no/"">Website</a>","<a href=""https://www.facebook.com/pages/Ulvik-Frukt-Cideri/191311970916027"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=8381380851022975775"">Google</a>",,,"<a href=""https://untappd.com/brewery/60198"">Untappd</a>"
1917,Brinkhall Sparkling,Finland,0,0,2,3,5,2022,2023,2,"<a href=""https://bsp.fi/"">Website</a>","<a href=""https://www.facebook.com/brinkhalls"">Facebook</a>","<a href=""https://www.instagram.com/brinkhallsparkling/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10856204128601037922"">Google</a>",,,"<a href=""https://untappd.com/BrinkhallSparkling"">Untappd</a>"
3018,Lingebakken,Norway,0,0,1,4,5,2022,2023,2,"<a href=""https://www.lingebakken.no/"">Website</a>","<a href=""https://www.facebook.com/Lingebakkenfrukt/"">Facebook</a>","<a href=""https://www.instagram.com/lingebakken"">Instagram</a>","<a href=""https://maps.google.com/?cid=10220638985890464265"">Google</a>",,,"<a href=""https://untappd.com/w/lingebakken/519896"">Untappd</a>"
2546,Alde Sider,Norway,1,0,3,0,4,2022,2023,2,"<a href=""https://www.aldesider.no/"">Website</a>","<a href=""https://www.facebook.com/aldesider"">Facebook</a>","<a href=""https://www.instagram.com/aldesider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7838999053969928967"">Google</a>",,,"<a href=""https://untappd.com/Alde_hardanger"">Untappd</a>"
2806,Skjolden Sideri,Norway,0,2,1,1,4,2022,2023,2,,"<a href=""https://www.facebook.com/BolstadNeverdalFruktgard"">Facebook</a>","<a href=""https://www.instagram.com/skjoldensideri/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8996713303995231318"">Google</a>",,,
3002,Apal Sideri,Norway,0,1,2,1,4,2022,2023,2,"<a href=""https://apalsideri.no/"">Website</a>","<a href=""https://www.facebook.com/apalsideri"">Facebook</a>","<a href=""https://www.instagram.com/apal_sideri"">Instagram</a>","<a href=""https://maps.google.com/?cid=5061308997335336207"">Google</a>",,,"<a href=""https://untappd.com/w/apal-sideri/466579"">Untappd</a>"
3024,Paladeus,Italy,0,1,2,1,4,2022,2023,2,"<a href=""http://www.paladeus.it/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100067062071715"">Facebook</a>","<a href=""https://www.instagram.com/paladeus_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8605615739361573597"">Google</a>",,,"<a href=""https://untappd.com/w/paladeus/538622"">Untappd</a>"
3026,Pirula,Finland,0,1,2,1,4,2022,2023,2,"<a href=""https://www.pirula.fi/"">Website</a>","<a href=""https://www.facebook.com/pirula.fi/"">Facebook</a>","<a href=""https://www.instagram.com/pirulantila"">Instagram</a>","<a href=""https://maps.google.com/?cid=1283745269437501478"">Google</a>",,,"<a href=""https://untappd.com/w/pirula/442289"">Untappd</a>"
3003,Bjerregaarden,Denmark,0,1,1,2,4,2022,2023,2,"<a href=""https://www.bjerregaarden.dk/"">Website</a>",,"<a href=""https://www.instagram.com/bjerregaarden.dk/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11442622936547961461"">Google</a>",,,
3008,Eiane Gard,Norway,0,1,1,2,4,2022,2023,2,"<a href=""https://www.eianegard.no/"">Website</a>","<a href=""https://www.facebook.com/eianegard"">Facebook</a>","<a href=""https://www.instagram.com/eianegard/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13089067596466030259"">Google</a>",,,"<a href=""https://untappd.com/eianegard"">Untappd</a>"
3017,Lien Gård,Norway,0,1,1,2,4,2022,2023,2,"<a href=""https://www.liengard-telemark.no/"">Website</a>","<a href=""https://www.facebook.com/lien3812Akkerhaugen/"">Facebook</a>","<a href=""https://www.instagram.com/lien_gard_telemark"">Instagram</a>","<a href=""https://maps.google.com/?cid=9873512223911132771"">Google</a>",,,"<a href=""https://untappd.com/LienGrd"">Untappd</a>"
2753,OmCider,Norway,0,1,0,3,4,2022,2023,2,"<a href=""https://omcider.no/"">Website</a>","<a href=""https://www.facebook.com/OmCiderAS/"">Facebook</a>","<a href=""https://www.instagram.com/omcideras/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1800091822223931241"">Google</a>",,,"<a href=""https://untappd.com/w/omcider/492586"">Untappd</a>"
2746,Hardangergutane,Norway,0,0,4,0,4,2022,2023,2,"<a href=""https://hardangergutane.no/"">Website</a>","<a href=""https://www.facebook.com/Hardangergutane/"">Facebook</a>","<a href=""https://www.instagram.com/hardangergutane/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10940983309801750674"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g2328851-d23478417"">TripAdvisor</a>","<a href=""https://untappd.com/w/hardangergutane/429679"">Untappd</a>"
3021,Nude Cider,Finland,0,0,3,1,4,2022,2023,2,"<a href=""https://www.nudecider.fi/"">Website</a>",,"<a href=""https://www.instagram.com/nude_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=590124294754000819"">Google</a>",,,"<a href=""https://untappd.com/3spirit"">Untappd</a>"
2364,Sabiles Sidrs,Latvia,0,0,2,2,4,2022,2023,2,"<a href=""https://www.gardeners.lv/"">Website</a>","<a href=""https://www.facebook.com/sabiles.sidrs/"">Facebook</a>","<a href=""https://www.instagram.com/sabiles.sidrs/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2950487918260459648"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g2049841-d14914753"">TripAdvisor</a>","<a href=""https://untappd.com/w/sabiles-sidrs/201189"">Untappd</a>"
3009,Lepaan Viinitila,Finland,0,0,1,3,4,2022,2023,2,"<a href=""https://hami.fi/lepaan-viinitila/"">Website</a>","<a href=""https://www.facebook.com/lepaanviinitila"">Facebook</a>","<a href=""https://www.instagram.com/lepaan_viinitila/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7138449627274189739"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g798740-d12031727"">TripAdvisor</a>","<a href=""https://untappd.com/w/lepaan-viinitila/79175"">Untappd</a>"
3035,Tingvoll Sider,Norway,0,0,1,3,4,2022,2023,2,"<a href=""https://www.tingvollsider.no/"">Website</a>","<a href=""https://www.facebook.com/Strupstadgarden/"">Facebook</a>","<a href=""https://www.instagram.com/strupstadgarden/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10928261412136517481"">Google</a>",,,"<a href=""https://untappd.com/w/strupstad-tingvoll-sider/534933"">Untappd</a>"
2995,Rudenstams Bär & Frukt,Sweden,1,0,2,0,3,2023,2023,1,"<a href=""https://rudenstam.se/"">Website</a>","<a href=""https://www.facebook.com/rudenstamsgardsbutik"">Facebook</a>","<a href=""https://www.instagram.com/rudenstams/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9422723088440708292"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g226899-d4590738"">TripAdvisor</a>","<a href=""https://untappd.com/w/rudenstams-bar-frukt/105066"">Untappd</a>"
3078,Sidro MelaGodo,Italy,1,0,2,0,3,2022,2022,1,"<a href=""https://www.sidromelagodo.it/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100008470323757"">Facebook</a>","<a href=""https://www.instagram.com/sidromelagodo/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12237794709851078121"">Google</a>",,,"<a href=""https://untappd.com/w/azienda-agricola-del-fatti-laura/390657"">Untappd</a>"
2975,Böhm Ciderwerkstatt,Germany,1,0,1,1,3,2023,2023,1,"<a href=""https://www.boehm-cider.de/"">Website</a>","<a href=""https://www.facebook.com/ciderwerkstatt/"">Facebook</a>","<a href=""https://www.instagram.com/boehm_ciderwerkstatt"">Instagram</a>","<a href=""https://maps.google.com/?cid=4561270118581123333"">Google</a>",,,
1986,Cold Hand Winery,Denmark,0,2,1,0,3,2022,2022,1,"<a href=""https://www.coldhandwinery.dk/"">Website</a>","<a href=""https://www.facebook.com/Cold-Hand-Winery-280396455326889/"">Facebook</a>","<a href=""https://www.instagram.com/cold_hand_winery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8847115036999398343"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g227594-d11638093"">TripAdvisor</a>","<a href=""https://untappd.com/w/cold-hand-winery/101622"">Untappd</a>"
2698,Ramborn Cider Co.,Luxembourg,0,2,1,0,3,2022,2022,1,"<a href=""https://www.ramborn.com/"">Website</a>","<a href=""https://www.facebook.com/RambornUS/"">Facebook</a>","<a href=""https://www.instagram.com/rambornciderco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16691194016355154342"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g206525-d12591209"">TripAdvisor</a>","<a href=""https://untappd.com/Ramborn"">Untappd</a>"
1473,Sidra Castañón,Spain,0,2,1,0,3,2022,2022,1,"<a href=""https://sidracastanon.com/"">Website</a>","<a href=""https://www.facebook.com/sidracastanon/"">Facebook</a>","<a href=""https://www.instagram.com/sidracastanon/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3082307260151948865"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g2186312-d12246874"">TripAdvisor</a>","<a href=""https://untappd.com/w/llagar-sidra-casta-n/81481"">Untappd</a>"
3380,Spildegarden,Norway,0,2,1,0,3,2022,2022,1,"<a href=""https://www.spildegarden.no/"">Website</a>",,"<a href=""https://www.instagram.com/spildegarden/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4799684362834917258"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g2192406-d23563716"">TripAdvisor</a>","<a href=""https://untappd.com/w/spildegarden/396091"">Untappd</a>"
3605,Apfelweinhandlung JB,Germany,0,2,0,1,3,2022,2022,1,"<a href=""https://www.apfelweinhandlung.de/"">Website</a>","<a href=""https://www.facebook.com/janusbecker/"">Facebook</a>","<a href=""https://www.instagram.com/apfelweinhandlung/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4042602811831238709"">Google</a>","<a href=""https://www.yelp.com/biz/apfelweinhandlung-jb-frankfurt-am-main-2"">Yelp</a>",,"<a href=""https://untappd.com/w/apfelweinhandlung-janus-becker/213578"">Untappd</a>"
3609,Bringebærlandet,Norway,0,2,0,1,3,2022,2022,1,"<a href=""https://bringebarlandet.no/"">Website</a>","<a href=""https://www.facebook.com/Bringebaerlandet/"">Facebook</a>","<a href=""https://www.instagram.com/buhagen_/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4598585383797969331"">Google</a>",,,"<a href=""https://untappd.com/w/bringebaerlandet/452149"">Untappd</a>"
2999,Ainoa Winery,Finland,0,1,2,0,3,2023,2023,1,"<a href=""https://ainoawinery.com/"">Website</a>","<a href=""https://www.facebook.com/ainoawinery/"">Facebook</a>","<a href=""https://www.instagram.com/ainoawinery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9038287289493115977"">Google</a>",,,"<a href=""https://untappd.com/w/ainoa/474000"">Untappd</a>"
3000,Amble Gård,Norway,0,1,2,0,3,2023,2023,1,"<a href=""https://amblegaard.no/"">Website</a>","<a href=""https://www.facebook.com/amblegaard/"">Facebook</a>","<a href=""https://www.instagram.com/amblegaard/"">Instagram</a>","<a href=""https://maps.google.com/?cid=6355481952602453534"">Google</a>",,,"<a href=""https://untappd.com/w/amble-gard/553298"">Untappd</a>"
2751,Bizio,Spain,0,1,1,1,3,2022,2022,1,,"<a href=""https://www.facebook.com/bizio.eus/"">Facebook</a>","<a href=""https://www.instagram.com/bizio.eus/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10634023042683294263"">Google</a>",,,"<a href=""https://untappd.com/w/bizio/517614"">Untappd</a>"
3269,Helleland Gard,Norway,0,1,1,1,3,2022,2022,1,"<a href=""https://www.hellelandgard.no/"">Website</a>","<a href=""https://www.facebook.com/hellelandgard/"">Facebook</a>","<a href=""https://www.instagram.com/heldresider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16525259240171377871"">Google</a>",,,"<a href=""https://untappd.com/w/helleland-gard-heldre-sider/377451"">Untappd</a>"
1880,Little Pomona,England,0,1,1,1,3,2022,2022,1,"<a href=""https://littlepomona.com/"">Website</a>","<a href=""https://www.facebook.com/LittlePomona/"">Facebook</a>","<a href=""https://www.instagram.com/littlepomona/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1246096540068808621"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g503860-d24036981"">TripAdvisor</a>","<a href=""https://untappd.com/w/little-pomona/328882"">Untappd</a>"
3033,Lofthus Sideri,Norway,0,1,1,1,3,2022,2022,1,"<a href=""https://www.lofthus-sideri.no/"">Website</a>","<a href=""https://www.facebook.com/lofthussideri"">Facebook</a>","<a href=""https://www.instagram.com/lofthussideri/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4261867360833684799"">Google</a>",,,"<a href=""https://untappd.com/w/lofthus-sideri/499732"">Untappd</a>"
2544,Åkre Gård,Norway,0,0,3,0,3,2022,2022,1,"<a href=""https://aakre-gard.no/"">Website</a>","<a href=""https://www.facebook.com/EdelSider/"">Facebook</a>","<a href=""https://www.instagram.com/edelsider"">Instagram</a>","<a href=""https://maps.google.com/?cid=10200668651455703399"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g21171125-d21170815"">TripAdvisor</a>","<a href=""https://untappd.com/Aakre_Gard"">Untappd</a>"
3608,Buhagen,Norway,0,0,3,0,3,2022,2022,1,"<a href=""https://buhagen-kultur.no/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100064834955188"">Facebook</a>","<a href=""https://www.instagram.com/buhagen_/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13061266213598446649"">Google</a>",,,"<a href=""https://untappd.com/w/buhagen/490034"">Untappd</a>"
3610,Fjordsider,Norway,0,0,3,0,3,2022,2022,1,"<a href=""https://www.fjordsider.com/"">Website</a>","<a href=""https://www.facebook.com/Fjordsider/"">Facebook</a>","<a href=""https://www.instagram.com/fjordsider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11022661392898708428"">Google</a>",,,"<a href=""https://untappd.com/w/fjordsider-sider-as/448484"">Untappd</a>"
1639,Oiharte,Spain,0,0,3,0,3,2022,2022,1,"<a href=""https://oiharte.com/"">Website</a>","<a href=""https://www.facebook.com/CasaRuralSidreriaOiharte"">Facebook</a>","<a href=""https://www.instagram.com/oiharte/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7283611563965022999"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g1235389-d2470675"">TripAdvisor</a>","<a href=""https://untappd.com/w/oiharte-sagardotegia/351344"">Untappd</a>"
3168,Anikonic,Norway,0,0,2,1,3,2022,2023,2,"<a href=""https://www.anikonic.no/"">Website</a>","<a href=""https://www.facebook.com/anikonicdrinks"">Facebook</a>","<a href=""https://www.instagram.com/anikonic_drinks/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/anikonic/543805"">Untappd</a>"
3004,Bugarden,Norway,0,0,2,1,3,2022,2023,2,"<a href=""https://www.bugarden.no/"">Website</a>",,,,,,"<a href=""https://untappd.com/w/bugarden/556870"">Untappd</a>"
2760,Cidérka,Czechia,0,0,2,1,3,2023,2023,1,"<a href=""https://www.ciderka.cz/"">Website</a>","<a href=""https://www.facebook.com/ciderka.cz"">Facebook</a>","<a href=""https://www.instagram.com/ciderka.cz/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4045068491840478725"">Google</a>",,,"<a href=""https://untappd.com/w/ciderka/463341"">Untappd</a>"
2703,Cydr Chyliczki,Poland,0,0,2,1,3,2023,2023,1,"<a href=""https://cydrchyliczki.pl/"">Website</a>","<a href=""https://www.facebook.com/cydrchyliczki/"">Facebook</a>","<a href=""https://www.instagram.com/cydrchyliczki/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/cydr-chyliczki/271740"">Untappd</a>"
1149,Domaine Dupont,France,0,0,2,1,3,2022,2022,1,"<a href=""https://www.calvados-dupont.com/"">Website</a>","<a href=""https://www.facebook.com/calvados.dupont/"">Facebook</a>","<a href=""https://www.instagram.com/domaine_dupont/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4283975466429458280"">Google</a>","<a href=""https://www.yelp.com/biz/domaine-familial-louis-dupont-victot-pontfol"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g3419860-d2344452"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/4744"">Untappd</a>"
1170,Gurutzeta,Spain,0,0,2,1,3,2022,2022,1,"<a href=""https://www.gurutzeta.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100063653015548"">Facebook</a>","<a href=""https://www.instagram.com/gurutzeta_sagar/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3267815348998464054"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g1064182-d3915865"">TripAdvisor</a>","<a href=""https://untappd.com/w/gurutzeta-sagardotegia/249476"">Untappd</a>"
