COUNTA of Award,Award,col2,col3,col4,col5
Year,🏆 Best in Class,🥇 Gold,🥈 Silver,🥉 Bronze,Grand Total
2023,13,30,133,155,331
2024,15,15,126,139,295
Grand Total,28,45,259,294,626
