WID,Producer,Region,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd,Latitude,Longitude,Transparency
1574,Kelterei Heil,Germany,0,5,3,8,2017,2019,2,Active,https://kelterei-heil.de/,https://www.facebook.com/keltereiheil/,https://www.instagram.com/keltereiheil,https://maps.google.com/?cid=18431477139160593371,,,https://untappd.com/brewery/33255,50.390709,8.331258,0
2481,L'Aubinière,France,3,2,2,7,2023,2023,1,Active,https://www.laubiniere.fr/,https://www.facebook.com/laubiniere/,https://www.instagram.com/laubiniere/,https://maps.google.com/?cid=3202157626582316196,,,https://untappd.com/w/l-aubiniere/531046,47.9662222,-1.4851928,0
1167,Alorrenea,Basque Country,2,3,2,7,2017,2023,4,Active,https://alorrenea.com/,https://www.facebook.com/Alorrenea/,https://www.instagram.com/alorrenea/,https://maps.google.com/?cid=7369065934381285009,https://www.yelp.com/biz/alorrenea-astigarraga,https://www.tripadvisor.com/Restaurant_Review-g1064182-d3809108,https://untappd.com/w/sidreria-alorrena/64396,43.2873917,-1.9463625,0
1675,Sidra Viuda de Angelón,Asturias,2,3,2,7,2017,2023,2,Active,http://www.sidraviudaangelonpomar.es/,https://www.facebook.com/sidrapomar.viudaangelon/,https://www.instagram.com/Sidraviudaangelon/,https://maps.google.com/?cid=13173562328637195239,,,https://untappd.com/w/viuda-de-angela3n/142823,43.367684,-5.523426,0
1119,Thatchers Cider,England,2,3,2,7,2017,2019,2,Active,https://www.thatcherscider.co.uk/,https://www.facebook.com/ThatchersCiderCompany,https://www.instagram.com/thatcherscider/,https://maps.google.com/?cid=15191093037076298219,,https://www.tripadvisor.com/Attraction_Review-g4412909-d11019728,https://untappd.com/brewery/3063,51.3328274,-2.8330779,0
1649,Cidrerie Berri,Basque Country,1,4,2,7,2017,2023,4,Active,https://txopinondo.fr/,https://www.facebook.com/txopinondo,https://www.instagram.com/txopinondo/,https://maps.google.com/?cid=14446292626809718341,,https://www.tripadvisor.com/Restaurant_Review-g1118261-d2139433,https://untappd.com/w/cidrerie-txopinondo/215570,43.364722,-1.6375,0
2752,Mooma,Catalonia,1,3,3,7,2017,2023,2,Active,https://mooma.cat/,https://www.facebook.com/sidreriamooma/,https://www.instagram.com/mooma/,https://maps.google.com/?cid=11350926811080988766,,https://www.tripadvisor.com/Restaurant_Review-g3501872-d13815642,https://untappd.com/w/mooma/254950,42.0007312,3.133318,0
255,Eden Ciders,United States,3,1,2,6,2021,2021,1,Active,https://www.edenciders.com/,https://facebook.com/edenspecialtyciders,https://www.instagram.com/edenciders/,https://maps.google.com/?cid=1133141626652589768,https://www.yelp.com/biz/northeast-kingdom-tasting-center-newport,https://www.tripadvisor.com/Restaurant_Review-g57335-d4675348,https://untappd.com/w/eden-specialty-ciders/13108,44.935976,-72.209246,0
1555,Mostbauernhof Distelberger,Austria,1,3,2,6,2023,2023,1,Active,http://www.distelberger.at/,,,https://maps.google.com/?cid=11354772379381960347,,,,48.1412668,14.8455765,0
1371,Cidre Sorre,France,1,2,3,6,2023,2023,1,Active,https://www.cidre-sorre.fr/,https://www.facebook.com/CidrerieSorre/,https://www.instagram.com/cidreriesorre/,https://maps.google.com/?cid=3277478841126723957,https://www.yelp.com/biz/chapron-cidre-sorre-ets-plerguer-2,https://www.tripadvisor.com/Attraction_Review-g8506159-d8653800,https://untappd.com/w/cidre-sorre/16758,48.5193051,-1.8481256,0
