ID,Year,Style,Medal,Producer,Product,Points,Region,WID,Type,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
555,2023,Premium Sparkling Cider,🥉 Bronze,Sidra La Naveta,La Naveta Roxa,72.3,Asturias,2754,Cider,Active,"<a href=""https://lanaveta.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100063497946147"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=18265458060195810621"">Google</a>",,,"<a href=""https://untappd.com/w/la-naveta/288596"">Untappd</a>"
556,2023,Premium Sparkling Cider,🥉 Bronze,Nua Cider,Nua #2 - Pet Nat Cider,71.8,Portugal,2483,Cider,Active,"<a href=""https://www.nuacider.com/"">Website</a>","<a href=""https://www.facebook.com/cidernua/"">Facebook</a>","<a href=""https://www.instagram.com/CiderNua"">Instagram</a>",,,,"<a href=""https://untappd.com/w/nua-cider/462924"">Untappd</a>"
557,2023,Premium Sparkling Cider,🥉 Bronze,Sidra Somarroza,Rubí de Somarroza,71.7,Cantabria,1921,Cider,Active,"<a href=""https://sidrasomarroza.es/"">Website</a>","<a href=""https://www.facebook.com/sidrasomarroza"">Facebook</a>","<a href=""https://www.instagram.com/sidrasomarroza/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7109045394192195825"">Google</a>",,,"<a href=""https://untappd.com/w/somarroza/147830"">Untappd</a>"
558,2023,Premium Sparkling Cider,🥉 Bronze,Weidmann & Groh,Dicke Berta Pet Nat,71,Germany,1343,Spirits,Active,"<a href=""https://weidmann-groh.de/"">Website</a>","<a href=""https://www.facebook.com/pages/WEIDMANN-GROH/138116339592327"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=6569120976887073603"">Google</a>",,,"<a href=""https://untappd.com/w/weidmann-groh/73065"">Untappd</a>"
559,2023,Premium Sparkling Cider,🥉 Bronze,Sidra Trabanco,Lagar de Camín Brut Premium,71,Asturias,1674,Cider,Active,"<a href=""https://www.sidratrabanco.com/"">Website</a>","<a href=""https://www.facebook.com/sidratrabanco/"">Facebook</a>","<a href=""https://www.instagram.com/sidratrabanco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8706552013547802387"">Google</a>",,,"<a href=""https://untappd.com/brewery/6382"">Untappd</a>"
560,2023,Premium Sparkling Cider,🥉 Bronze,Zapiain,Zapiain Aparduna 2019,71,Basque Country,1172,Cider,Active,"<a href=""https://zapiain.eus/"">Website</a>","<a href=""https://www.facebook.com/zapiainsagardoa"">Facebook</a>","<a href=""https://www.instagram.com/zapiainsagardoa/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16982677267877188990"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g1064182-d3806229"">TripAdvisor</a>","<a href=""https://untappd.com/ZapiainSagardoa"">Untappd</a>"
561,2023,Premium Sparkling Cider,🥉 Bronze,Cider Bohemia,Cider Bohemia,70.8,Czechia,2758,Cider,Active,"<a href=""https://ciderbohemia.cz/"">Website</a>",,"<a href=""https://www.instagram.com/ciderbohemia/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7807386085617641275"">Google</a>",,,"<a href=""https://untappd.com/w/cider-bohemia/314477"">Untappd</a>"
562,2023,Premium Sparkling Cider,🥉 Bronze,Sidra Somarroza,Sidra Espumosa Dulce Somarroza,70.7,Cantabria,1921,Cider,Active,"<a href=""https://sidrasomarroza.es/"">Website</a>","<a href=""https://www.facebook.com/sidrasomarroza"">Facebook</a>","<a href=""https://www.instagram.com/sidrasomarroza/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7109045394192195825"">Google</a>",,,"<a href=""https://untappd.com/w/somarroza/147830"">Untappd</a>"
563,2023,Perry,🥇 Gold,Seppelbauer,Speckbirnen Most,94.5,Austria,1548,Cider,Active,"<a href=""https://www.seppelbauer.at/"">Website</a>","<a href=""https://www.facebook.com/pages/Seppelbauers-Obstparadies/208933892492272"">Facebook</a>","<a href=""https://www.instagram.com/seppelbauer/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/mostheuriger-seppelbauer-datzberger/309349"">Untappd</a>"
564,2023,Perry,🥇 Gold,Seppelbauer,Birnen Cider,94.1,Austria,1548,Cider,Active,"<a href=""https://www.seppelbauer.at/"">Website</a>","<a href=""https://www.facebook.com/pages/Seppelbauers-Obstparadies/208933892492272"">Facebook</a>","<a href=""https://www.instagram.com/seppelbauer/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/mostheuriger-seppelbauer-datzberger/309349"">Untappd</a>"
