Style,Medal,Producer,Product,Points,Region
Natural Basque Cider,🥇 Gold,ZAPIAIN SAT,Joanes de Zapiain 2020,45,Euskal Herria
Natural Basque Cider,🥇 Gold,OIHARTE SAGARDOTEGIA,Oiharte Euskal Sagardoa,45,Euskal Herria
Natural Basque Cider,🥈 Silver,ISASTEGI SAGARDOTEGIA S.L.,Isastegi Euskal Sagardoa Premium,43,Euskal Herria
Natural Basque Cider,🥈 Silver,ZAPIAIN SAT,Zapiain Berezia 2020,41,Euskal Herria
Natural Basque Cider,🥈 Silver,GURUTZETA SAGARDOTEGIA,Gurutzeta E.S. Premium,41,Euskal Herria
Natural Basque Cider,🥈 Silver,ISASTEGI SAGARDOTEGIA S.L.,Isastegi Euskal Sagardoa,40,Euskal Herria
Natural Basque Cider,🥉 Bronze,ALORRENEA SAGARDOTEGIA,Euskal Sagardoa Premium,36,Euskal Herria
Natural Basque Cider,🥉 Bronze,IZETA SAGARDOTEGIA,Euskal sagardoa,31,Euskal Herria
Traditional Basque Cider,🥈 Silver,GURUTZETA SAGARDOTEGIA,Gurutzeta Gorenak,41,Euskal Herria
Traditional Basque Cider,🥈 Silver,SON OF MAN,Son Of Man Sagardo,38,Estatu Batuak
Traditional Basque Cider,🥉 Bronze,SAS EGARRI,Sagardoa Kupela,37,Euskal Herria
Traditional Basque Cider,🥉 Bronze,SAS EGARRI,Aingura Kupela,35,Euskal Herria
Traditional Basque Cider,🥉 Bronze,BALDORBA NATUREL & SAGARRALEKU,Baldorba Naturel & Sagarraleku,34,Euskal Herria
Natural Asturian Cider,🥇 Gold,SIDRA MENENDEZ,Sidra natural,46,Espainia
Natural Asturian Cider,🥇 Gold,SIDRA TRABANCO,Sidra Trabanco Selección,46,Espainia
Natural Asturian Cider,🥇 Gold,LLAGAR SIDRA CASTAÑON,Sidra Castañon,45,Espainia
Natural Asturian Cider,🥈 Silver,LLAGAR SIDRA CASTAÑON,Sidra Val de Boides,42,Espainia
Natural Asturian Cider,🥈 Silver,LLAGAR SIDRA FRAN,Ramos del Valle,41,Espainia
Natural Asturian Cider,🥈 Silver,SIDRA MENENDEZ,Sidra natural D.O.P.,38,Espainia
Natural Asturian Cider,🥉 Bronze,SIDRA PIÑERA,Piñera,37,Espainia
Natural Asturian Cider,🥉 Bronze,ANGRY ORCHARD,Edu,36,Estatu Batuak
Natural Asturian Cider,🥉 Bronze,SIDRA TRABANCO,Sidra Trabanco tradicional,35,Espainia
Natural Asturian Cider,🥉 Bronze,SIDRA PIÑERA,Piñera DOP,35,Espainia
Natural Asturian Cider,🥉 Bronze,"SIDRA EL GAITERO (VALLE, BALLINA Y FERNANDEZ)",Pomarina Natural Tradicional,30,Espainia
Traditional French Cider,🥇 Gold,DOMAINE DE LA MARE,L'Insoumis,46,Frantzia
