ID,Category,Medal,Entrant,Medalist,Entry,Entry,Points,Country,WID,Website,Facebook,Instagram,Google,TripAdvisor,Untappd,Latitude,Longitude
18,Natural Cider,🥉 BRONZE,THE DRUNKEN PHARMACIST,The Drunken Pharmacist,Sidra Natural,Sidra Natural,75.3,Portugal,2492,,https://www.facebook.com/profile.php?id=100093795090507,https://www.instagram.com/thedrunkenpharmacist_/,,,https://untappd.com/w/the-drunken-pharmacist/543354,32.688348,-16.7992719
19,Natural Cider,🥉 BRONZE,MANUEL BUSTO AMANDI S.A.,Sidra Mayador,Sidra Natural M.Busto,Sidra Natural M.Busto,73.7,Spain,1610,http://www.mayador.com/,https://www.facebook.com/sidramayadorcider,https://www.instagram.com/sidramayador/,https://maps.google.com/?cid=6886369759358960464,,https://untappd.com/SidraMayador,43.514985,-5.330323
20,Natural Cider,🥉 BRONZE,ISASTEGI SAGARDOTEGIA S.L.,Isastegi,Isastegi Premium,Isastegi Premium,73,Basque Country,1546,https://www.isastegi.com/,https://www.facebook.com/isastegi.sagardotegia,https://www.instagram.com/isastegi/,https://maps.google.com/?cid=3927960308349571227,https://www.tripadvisor.com/Restaurant_Review-g1064362-d5772954,https://untappd.com/brewery/6054,43.120554,-2.09486
21,Natural Cider,🥉 BRONZE,BALDORBA NATUREL & SAGARRALEKU,Baldorba Naturel & Sagarraleku,Sabaiza Premium,Sabaiza Premium,72.5,Basque Country,2742,https://www.sidrasbaldorbanaturel.com/,https://www.facebook.com/sagarraleku/,https://www.instagram.com/sidrasbaldorbanaturel/,,,https://untappd.com/w/baldorba-sagardotegia/336919,42.5849196,-1.5400788
22,Natural Cider,🥉 BRONZE,SIDRA RIESTRA,Sidra Riestra,Sidra Natural Riestra,Sidra Natural Riestra,72.2,Spain,1673,http://www.sidrariestra.com/,https://www.facebook.com/SidraRiestra,https://www.instagram.com/sidrariestra/,https://maps.google.com/?cid=2253085342105400787,,https://untappd.com/w/riestra/70601,43.416536,-5.580949
23,Natural Cider,🥉 BRONZE,BALDORBA NATUREL & SAGARRALEKU,Baldorba Naturel & Sagarraleku,Naizhaga Premium,Naizhaga Premium,72.1,Basque Country,2742,https://www.sidrasbaldorbanaturel.com/,https://www.facebook.com/sagarraleku/,https://www.instagram.com/sidrasbaldorbanaturel/,,,https://untappd.com/w/baldorba-sagardotegia/336919,42.5849196,-1.5400788
24,Natural Cider,🥉 BRONZE,BODEGAS FRP SIDRA NIEBLA,Sidra Niebla,Sidra Niebla Etiqueta Verde,Sidra Niebla Etiqueta Verde,71.7,Spain,2748,https://www.sidrasdecanarias.com/,,https://www.instagram.com/sidras_niebla/,https://maps.google.com/?cid=16349686505723006702,,,28.0509128,-15.5754537
25,Natural Cider,🥉 BRONZE,JUANKORENA SAGARDOTEGIA,Juankorena Sagardotegia,Basajaun Glod,Basajaun Glod,71.2,Basque Country,X,,,,,,,,
26,Natural Cider,🥉 BRONZE,MIZPIRADI SAGARDOTEGIA,Mizpiradi,Sidra Mizpiradi Do,Sidra Mizpiradi Do,71.1,Basque Country,2750,https://www.mizpiradi.eus/,https://www.facebook.com/mizpiradisagardotegia,https://www.instagram.com/mizpiradi_sagardotegia/,https://maps.google.com/?cid=8356736279020353612,https://www.tripadvisor.com/Restaurant_Review-g4084952-d7743443,https://untappd.com/w/mizpiradi-sagardotegia/553735,43.2187221,-1.9972872
27,Natural Cider,🥉 BRONZE,"SOCIEDADE AGRICOLA SIDRALFA, LDA.",Sidra Alfa,Sidra Alfa,Sidra Alfa,71,Portugal,2756,https://sidraalfa.pt/,https://www.facebook.com/Sidralfa1/,https://www.instagram.com/sidra_alfa/,,,https://untappd.com/w/sidra-alfa/545661,41.2332048,-7.3302313
28,Natural Cider,🥉 BRONZE,BALDORBA NATUREL & SAGARRALEKU,Baldorba Naturel & Sagarraleku,Orbaibar Premium,Orbaibar Premium,71,Basque Country,2742,https://www.sidrasbaldorbanaturel.com/,https://www.facebook.com/sagarraleku/,https://www.instagram.com/sidrasbaldorbanaturel/,,,https://untappd.com/w/baldorba-sagardotegia/336919,42.5849196,-1.5400788
29,Natural Cider,🥉 BRONZE,CASA DO CARAMANCHÃO,Boneca de Canudo,Sidra Boneca De Canudo 2022,Sidra Boneca De Canudo 2022,70.8,Portugal,2757,https://www.bonecadecanudo.com/,https://www.facebook.com/bonecadecanudo/,https://www.instagram.com/bonecadecanudo/,https://maps.google.com/?cid=14850808685027168712,,https://untappd.com/w/casa-do-caramanchao/542700,32.7191271,-16.7671899
