Region,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total
Asturias,15,13,12,40
Austria,7,11,12,30
Basque Country,7,9,10,26
France,4,5,5,14
United States,3,2,6,11
Germany,4,3,2,9
Sweden,4,2,3,9
Norway,1,3,4,8
Poland,3,0,4,7
Netherlands,0,5,2,7
Portugal,1,1,4,6
Italy,3,2,0,5
Cantabria,2,0,3,5
Czechia,0,1,4,5
Catalonia,1,2,1,4
Ireland,1,2,1,4
Chile,1,2,0,3
Finland,1,2,0,3
Canary Islands,1,1,1,3
Belgium,0,1,0,1
Latvia,0,1,0,1
England,0,0,1,1
Uruguay,0,0,1,1
Total,59,68,76,203
