ID,Category,Award,Medalist,Entry
2,Fruit – Cane Fruit,🥉 BRONZE,Seattle Cider Company,Berry Rosé
3,Fruit – Cane Fruit,🥈 SILVER,Bauman’s Cider Company,Loganberry
4,Fruit – Cane Fruit,🥇 GOLD,Swift Cider,Marionberry
5,Fruit – Other Fruit,🥉 BRONZE,2 Towns Ciderhouse,Rhubarbarian
6,Fruit – Other Fruit,🥈 SILVER,North Idaho Cider,Berry Eclipse
7,Fruit – Other Fruit,🥇 GOLD,Draper Girls Country Farm Cider,Aronia Berry
8,Fruit – Stone Fruit,🥉 BRONZE,2 Towns Ciderhouse,Man Gogh
9,Fruit – Stone Fruit,🥈 SILVER,2 Towns Ciderhouse,Cot in the Act
10,Fruit – Stone Fruit,🥇 GOLD,Rack & Cloth,Pêche
11,Fruit – Cherry,🥈 SILVER,Tieton Cider Works,Cherry Cider
12,Fruit – Pear,🥈 SILVER,Draper Girls Country Farm Cider,French Pear
13,Hopped,🥉 BRONZE,Rootwood Cider,Hop Infused
14,Hopped,🥈 SILVER,Swift Cider,Pineapple Hop
15,Hopped,🥇 GOLD,Square Mile Cider,Hopped Apple Cider
16,Spiced/Herbed,🥉 BRONZE,Tumalo Cider Company,Thai Citrus
17,Spiced/Herbed,🥈 SILVER,Chatter Creek Wine & Cider,Chatter Creek Cider
18,Spiced/Herbed,🥇 GOLD,2 Towns Ciderhouse,Nice & Naughty
19,Wood/Oaked,🥉 BRONZE,Portland Cider Company,Blackberry Pinot
20,Wood/Oaked,🥈 SILVER,Liberty Ciderworks,Stonewall Barrel-Aged Cider
21,Perry – Modern,🥉 BRONZE,Portland Cider,Perfect Perry
22,Perry – Modern,🥈 SILVER,Eden Valley Orchards,Pear House Cider
23,Perry – Modern,🥇 GOLD,Elk Horn Brewery & Cidery House,Very Perry
24,Perry – Traditional,🥈 SILVER,Carlton Cyderworks,French Lane Perry
25,Perry – Traditional,🥇 GOLD,Dragon’s Head Cider,Perry
26,Modern Dry,🥉 BRONZE,Swift Cider,Hard Apple
27,Modern Dry,🥈 SILVER,Western Cider,McIntosh 2017
28,Modern Dry,🥇 GOLD,2 Towns Ciderhouse,BrightCider
29,Modern Sweet,🥉 BRONZE,Montana CiderWorks,McIntosh
30,Modern Sweet,🥈 SILVER,2 Towns Ciderhouse,OutCider
31,Modern Sweet,🥇 GOLD,Portland Cider Company,Sorta Sweet
32,Specialty,🥉 BRONZE,Elk Horn Brewery & Cidery House,Grape Perry
33,Specialty,🥈 SILVER,Snowdrift Cider Company,Red Cider
34,Specialty,🥇 GOLD,Liberty Ciderworks,Manchurian Crabapple SV
35,Wild/Non-Sac,🥉 BRONZE,Tieton Cider Works,Perry
36,Wild/Non-Sac,🥇 GOLD,2 Towns Ciderhouse,Traditions 2015 La Mûre
37,English Dry,🥉 BRONZE,2 Towns Ciderhouse,Cellar Series West Country Replica
38,English Dry,🥈 SILVER,Carlton Cyderworks,French Lane Press
39,English Dry,🥇 GOLD,Cider Riot!,Shaken Tree
40,English Sweet,🥈 SILVER,Montana CiderWorks,North Fork Traditional
41,English Sweet,🥇 GOLD,Sea Cider Farm & Ciderhouse,Bittersweet
42,Heritage Dry,🥉 BRONZE,WildCraft Cider Works,Willamette Heritage
43,Heritage Dry,🥈 SILVER,Finnriver Farm & Cidery,Farmstead Cider
44,Heritage Dry,🥇 GOLD,Bauman’s Cider Company,Clyde’s Dry
45,Heritage Sweet,🥉 BRONZE,Western Cider,Heirloom
46,Heritage Sweet,🥇 GOLD,Montana CiderWorks,Darby Pub
47,French,🥉 BRONZE,2 Towns Ciderhouse,2016 Demi-Sec
48,French,🥇 GOLD,2 Towns Ciderhouse,Traditions 2016 Cidre Bouché
