Region,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total
Oregon,69,74,57,200
Washington,43,48,56,147
British Columbia,10,11,13,34
Montana,4,7,3,14
Idaho,2,5,2,9
Total,128,145,131,404
