Year,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total
2013,7,8,7,22
2014,5,7,5,17
2015,7,7,8,22
2016,7,8,11,26
2017,8,11,12,31
2018,16,16,15,47
2019,14,19,15,48
2021,16,16,13,45
2022,20,22,18,60
2023,18,17,16,51
2024,17,22,18,57
Total,135,153,138,426
