Region,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total
Oregon,63,62,50,175
Washington,34,41,47,122
British Columbia,8,9,11,28
Montana,4,7,3,14
Idaho,2,4,2,8
Total,111,123,113,347
