ID,Category,Award,Medalist,Entry
15,Botanical,🥇 GOLD,Tieton Cider Works,Lavender Honey Cider
42,Botanical,🥉 BRONZE,Incline Cider Company,Lemongrass
21,English Dry,🥈 SILVER,Cider Riot!,1763 Revolutionary West Country Cider
29,English Sweet,🥈 SILVER,Sea Cider Farm and Cidery,Bittersweet
9,French,🥇 GOLD,Liberty Ciderworks,Lafayette
19,French,🥈 SILVER,Bauman’s Cider,Keeved Bittersweet
4,Fruit Cider - Cane Fruit,🥇 GOLD,Bauman’s Cider,Logan Berry
16,Fruit Cider - Cane Fruit,🥈 SILVER,2 Towns Ciderhouse,Two Thorns
22,Fruit Cider - Cherry,🥈 SILVER,Draper Girls Cider Co.,Tart Cherry
38,Fruit Cider - Cherry,🥉 BRONZE,Draper Girls Cider Co.,Cherry Pie
2,Fruit Cider - Other,🥇 GOLD,2 Towns Ciderhouse,Strawberry Haze
17,Fruit Cider - Other,🥈 SILVER,2 Towns Ciderhouse,Passion Statement
48,Fruit Cider - Other,🥉 BRONZE,Tieton Cider Works,Cranberry Cider
23,Fruit Cider - Pear,🥈 SILVER,Draper Girls Cider Co.,French Pear
5,Fruit Cider - Stone Fruit,🥇 GOLD,Bauman’s Cider,Peach Raspberry
33,Fruit Cider - Stone Fruit,🥈 SILVER,Tieton Cider Works,Apricot Cider
39,Fruit Cider - Stone Fruit,🥉 BRONZE,Draper Girls Cider Co.,Raspberry Nectarine
3,Heritage Dry,🥇 GOLD,2 Towns Ciderhouse,8th Anniversary
20,Heritage Dry,🥈 SILVER,Bauman’s Cider,Clyde’s Dry
49,Heritage Dry,🥉 BRONZE,Tieton Cider Works,Wild Washington Cider
24,Heritage Sweet,🥈 SILVER,Montana Cider Works,Derby Pub Cider
47,Heritage Sweet,🥉 BRONZE,Tieton Cider Works,Blossom Nectar Cider
11,Hopped,🥇 GOLD,Runcible Cider,Hop Ya’ll
27,Hopped,🥈 SILVER,Rootwood Cider Company,Hop Infused
46,Hopped,🥉 BRONZE,Square Mile Cider Co.,Hopped Apple Cider
14,Modern Dry,🥇 GOLD,Swift Cider,Original Hard Apple
32,Modern Dry,🥈 SILVER,The BX Press,The Hostler
41,Modern Dry,🥉 BRONZE,Idun Cider,Idun Cider Dry
8,Modern Perry,🥇 GOLD,Independent Cider,Sno Gem Dry
28,Modern Perry,🥈 SILVER,Rootwood Cider Company,Perry
43,Modern Perry,🥉 BRONZE,Independent Cider,Semi Dry Bartlett Perry
6,Modern Sweet,🥇 GOLD,Bauman’s Cider,Stephen’s Sweet
30,Modern Sweet,🥈 SILVER,Swift Cider,Mac
10,Single Varietal - Bittersweet/Bittersharp,🥇 GOLD,Liberty Ciderworks,Kingston Black SV
26,Single Varietal - Crab,🥈 SILVER,OR/WA Cider Collective,100% Manchurian Crabapple
44,Single Varietal - Dessert/Culinary,🥉 BRONZE,Seattle Cider Company,Gravenstein Rose
12,Specialty,🥇 GOLD,Snowdrift Cider Co.,Red
31,Specialty,🥈 SILVER,Swift Cider,Pinot Rose
36,Specialty,🥉 BRONZE,Alter Ego Cider,The Brew
7,Spiced,🥇 GOLD,Bauman’s Cider,Old Mule
18,Spiced,🥈 SILVER,2 Towns Ciderhouse,Ginja Ninja
40,Spiced,🥉 BRONZE,Happy Valley Ciderworks,Oma’s Spiced Cider
34,Traditional Perry,🥈 SILVER,Tieton Cider Works,Pure Pear
37,Traditional Perry,🥉 BRONZE,Dragon’s Head Cider,Perry
45,Wild/Non-Sac,🥉 BRONZE,Slopeswell Cider Co.,Homestead
13,Wood/Oaked,🥇 GOLD,Snowdrift Cider Co.,Cornice
25,Wood/Oaked,🥈 SILVER,North Idaho Cider,Prairie Gold
35,Wood/Oaked,🥉 BRONZE,2 Towns Ciderhouse,Boysenbarrel
