ID,Category,Award,Medalist,Entry
2,Common Dry Cider,🥇 GOLD,Blue Mountain,Estate Winesap
3,Common Sweet Cider,🥇 GOLD,Apple Bandit,Apple Bandit Original
4,Wood/Oaked Cider,🥇 GOLD,Rogue,Rogue Pink Gin Cider
5,Fruit Cider,🥇 GOLD,Finnriver,Finnriver Black Currant Cider
6,Specialty Cider,🥇 GOLD,Bull Run,Pear Wine
7,Common Dry Cider,🥈 SILVER,Cider Riot,Burncider
8,English Dry Cider,🥈 SILVER,Merridale,Merridale Monarch
9,Hopped Cider,🥈 SILVER,Square Mile,Square Mile Spur & Vine
10,Spiced/Herbed Cider,🥈 SILVER,Apple Bandit,Apple Bandit Ginger Bite
11,Wood/Oaked Cider,🥈 SILVER,Finnriver,Finnriver Fire Barrel Cider
12,Fruit Cider,🥈 SILVER,Tieton,Cherry Blend
13,Specialty Cider,🥈 SILVER,Tieton,Tieton Frost
14,Common Dry Cider,🥉 BRONZE,Wandering Aengus,Wandering Aengus Wickson
15,Common Sweet Cider,🥉 BRONZE,Wandering Aengus,Wandering Aengus Bloom
16,Hopped Cider,🥉 BRONZE,Wandering Aengus,Anthem Hops
17,Spiced/Herbed Cider,🥉 BRONZE,Tieton,Holiday Cheer
18,Specialty Cider,🥉 BRONZE,Tieton,Tieton Wind
