Year,🏆 BIC,🥇 Gold,🥈 Silver,🥉 Bronze,Total
2005,1,6,6,7,45
2006,3,7,15,12,37
2007,1,4,16,15,36
2008,2,3,19,26,50
2009,2,9,42,14,81
2011,4,29,56,53,165
2012,4,11,62,60,148
2013,3,20,89,128,300
2014,4,34,122,147,375
2015,5,19,154,235,480
2016,12,50,255,303,784
2017,54,35,289,353,963
2018,57,53,417,418,1064
2019,60,103,473,439,1217
2021,60,107,611,374,1231
2022,60,107,556,317,1105
2023,60,110,583,301,1134
Total,392,707,3765,3202,9215
