Year,Medal,Medalist,Entry,Style,Place
2016,🥉 BRONZE,^5 Cider,Hello Raspberry ,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2016,🥉 BRONZE,^5 Cider,Strawbasaurus Hop,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2018,🥈 SILVER,101 Cider House,Bonfire Betty,"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-specialty-cider/"">Wood Aged Specialty Cider</a>",
2016,🥈 SILVER,101 Cider House,SoCal Scrumpy,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2016,🥉 BRONZE,101 Cider House,India Pale Cider,"<a href=""https://ciderguide.com/glintcap/styles/hopped-cider/"">Hopped/Herbal Cider</a>",
2021,🥈 SILVER,12 Bridge Ciderworks,Ross Island Sangria,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2021,🥈 SILVER,12 Bridge Ciderworks,Summer Daze,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2021,🥈 SILVER,12 Bridge Ciderworks,Tilikum Tropic Thunder,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2021,🥉 BRONZE,12 Bridge Ciderworks,Fremont Gingerella Pear,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2019,🥈 SILVER,12 Bridge Ciderworks,Broadway Cran-Pom,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2019,🥈 SILVER,12 Bridge Ciderworks,Ross Island Sangria,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2019,🥈 SILVER,12 Bridge Ciderworks,Tilikum Tropic Thunder,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2019,🥉 BRONZE,12 Bridge Ciderworks,Hawthorne Apple,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Dry</a>",
2023,🥈 SILVER,12 Corners Vineyards,Big Daddys Hard Apple Cider,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2023,🥈 SILVER,12 Corners Vineyards,Juicy Lucy Peach Hard Cider,"<a href=""https://ciderguide.com/glintcap/styles/unlimited-cider-and-perry/"">Unlimited Cider and Perry</a>",
2023,🥈 SILVER,12 Corners Vineyards,Lil Reds Cranberry Hard Cider,"<a href=""https://ciderguide.com/glintcap/styles/unlimited-cider-and-perry/"">Unlimited Cider and Perry</a>",
2023,🥈 SILVER,19 Acres Cider Co.,Bright & Dry,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Dry</a>",
2023,🥈 SILVER,19 Acres Cider Co.,Honeycrisp,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2023,🥈 SILVER,19 Acres Cider Co.,Yuletide,"<a href=""https://ciderguide.com/glintcap/styles/botanical-cider/"">Botanical Cider</a>",
2023,🥉 BRONZE,19 Acres Cider Co.,Marionberry,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2023,🥉 BRONZE,19 Acres Cider Co.,Pineapple Passion,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2023,🏆 BEST IN CLASS,1911 Established,Lafayette,"<a href=""https://ciderguide.com/glintcap/styles/traditional-cider/"">Traditional Cider - Sweet</a>",3rd Place
2023,🥇 GOLD,1911 Established,Pommeau,"<a href=""https://ciderguide.com/glintcap/styles/fortified-cider/"">Fortified Cider</a>",
2023,🥈 SILVER,1911 Established,Apple Vodka,"<a href=""https://ciderguide.com/glintcap/styles/spirits/"">Spirits</a>",
2023,🥈 SILVER,1911 Established,Cranberry,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2023,🥈 SILVER,1911 Established,Jam On It,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2023,🥈 SILVER,1911 Established,Original,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2023,🥈 SILVER,1911 Established,Rose,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2023,🥉 BRONZE,1911 Established,NEIPC,"<a href=""https://ciderguide.com/glintcap/styles/hopped-cider/"">Hopped Cider</a>",
2023,🥉 BRONZE,1911 Established,Orange Creamsicle,"<a href=""https://ciderguide.com/glintcap/styles/unlimited-cider-and-perry/"">Unlimited Cider and Perry</a>",
2022,🥇 GOLD,1911 Established,Rose,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2022,🥈 SILVER,1911 Established,Apple Brandy,"<a href=""https://ciderguide.com/glintcap/styles/spirits/"">Spirits</a>",
2022,🥈 SILVER,1911 Established,Apple Vodka,"<a href=""https://ciderguide.com/glintcap/styles/spirits/"">Spirits</a>",
2022,🥈 SILVER,1911 Established,Cranberry,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2022,🥈 SILVER,1911 Established,Honeycrisp,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2022,🥈 SILVER,1911 Established,Jam On It,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2022,🥈 SILVER,1911 Established,Lafayette,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider - Sweet</a>",
2022,🥈 SILVER,1911 Established,NEIPC,"<a href=""https://ciderguide.com/glintcap/styles/hopped-cider/"">Hopped Cider</a>",
2022,🥈 SILVER,1911 Established,Pommeau,"<a href=""https://ciderguide.com/glintcap/styles/fortified-cider/"">Fortified Cider</a>",
2022,🥈 SILVER,1911 Established,Sour Blackberry,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2022,🥈 SILVER,1911 Established,Sour Cherry,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2022,🥈 SILVER,1911 Established,Unfiltered McIntosh,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2022,🥉 BRONZE,1911 Established,Original,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2022,🥉 BRONZE,1911 Established,Snapdragon,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2021,🥈 SILVER,1911 Established,Apple Vodka,"<a href=""https://ciderguide.com/glintcap/styles/spirits/"">Spirits</a>",
2021,🥈 SILVER,1911 Established,Honeycrisp,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2021,🥈 SILVER,1911 Established,NE Hopped,"<a href=""https://ciderguide.com/glintcap/styles/hopped-cider/"">Hopped Cider</a>",
2021,🥈 SILVER,1911 Established,Original,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2021,🥈 SILVER,1911 Established,Pommeau,"<a href=""https://ciderguide.com/glintcap/styles/fortified-cider/"">Fortified Cider</a>",
2021,🥈 SILVER,1911 Established,Rose,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2021,🥈 SILVER,1911 Established,Sour Hibiscus,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2021,🥉 BRONZE,1911 Established,Cranberry,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2021,🥉 BRONZE,1911 Established,Lafayette,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider - Sweet</a>",
2021,🥉 BRONZE,1911 Established,Shandy,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2021,🥉 BRONZE,1911 Established,Snapdragon,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2019,🥈 SILVER,1911 Established,Full Bloom,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2019,🥈 SILVER,1911 Established,Generation Cider,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider - Dry</a>",
2019,🥈 SILVER,1911 Established,Honeycrisp Cider,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2019,🥈 SILVER,1911 Established,IPC Cider,"<a href=""https://ciderguide.com/glintcap/styles/hopped-cider/"">Hopped Cider</a>",
2019,🥈 SILVER,1911 Established,NY Hopped Cider,"<a href=""https://ciderguide.com/glintcap/styles/hopped-cider/"">Hopped Cider</a>",
2019,🥈 SILVER,1911 Established,Pommeau,"<a href=""https://ciderguide.com/glintcap/styles/fortified-cider/"">Fortified Cider</a>",
2019,🥈 SILVER,1911 Established,Vodka,"<a href=""https://ciderguide.com/glintcap/styles/spirits/"">Spirits</a>",
2019,🥉 BRONZE,1911 Established,Cranberry Cider,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2019,🥉 BRONZE,1911 Established,Honey Cider,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2019,🥉 BRONZE,1911 Established,Honeycrisp Wine,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2019,🥉 BRONZE,1911 Established,Original Cider,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2019,🥉 BRONZE,1911 Established,Rose Cider,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2017,🥇 GOLD,1911 Established,Empire Dry Apple Wine,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2017,🥇 GOLD,1911 Established,Honey Cider,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2017,🥈 SILVER,1911 Established,Honeycrisp,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2017,🥈 SILVER,1911 Established,Honeycrisp Apple Wine,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2017,🥈 SILVER,1911 Established,Hopped IPC,"<a href=""https://ciderguide.com/glintcap/styles/hopped-cider/"">Hopped Cider</a>",
2017,🥉 BRONZE,1911 Established,Brett,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2017,🥉 BRONZE,1911 Established,McIntosh Apple Wine,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2017,🥉 BRONZE,1911 Established,Original,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2016,🥇 GOLD,1911 Established,Empire Wine,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Applewine</a>",
2016,🥈 SILVER,1911 Established,Brett,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2016,🥈 SILVER,1911 Established,Heritage Dry,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider</a>",
2016,🥈 SILVER,1911 Established,McIntosh Wine,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Applewine</a>",
2016,🥈 SILVER,1911 Established,Original ,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider</a>",
2016,🥈 SILVER,1911 Established,Rose,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2016,🥉 BRONZE,1911 Established,Empire Spy,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider</a>",
2016,🥉 BRONZE,1911 Established,Honeycrisp Wine,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Applewine</a>",
2016,🥉 BRONZE,1911 Established,Hopped,"<a href=""https://ciderguide.com/glintcap/styles/hopped-cider/"">Hopped/Herbal Cider</a>",
2015,🥈 SILVER,1911 Established,Empire Dry,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Applewine</a>",
2015,🥈 SILVER,1911 Established,Heritage Dry,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider</a>",
2015,🥈 SILVER,1911 Established,Rosé,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2015,🥉 BRONZE,1911 Established,Empire Spy,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider</a>",
2015,🥉 BRONZE,1911 Established,Hopped,"<a href=""https://ciderguide.com/glintcap/styles/hopped-cider/"">Hopped/Herbal Cider</a>",
2015,🥉 BRONZE,1911 Established,Original,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider</a>",
2021,🥇 GOLD,2 Fools Cider,2 Fools Dry,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Dry</a>",
2021,🥈 SILVER,2 Fools Cider,2 Fools Hopped,"<a href=""https://ciderguide.com/glintcap/styles/hopped-cider/"">Hopped Cider</a>",
2019,🥇 GOLD,2 Fools Cider,Pinehopple,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2019,🥉 BRONZE,2 Fools Cider,Rosé,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2019,🥉 BRONZE,2 Fools Cider,Tart Cherry,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2023,🏆 BEST IN CLASS,2 Towns Ciderhouse,11th Anniversary,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider - Sweet</a>",1st Place
2023,🏆 BEST IN CLASS,2 Towns Ciderhouse,Pommeau,"<a href=""https://ciderguide.com/glintcap/styles/fortified-cider/"">Fortified Cider</a>",2nd Place
2023,🏆 BEST IN CLASS,2 Towns Ciderhouse,Hip Hops,"<a href=""https://ciderguide.com/glintcap/styles/hopped-cider/"">Hopped Cider</a>",3rd Place
2023,🥇 GOLD,2 Towns Ciderhouse,Bleuveré,"<a href=""https://ciderguide.com/glintcap/styles/fortified-cider/"">Fortified Cider</a>",
2023,🥇 GOLD,2 Towns Ciderhouse,BrightCider,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Dry</a>",
2023,🥇 GOLD,2 Towns Ciderhouse,Made Marion,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2023,🥇 GOLD,2 Towns Ciderhouse,Strawberade,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2023,🥈 SILVER,2 Towns Ciderhouse,10th Anniversary,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider - Sweet</a>",
2023,🥈 SILVER,2 Towns Ciderhouse,12th Anniversary,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider - Sweet</a>",
2023,🥈 SILVER,2 Towns Ciderhouse,Blueberry Cosmic Crisp,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2023,🥈 SILVER,2 Towns Ciderhouse,"Oaked Apricot, Nectarine & Honey Cellar Series","<a href=""https://ciderguide.com/glintcap/styles/wood-aged-specialty-cider/"">Wood Aged Specialty Cider</a>",
2023,🥈 SILVER,2 Towns Ciderhouse,"Oaked Prickly Pear, Lime & Agave Cellar Series","<a href=""https://ciderguide.com/glintcap/styles/wood-aged-specialty-cider/"">Wood Aged Specialty Cider</a>",
2023,🥈 SILVER,2 Towns Ciderhouse,Pacific Pineapple,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2023,🥈 SILVER,2 Towns Ciderhouse,Pristine Peach,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2023,🥈 SILVER,2 Towns Ciderhouse,Ruby Revelry,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2023,🥈 SILVER,2 Towns Ciderhouse,Scarlet Rush,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2023,🥈 SILVER,2 Towns Ciderhouse,The Bad Apple,"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-specialty-cider/"">Wood Aged Specialty Cider</a>",
2023,🥈 SILVER,2 Towns Ciderhouse,Tropical Cosmic Crisp,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2023,🥉 BRONZE,2 Towns Ciderhouse,Hollow Jack,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2023,🥉 BRONZE,2 Towns Ciderhouse,Mac Dry,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Dry</a>",
2023,🥉 BRONZE,2 Towns Ciderhouse,Original Cosmic Crisp,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2023,🥉 BRONZE,2 Towns Ciderhouse,Plum As You Are,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2023,🥉 BRONZE,2 Towns Ciderhouse,Raspberry Cosmic Crisp,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2023,🥉 BRONZE,2 Towns Ciderhouse,The Baddie,"<a href=""https://ciderguide.com/glintcap/styles/botanical-cider/"">Botanical Cider</a>",
2022,🥇 GOLD,2 Towns Ciderhouse,Bleuveré,"<a href=""https://ciderguide.com/glintcap/styles/fortified-cider/"">Fortified Cider</a>",
2022,🥇 GOLD,2 Towns Ciderhouse,Cherry Sublime,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2022,🥇 GOLD,2 Towns Ciderhouse,Cosmic Crisp,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2022,🥇 GOLD,2 Towns Ciderhouse,McIntosh Dry,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Dry</a>",
2022,🥇 GOLD,2 Towns Ciderhouse,Pacific Pineapple,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2022,🥈 SILVER,2 Towns Ciderhouse,Blueberry Cosmic Crisp,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2022,🥈 SILVER,2 Towns Ciderhouse,BrightCider,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Dry</a>",
2022,🥈 SILVER,2 Towns Ciderhouse,Dragon's Day Off,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2022,🥈 SILVER,2 Towns Ciderhouse,Made Marion,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2022,🥈 SILVER,2 Towns Ciderhouse,Tropical Cosmic Crisp,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2022,🥈 SILVER,2 Towns Ciderhouse,Velvet Crush,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2021,🥈 SILVER,2 Towns Ciderhouse,11th Anniversary,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Dry</a>",
2021,🥈 SILVER,2 Towns Ciderhouse,BrightCider,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Dry</a>",
2021,🥈 SILVER,2 Towns Ciderhouse,Cosmic Crisp,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2021,🥈 SILVER,2 Towns Ciderhouse,Cosmic Currant,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2021,🥈 SILVER,2 Towns Ciderhouse,Easy Squeezy,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2021,🥈 SILVER,2 Towns Ciderhouse,Made Marion,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2021,🥈 SILVER,2 Towns Ciderhouse,Pacific Pineapple,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2021,🥈 SILVER,2 Towns Ciderhouse,The Bad Apple,"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-specialty-cider/"">Wood Aged Specialty Cider</a>",
2021,🥉 BRONZE,2 Towns Ciderhouse,Strawberade,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2021,🥉 BRONZE,2 Towns Ciderhouse,Two Thorns,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2019,🥇 GOLD,2 Towns Ciderhouse,Hollow Jack'd,"<a href=""https://ciderguide.com/glintcap/styles/botanical-cider/"">Spiced Cider</a>",
2019,🥇 GOLD,2 Towns Ciderhouse,Made Marion,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2019,🥈 SILVER,2 Towns Ciderhouse,2017 Cidre Bouché,"<a href=""https://ciderguide.com/glintcap/styles/traditional-cider/"">Traditional Cider - Sweet</a>",
2019,🥈 SILVER,2 Towns Ciderhouse,2017 Pommeau,"<a href=""https://ciderguide.com/glintcap/styles/fortified-cider/"">Fortified Cider</a>",
2019,🥈 SILVER,2 Towns Ciderhouse,2017 Riverwood,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2019,🥈 SILVER,2 Towns Ciderhouse,2017 West Country Replica #2,"<a href=""https://ciderguide.com/glintcap/styles/traditional-cider/"">Traditional Cider - Dry</a>",
2019,🥈 SILVER,2 Towns Ciderhouse,8th Anniversary,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider - Dry</a>",
2019,🥈 SILVER,2 Towns Ciderhouse,Bad Apple,"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-specialty-cider/"">Wood Aged Specialty Cider</a>",
2019,🥈 SILVER,2 Towns Ciderhouse,Boysenbarrel,"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-specialty-cider/"">Wood Aged Specialty Cider</a>",
2019,🥈 SILVER,2 Towns Ciderhouse,BrightCider,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Dry</a>",
2019,🥈 SILVER,2 Towns Ciderhouse,Camp Clementine,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2019,🥈 SILVER,2 Towns Ciderhouse,Ginja Ninja,"<a href=""https://ciderguide.com/glintcap/styles/botanical-cider/"">Spiced Cider</a>",
2019,🥈 SILVER,2 Towns Ciderhouse,Nice & Naughty,"<a href=""https://ciderguide.com/glintcap/styles/botanical-cider/"">Spiced Cider</a>",
2019,🥈 SILVER,2 Towns Ciderhouse,Pearadise,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2019,🥈 SILVER,2 Towns Ciderhouse,Rhubarbarian,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2019,🥈 SILVER,2 Towns Ciderhouse,Serious Scrump,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider - Dry</a>",
2019,🥈 SILVER,2 Towns Ciderhouse,Strawberry Haze,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2019,🥈 SILVER,2 Towns Ciderhouse,Two Thorns,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2019,🥉 BRONZE,2 Towns Ciderhouse,2017 Marissimo,"<a href=""https://ciderguide.com/glintcap/styles/fortified-cider/"">Fortified Cider</a>",
2019,🥉 BRONZE,2 Towns Ciderhouse,Easy Squeezy,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2019,🥉 BRONZE,2 Towns Ciderhouse,Pacific Pineapple,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2018,🥇 GOLD,2 Towns Ciderhouse,Pearadise,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2018,🥈 SILVER,2 Towns Ciderhouse,2 Towns 7th Anniversary,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider - Sweet</a>",
2018,🥈 SILVER,2 Towns Ciderhouse,Cot in the Act,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2018,🥈 SILVER,2 Towns Ciderhouse,Easy Peasy (Lemon Squeezy),"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2018,🥈 SILVER,2 Towns Ciderhouse,Hollow Jack,"<a href=""https://ciderguide.com/glintcap/styles/botanical-cider/"">Spiced Cider</a>",
2018,🥈 SILVER,2 Towns Ciderhouse,Kentucky Barrel Nice & Naughty,"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-specialty-cider/"">Wood Aged Specialty Cider</a>",
2018,🥈 SILVER,2 Towns Ciderhouse,Made Marion,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2018,🥈 SILVER,2 Towns Ciderhouse,Nice & Naughty,"<a href=""https://ciderguide.com/glintcap/styles/botanical-cider/"">Spiced Cider</a>",
2018,🥈 SILVER,2 Towns Ciderhouse,Pacific Pineapple,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2018,🥈 SILVER,2 Towns Ciderhouse,Rhubarbarian,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2018,🥈 SILVER,2 Towns Ciderhouse,Serious Scrump,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider - Dry</a>",
2018,🥈 SILVER,2 Towns Ciderhouse,Traditions 2015 Vintage La Mure,"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-specialty-cider/"">Wood Aged Specialty Cider</a>",
2018,🥈 SILVER,2 Towns Ciderhouse,Traditions 2016 Vintage Demi-Sec,"<a href=""https://ciderguide.com/glintcap/styles/traditional-cider/"">Traditional Cider - Sweet</a>",
2018,🥉 BRONZE,2 Towns Ciderhouse,2 Thorns,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2018,🥉 BRONZE,2 Towns Ciderhouse,2 Towns Cellar Series - Bulmer's Norman,"<a href=""https://ciderguide.com/glintcap/styles/traditional-cider/"">Traditional Cider - Dry</a>",
