Source,Target,Short_Name,CG_URL,Producer,Status,WID,State_Province,Country,Table_Shortcode,Notes,"[table id=9 filter=""zzz"" filter_full_cell_match=true hide_columns=""3"" /]"
https://glintcap.org/northern-natural-winery,https://glintcap.org/results/commercial/medalists/northern-natural-winery/,northern-natural-winery,https://ciderguide.com/glintcap/medalists/northern-natural-winery/,Northern Natural Cider House & Winery,Active,37,Michigan,United States,"[table id=9 filter=""Northern Natural Cider House & Winery"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/northville-winery-and-brewing-company,https://glintcap.org/results/commercial/medalists/northville-winery-and-brewing-company/,northville-winery-and-brewing-company,https://ciderguide.com/glintcap/medalists/northville-winery-and-brewing-company/,Northville Winery and Brewing Company,Active,38,Michigan,United States,"[table id=9 filter=""Northville Winery and Brewing Company"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/ore-creek-craft-ciders,https://glintcap.org/results/commercial/medalists/ore-creek-craft-ciders/,ore-creek-craft-ciders,https://ciderguide.com/glintcap/medalists/ore-creek-craft-ciders/,Ore Creek Craft Cider,Active,39,Michigan,United States,"[table id=9 filter=""Ore Creek Craft Cider"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/painted-turtle-hard-cider,https://glintcap.org/results/commercial/medalists/painted-turtle-hard-cider/,painted-turtle-hard-cider,https://ciderguide.com/glintcap/medalists/painted-turtle-hard-cider/,Painted Turtle Hard Cider,Active,40,Michigan,United States,"[table id=9 filter=""Painted Turtle Hard Cider"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/phillips-ciders,https://glintcap.org/results/commercial/medalists/phillips-ciders/,phillips-ciders,https://ciderguide.com/glintcap/medalists/phillips-ciders/,Phillips Orchards & Cider Mill,Active,43,Michigan,United States,"[table id=9 filter=""Phillips Orchards & Cider Mill"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/pux-cider,https://glintcap.org/results/commercial/medalists/pux-cider/,pux-cider,https://ciderguide.com/glintcap/medalists/pux-cider/,Pux Cider,Active,44,Michigan,United States,"[table id=9 filter=""Pux Cider"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/robinette-cellars,https://glintcap.org/results/commercial/medalists/robinette-cellars/,robinette-cellars,https://ciderguide.com/glintcap/medalists/robinette-cellars/,Robinette Cellars,Active,46,Michigan,United States,"[table id=9 filter=""Robinette Cellars"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/cascade-winery,https://glintcap.org/results/commercial/medalists/cascade-winery/,cascade-winery,https://ciderguide.com/glintcap/medalists/cascade-winery/,Cascade Winery & Sierra Rose Ciders,Active,48,Michigan,United States,"[table id=9 filter=""Cascade Winery & Sierra Rose Ciders"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/spicers-winery,https://glintcap.org/results/commercial/medalists/spicers-winery/,spicers-winery,https://ciderguide.com/glintcap/medalists/spicers-winery/,Spicer's Winery,Active,49,Michigan,United States,"[table id=9 filter=""Spicer's Winery"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/st-ambrose-cellars,https://glintcap.org/results/commercial/medalists/st-ambrose-cellars/,st-ambrose-cellars,https://ciderguide.com/glintcap/medalists/st-ambrose-cellars/,St. Ambrose Cellars,Active,50,Michigan,United States,"[table id=9 filter=""St. Ambrose Cellars"" filter_full_cell_match=true hide_columns=""3"" /]",,
