Year,Entrant,Medalist,Entry,Class,Place,Results
2023,AeppelTreow Winery & Distillery,"<a href=""https://ciderguide.com/glintcap/medalists/aeppeltreow-winery-distillery/"">AeppelTreow Winery & Distillery</a>",Orchard Oriole Perry,Traditional Perry,1st Place,https://ciderguide.com/glintcap/medalists/aeppeltreow-winery-distillery/
2023,Empyrical Orchards & Cider,"<a href=""https://ciderguide.com/glintcap/medalists/empyrical-orchards-cider/"">Empyrical Orchards & Cider</a>",Principle,Traditional Perry,2nd Place,https://ciderguide.com/glintcap/medalists/empyrical-orchards-cider/
2023,Finnriver Farm and Cidery,"<a href=""https://ciderguide.com/glintcap/medalists/finnriver-farm-and-cidery/"">Finnriver Farm and Cidery</a>",Perry,Traditional Perry,3rd Place,https://ciderguide.com/glintcap/medalists/finnriver-farm-and-cidery/
2023,Salt Spring Wild Cider,"<a href=""https://ciderguide.com/glintcap/medalists/salt-spring-wild-cider/"">Salt Spring Wild Cider</a>",Saskatoon Berry,Fruit Cider,1st Place,https://ciderguide.com/glintcap/medalists/salt-spring-wild-cider/
2023,Incline Cider Company,"<a href=""https://ciderguide.com/glintcap/medalists/incline-cider-company/"">Incline Cider Company</a>",Marionberry,Fruit Cider,2nd Place,https://ciderguide.com/glintcap/medalists/incline-cider-company/
2023,Empyrical Orchards & Cider,"<a href=""https://ciderguide.com/glintcap/medalists/empyrical-orchards-cider/"">Empyrical Orchards & Cider</a>",Inversion,Fruit Cider,3rd Place,https://ciderguide.com/glintcap/medalists/empyrical-orchards-cider/
2023,Mountain West Cider Company,"<a href=""https://ciderguide.com/glintcap/medalists/mountain-west-cider-company/"">Mountain West Cider Company</a>",Cottonwood,Hopped Cider,1st Place,https://ciderguide.com/glintcap/medalists/mountain-west-cider-company/
2023,Peat's Original Cider,"<a href=""https://ciderguide.com/glintcap/medalists/peats-original-cider/"">Peat's Original Cider</a>",The Knave: Ekuanot,Hopped Cider,2nd Place,https://ciderguide.com/glintcap/medalists/peats-original-cider/
2023,2 Towns Ciderhouse,"<a href=""https://ciderguide.com/glintcap/medalists/2-towns-ciderhouse/"">2 Towns Ciderhouse</a>",Hip Hops,Hopped Cider,3rd Place,https://ciderguide.com/glintcap/medalists/2-towns-ciderhouse/
2023,Gypsy Circus,"<a href=""https://ciderguide.com/glintcap/medalists/gypsy-circus/"">Gypsy Circus</a>",Apple Butter Drifter,Botanical Cider,1st Place,https://ciderguide.com/glintcap/medalists/gypsy-circus/
2023,Floribunda,"<a href=""https://ciderguide.com/glintcap/medalists/floribunda/"">Floribunda</a>",Holunder Cider al Sambuco,Botanical Cider,2nd Place,https://ciderguide.com/glintcap/medalists/floribunda/
2023,Papa Moon Vineyards & Winery,"<a href=""https://ciderguide.com/glintcap/medalists/papa-moon-vineyards-winery/"">Papa Moon Vineyards & Winery</a>",Honey Lavender,Botanical Cider,3rd Place,https://ciderguide.com/glintcap/medalists/papa-moon-vineyards-winery/
