glintcap,new_cg_url
/meriwether-cider-co/,https://ciderguide.com/glintcap/medalists/meriwether-cider-company/
/2-fools-cider/,https://ciderguide.com/glintcap/medalists/2-fools-cider/
/apple-knocker-hard-cider/,https://ciderguide.com/glintcap/medalists/owl-creek-vineyard/
/broken-brix/,https://ciderguide.com/glintcap/medalists/broken-brix/
/eris-brewery-and-cider-house/,https://ciderguide.com/glintcap/medalists/eris-brewery-cider-house/
/fox-valley-winery/,https://ciderguide.com/glintcap/medalists/the-cider-farm/
/koval-distillery/,https://ciderguide.com/glintcap/medalists/koval-distillery/
/northman-cider-co/,https://ciderguide.com/glintcap/medalists/the-northman-beer-cider-garden/
/north-shore-cider-co/,https://ciderguide.com/glintcap/medalists/north-shore-cider-company/
/overgrown-orchard/,https://ciderguide.com/glintcap/medalists/overgrown-orchard/
/prima-cider/,https://ciderguide.com/glintcap/medalists/prima-cider/
/right-bee-cider/,https://ciderguide.com/glintcap/medalists/right-bee-cider/
/vin-312/,https://ciderguide.com/glintcap/medalists/vin-312/
/ambrosia-orchard-cidery-and-meadery/,https://ciderguide.com/glintcap/medalists/ambrosia-orchard/
/ash-elm-cider-co/,https://ciderguide.com/glintcap/medalists/ash-elm-cider-company/
/gary-awdey/,https://ciderguide.com/glintcap/medalists/gary-awdey/
/gnarly-grove-hard-cider/,https://ciderguide.com/glintcap/medalists/gnarly-grove-hard-cider/
/kekionga-cider-company/,https://ciderguide.com/glintcap/medalists/kekionga-craft-company/
/mcclures-orchard-winery/,https://ciderguide.com/glintcap/medalists/mcclures-orchard-winery/
/bridgehouse-cider/,https://ciderguide.com/glintcap/medalists/bridgehouse-cider/
/jefferson-county-ciderworks/,https://ciderguide.com/glintcap/medalists/jefferson-county-ciderworks/
/sutliff-farm-cider-house/,https://ciderguide.com/glintcap/medalists/sutliff-cider-company/
/wilsons-orchard-and-farm/,https://ciderguide.com/glintcap/medalists/wilsons-orchard-farm/
/winterset-cidery/,https://ciderguide.com/glintcap/medalists/winterset-cidery/
/dave-dani-craft-cider/,https://ciderguide.com/glintcap/medalists/liquid-art-winery/
/apple-hill-cidery/,https://ciderguide.com/glintcap/medalists/apple-hill-cidery/
/wise-bird-cider/,https://ciderguide.com/glintcap/medalists/wise-bird-cider/
/blacksmiths-winery/,https://ciderguide.com/glintcap/medalists/blacksmiths-winery/
/cornish-cider-company/,https://ciderguide.com/glintcap/medalists/cornish-cider-company/
/kennebec-cider-company/,https://ciderguide.com/glintcap/medalists/kennebec-cider-company/
/ricker-hill/,https://ciderguide.com/glintcap/medalists/ricker-hill/
/urban-farm-fermentory/,https://ciderguide.com/glintcap/medalists/urban-farm-fermentory/
